Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,T.J. Hockenson,13,16,109,8.4,16,0,2,0,0,0,0,1,35.9,35.9,81.3%,MIN,16,2022
2,Tyler Higbee,9,11,94,10.4,21,1,2,0,0,0,0,1,30.4,30.4,19.7%,LAR,16,2022
3,George Kittle,6,8,120,20.0,34,5,2,0,0,0,0,1,30.0,30.0,97.3%,SF,16,2022
4,Shane Zylstra,5,6,26,5.2,10,0,3,0,0,0,0,1,25.6,25.6,0.0%,DET,16,2022
5,Evan Engram,7,8,113,16.1,36,4,0,0,0,0,0,1,18.3,18.3,97.0%,JAC,16,2022
6,Travis Kelce,6,8,113,18.8,52,6,0,0,0,0,0,1,17.3,17.3,99.9%,KC,16,2022
7,Greg Dulcich,4,8,39,9.8,11,0,1,0,0,0,0,1,13.9,13.9,4.0%,DEN,16,2022
8,Pat Freiermuth,7,8,66,9.4,17,0,0,0,0,0,0,1,13.6,13.6,60.5%,PIT,16,2022
9,Dawson Knox,3,5,38,12.7,24,1,1,0,0,0,0,1,12.8,12.8,4.7%,BUF,16,2022
10,Taysom Hill,0,0,0,0.0,0,0,0,9,56,1,0,1,11.6,11.6,36.8%,NO,16,2022
11,Marcedes Lewis,2,2,32,16.0,31,2,1,0,0,0,0,1,11.2,11.2,0.1%,CHI,16,2022
12,Darren Waller,4,5,58,14.5,34,2,0,0,0,0,0,1,9.8,9.8,56.5%,FA,16,2022
13,Dallas Goedert,3,3,67,22.3,25,3,0,0,0,0,0,1,9.7,9.7,89.7%,PHI,16,2022
14,Mitchell Wilcox,6,6,35,5.8,10,0,0,0,0,0,0,1,9.5,9.5,0.0%,NE,16,2022
15,Logan Thomas,6,8,35,5.8,15,0,0,0,0,0,0,1,9.5,9.5,19.3%,SF,16,2022
16,Noah Fant,2,3,12,6.0,6,0,1,0,0,0,0,1,9.2,9.2,2.0%,SEA,16,2022
17,Brycen Hopkins,3,3,57,19.0,22,1,0,0,0,0,0,1,8.7,8.7,0.0%,FA,16,2022
18,Cole Kmet,5,6,27,5.4,7,0,0,0,0,0,0,1,7.7,7.7,72.3%,CHI,16,2022
19,Mark Andrews,3,5,45,15.0,36,2,0,0,0,0,0,1,7.5,7.5,73.3%,BAL,16,2022
20,Colby Parkinson,3,4,45,15.0,39,2,0,0,0,0,0,1,7.5,7.5,0.6%,LAR,16,2022
21,Tyler Conklin,4,4,34,8.5,27,1,0,0,0,0,0,1,7.4,7.4,18.4%,NYJ,16,2022
22,Dalton Schultz,3,4,43,14.3,21,1,0,0,0,0,0,1,7.3,7.3,77.7%,HOU,16,2022
23,Jelani Woods,3,5,43,14.3,17,0,0,0,0,0,0,1,7.3,7.3,1.2%,IND,16,2022
24,Jordan Akins,3,3,39,13.0,30,2,0,0,0,0,0,1,6.9,6.9,0.1%,CLE,16,2022
25,James Mitchell,2,2,31,15.5,22,1,0,0,0,0,0,1,5.1,5.1,0.1%,DET,16,2022
26,Jonnu Smith,3,4,21,7.0,9,0,0,0,0,0,0,1,5.1,5.1,8.1%,MIA,16,2022
27,Daniel Bellinger,2,2,27,13.5,15,0,0,0,0,0,1,1,4.7,4.7,0.8%,NYG,16,2022
28,Trey McBride,3,4,17,5.7,7,0,0,0,0,0,0,1,4.7,4.7,90.5%,ARI,16,2022
29,Brevin Jordan,2,2,21,10.5,15,0,0,0,0,0,0,1,4.1,4.1,5.2%,HOU,16,2022
30,C.J. Uzomah,1,1,30,30.0,30,2,0,0,0,0,0,1,4.0,4.0,0.1%,PHI,16,2022
31,Austin Hooper,2,3,20,10.0,15,0,0,0,0,0,0,1,4.0,4.0,0.4%,NE,16,2022
32,Foster Moreau,2,3,19,9.5,10,0,0,0,0,0,0,1,3.9,3.9,0.1%,NO,16,2022
33,Tommy Tremble,2,2,18,9.0,18,0,0,0,0,0,0,1,3.8,3.8,0.4%,CAR,16,2022
34,Mike Gesicki,1,2,24,24.0,24,1,0,0,0,0,0,1,3.4,3.4,2.3%,CIN,16,2022
