Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Evan Engram,11,15,162,14.7,25,3,2,0,0,0,0,1,39.2,39.2,97.0%,JAC,14,2022
2,David Njoku,7,9,59,8.4,14,0,1,1,-2,0,0,1,18.7,18.7,94.0%,CLE,14,2022
3,Chigoziem Okonkwo,6,6,45,7.5,15,0,1,1,0,0,0,1,18.5,18.5,23.7%,TEN,14,2022
4,Dalton Schultz,6,10,87,14.5,22,2,0,0,0,0,0,1,14.7,14.7,77.7%,HOU,14,2022
5,Dawson Knox,4,7,41,10.3,24,1,1,0,0,0,0,1,14.1,14.1,4.7%,BUF,14,2022
6,Pat Freiermuth,3,6,33,11.0,14,0,1,0,0,0,0,1,12.3,12.3,60.5%,PIT,14,2022
7,Austin Hooper,5,5,68,13.6,24,1,0,0,0,0,0,1,11.8,11.8,0.4%,NE,14,2022
8,T.J. Hockenson,6,8,77,12.8,21,1,0,0,0,0,1,1,11.7,11.7,81.3%,MIN,14,2022
9,Travis Kelce,4,9,71,17.8,37,2,0,0,0,0,0,1,11.1,11.1,99.9%,KC,14,2022
10,Hunter Henry,3,3,70,23.3,39,4,0,0,0,0,0,1,10.0,10.0,15.3%,NE,14,2022
11,Gerald Everett,5,8,28,5.6,11,0,0,0,0,0,0,1,7.8,7.8,23.5%,CHI,14,2022
12,Tyler Conklin,5,8,28,5.6,7,0,0,0,0,0,0,1,7.8,7.8,18.4%,NYJ,14,2022
13,Noah Gray,3,3,45,15.0,25,1,0,0,0,0,0,1,7.5,7.5,0.9%,KC,14,2022
14,Greg Dulcich,3,8,42,14.0,23,1,0,0,0,0,0,1,7.2,7.2,4.0%,DEN,14,2022
15,Cade Otton,4,5,28,7.0,11,0,0,0,0,0,0,1,6.8,6.8,16.7%,TB,14,2022
16,George Kittle,4,5,28,7.0,15,0,0,0,0,0,0,1,6.8,6.8,97.3%,SF,14,2022
