Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Travis Kelce,6,10,79,13.2,18,0,1,0,0,0,0,1,19.9,19.9,99.9%,KC,8,2018
2,Jack Doyle,6,7,70,11.7,17,0,1,0,0,0,0,1,19.0,19.0,2.0%,FA,8,2018
3,Jordan Thomas,4,4,29,7.3,13,0,2,0,0,0,0,1,18.9,18.9,0.0%,FA,8,2018
4,Jared Cook,4,5,74,18.5,30,3,1,0,0,0,0,1,17.4,17.4,0.0%,FA,8,2018
5,O.J. Howard,4,4,68,17.0,20,1,1,0,0,0,0,1,16.8,16.8,0.0%,FA,8,2018
6,Greg Olsen,4,4,56,14.0,17,0,1,0,0,0,0,1,15.6,15.6,7.0%,FA,8,2018
7,Evan Engram,5,9,25,5.0,11,0,1,0,0,0,0,1,13.5,13.5,97.0%,JAC,8,2018
8,Ed Dickson,2,2,54,27.0,42,3,1,0,0,0,0,1,13.4,13.4,0.0%,FA,8,2018
9,Eric Ebron,3,3,37,12.3,20,1,1,0,0,0,0,1,12.7,12.7,0.0%,FA,8,2018
10,Zach Ertz,4,6,26,6.5,15,0,1,0,0,0,0,1,12.6,12.6,3.7%,WAS,8,2018
11,Hayden Hurst,2,3,29,14.5,26,1,1,0,0,0,0,1,10.9,10.9,2.3%,LAC,8,2018
12,Seth DeValve,2,2,28,14.0,24,1,1,0,0,0,0,1,10.8,10.8,0.0%,FA,8,2018
13,Jordan Reed,7,12,38,5.4,7,0,0,0,0,0,0,1,10.8,10.8,19.0%,FA,8,2018
14,George Kittle,5,8,57,11.4,20,1,0,0,0,0,0,1,10.7,10.7,97.3%,SF,8,2018
15,Dallas Goedert,1,1,32,32.0,32,2,1,0,0,0,0,1,10.2,10.2,89.7%,PHI,8,2018
16,Mo Alie-Cox,1,1,26,26.0,26,1,1,0,0,0,0,1,9.6,9.6,0.1%,IND,8,2018
17,Chris Herndon IV,1,2,16,16.0,16,0,1,0,0,0,0,1,8.6,8.6,0.0%,FA,8,2018
18,Kyle Rudolph,4,7,39,9.8,25,1,0,0,0,0,0,1,7.9,7.9,0.0%,FA,8,2018
19,Vance McDonald,3,3,47,15.7,22,1,0,0,0,0,0,1,7.7,7.7,0.0%,FA,8,2018
20,Jeff Heuerman,1,5,4,4.0,4,0,1,0,0,0,0,1,7.4,7.4,0.0%,FA,8,2018
21,Rob Gronkowski,3,8,43,14.3,22,1,0,0,0,0,0,1,7.3,7.3,1.5%,FA,8,2018
22,Mark Andrews,4,5,31,7.8,10,0,0,0,0,0,0,1,7.1,7.1,73.3%,BAL,8,2018
23,Matt LaCosse,4,5,29,7.3,8,0,0,0,0,0,0,1,6.9,6.9,0.0%,FA,8,2018
24,David Grinnage,3,5,37,12.3,24,1,0,0,0,0,0,1,6.7,6.7,0.0%,FA,8,2018
25,Charles Clay,3,6,36,12.0,21,1,0,0,0,0,0,1,6.6,6.6,0.0%,FA,8,2018
26,Mike Gesicki,4,5,14,3.5,10,0,0,0,0,0,0,1,5.4,5.4,2.3%,CIN,8,2018
27,Luke Willson,3,4,21,7.0,9,0,0,0,0,0,0,1,5.1,5.1,0.0%,FA,8,2018
28,Trey Burton,3,4,18,6.0,18,0,0,0,0,0,0,1,4.8,4.8,0.0%,FA,8,2018
29,Jordan Franks,1,1,32,32.0,32,2,0,0,0,0,0,1,4.2,4.2,0.0%,FA,8,2018
30,Jermaine Gresham,3,3,22,7.3,13,0,0,0,0,0,1,1,3.2,3.2,0.0%,FA,8,2018
31,Gerald Everett,1,2,22,22.0,22,1,0,0,0,0,0,1,3.2,3.2,23.5%,CHI,8,2018
32,Ricky Seals-Jones,2,4,12,6.0,13,0,0,0,0,0,0,1,3.2,3.2,0.0%,FA,8,2018
33,Jimmy Graham,1,4,21,21.0,21,1,0,0,0,0,0,1,3.1,3.1,0.0%,FA,8,2018
34,Vernon Davis,1,3,21,21.0,21,1,0,0,0,0,0,1,3.1,3.1,1.6%,FA,8,2018
35,Jesse James,2,3,9,4.5,6,0,0,0,0,0,0,1,2.9,2.9,0.0%,FA,8,2018
36,Nick Vannett,1,3,16,16.0,16,0,0,0,0,0,0,1,2.6,2.6,0.0%,TEN,8,2018
37,Ian Thomas,1,1,15,15.0,15,0,0,0,0,0,0,1,2.5,2.5,0.1%,CAR,8,2018
38,Jason Croom,1,3,14,14.0,14,0,0,0,0,0,0,1,2.4,2.4,0.0%,FA,8,2018
39,Blake Bell,1,2,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,8,2018
40,Cameron Brate,1,2,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,2.0%,FA,8,2018
41,Levine Toilolo,1,1,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,0.0%,FA,8,2018
42,Neal Sterling,1,1,7,7.0,7,0,0,0,0,0,0,1,1.7,1.7,0.0%,FA,8,2018
43,Nick Boyle,1,3,7,7.0,7,0,0,0,0,0,0,1,1.7,1.7,0.0%,FA,8,2018
44,Tyler Higbee,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,19.7%,LAR,8,2018
45,Darren Fells,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,FA,8,2018
