Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Trey Burton,9,11,126,14.0,22,2,1,0,0,0,0,1,27.6,27.6,0.0%,FA,7,2018
2,Zach Ertz,9,11,138,15.3,27,2,0,0,0,0,0,1,22.8,22.8,3.7%,WAS,7,2018
3,George Kittle,5,8,98,19.6,35,4,1,0,0,0,0,1,20.8,20.8,97.3%,SF,7,2018
4,Michael Roberts,3,3,48,16.0,29,1,2,0,0,0,0,1,19.8,19.8,0.0%,FA,7,2018
5,Benjamin Watson,6,6,43,7.2,15,0,1,0,0,0,0,1,16.3,16.3,2.8%,FA,7,2018
6,David Njoku,4,6,52,13.0,23,1,1,0,0,0,0,1,15.2,15.2,94.0%,CLE,7,2018
7,Travis Kelce,5,5,95,19.0,43,4,0,0,0,0,0,1,14.5,14.5,99.9%,KC,7,2018
8,Dallas Goedert,4,5,43,10.8,21,1,1,0,0,0,0,1,14.3,14.3,89.7%,PHI,7,2018
9,Chris Herndon IV,4,7,42,10.5,17,0,1,0,0,0,0,1,14.2,14.2,0.0%,FA,7,2018
10,O.J. Howard,5,9,67,13.4,24,1,0,0,0,0,0,1,11.7,11.7,0.0%,FA,7,2018
11,C.J. Uzomah,2,2,13,6.5,9,0,1,0,0,0,0,1,9.3,9.3,0.1%,PHI,7,2018
12,Luke Stocker,2,2,11,5.5,10,0,1,0,0,0,0,1,9.1,9.1,0.0%,FA,7,2018
13,Demetrius Harris,1,2,17,17.0,17,0,1,0,0,0,0,1,8.7,8.7,0.0%,FA,7,2018
14,Erik Swoope,1,1,17,17.0,17,0,1,0,0,0,0,1,8.7,8.7,0.0%,FA,7,2018
15,Greg Olsen,2,5,5,2.5,4,0,1,0,0,0,0,1,8.5,8.5,7.0%,FA,7,2018
16,Austin Hooper,3,4,48,16.0,36,2,0,0,0,0,0,1,7.8,7.8,0.4%,NE,7,2018
17,Mark Andrews,1,1,8,8.0,8,0,1,0,0,0,0,1,7.8,7.8,73.3%,BAL,7,2018
18,Mike Gesicki,3,3,44,14.7,27,1,0,0,0,0,0,1,7.4,7.4,2.3%,CIN,7,2018
19,Jordan Reed,2,4,43,21.5,27,1,0,0,0,0,0,1,6.3,6.3,19.0%,FA,7,2018
20,Eric Ebron,3,7,31,10.3,14,0,0,0,0,0,0,1,6.1,6.1,0.0%,FA,7,2018
21,Geoff Swaim,3,3,25,8.3,17,0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,7,2018
22,Dan Arnold,2,3,35,17.5,25,1,0,0,0,0,0,1,5.5,5.5,0.0%,FA,7,2018
23,Evan Engram,2,4,16,8.0,9,0,0,1,10,0,0,1,4.6,4.6,97.0%,JAC,7,2018
24,Antony Auclair,3,3,15,5.0,6,0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,7,2018
25,Nick O'Leary,2,3,23,11.5,14,0,0,0,0,0,0,1,4.3,4.3,0.0%,FA,7,2018
