Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New Orleans Saints,3,3,0,0,0,0,0,1,16.0,16.0,64.0%,NO,9,2020
2,Baltimore Ravens,0,1,1,1,1,0,0,1,14.0,14.0,86.2%,BAL,9,2020
3,Tennessee Titans,3,0,2,2,1,0,0,1,14.0,14.0,3.5%,TEN,9,2020
4,New York Giants,2,3,2,1,0,0,0,1,13.0,13.0,2.4%,NYG,9,2020
5,Buffalo Bills,5,2,2,2,0,0,0,1,12.0,12.0,61.3%,BUF,9,2020
6,Minnesota Vikings,2,3,0,1,0,0,0,1,9.0,9.0,10.9%,MIN,9,2020
7,Miami Dolphins,1,0,1,1,1,0,0,1,8.0,8.0,69.9%,MIA,9,2020
8,Pittsburgh Steelers,2,1,1,1,0,0,0,1,7.0,7.0,75.9%,PIT,9,2020
9,Green Bay Packers,1,1,1,1,0,0,0,1,6.0,6.0,26.4%,GB,9,2020
10,Indianapolis Colts,2,0,1,1,0,0,0,1,5.0,5.0,26.4%,IND,9,2020
11,Washington Commanders,5,0,0,1,0,0,0,1,5.0,5.0,8.1%,WAS,9,2020
12,Detroit Lions,1,0,0,0,0,0,0,1,4.0,4.0,38.6%,DET,9,2020
13,Las Vegas Raiders,2,0,1,1,0,0,0,1,4.0,4.0,24.5%,LV,9,2020
14,Jacksonville Jaguars,2,0,1,1,0,0,0,1,4.0,4.0,50.2%,JAC,9,2020
15,Chicago Bears,3,0,0,0,0,0,0,1,4.0,4.0,33.9%,CHI,9,2020
16,Houston Texans,2,1,0,1,0,0,0,1,4.0,4.0,31.9%,HOU,9,2020
17,Denver Broncos,2,1,0,0,0,0,0,1,3.0,3.0,34.5%,DEN,9,2020
18,Carolina Panthers,2,0,1,1,0,0,0,1,3.0,3.0,3.0%,CAR,9,2020
19,Atlanta Falcons,1,1,0,1,0,0,0,1,3.0,3.0,16.7%,ATL,9,2020
20,Seattle Seahawks,7,0,0,0,0,0,0,1,3.0,3.0,22.4%,SEA,9,2020
21,New England Patriots,1,1,0,0,0,0,0,1,3.0,3.0,13.6%,NE,9,2020
22,Los Angeles Chargers,1,0,1,1,0,0,0,1,2.0,2.0,13.8%,LAC,9,2020
23,Arizona Cardinals,3,0,0,0,0,0,0,1,2.0,2.0,0.8%,ARI,9,2020
24,Dallas Cowboys,0,0,0,0,0,0,0,1,2.0,2.0,92.7%,DAL,9,2020
25,Tampa Bay Buccaneers,1,0,2,2,0,0,0,1,1.0,1.0,20.8%,TB,9,2020
26,Kansas City Chiefs,2,0,0,1,0,0,0,1,1.0,1.0,77.7%,KC,9,2020
27,San Francisco 49ers,1,0,0,0,0,0,0,1,0.0,0.0,97.8%,SF,9,2020
28,New York Jets,0,0,0,1,0,0,0,1,-1.0,-1.0,82.4%,NYJ,9,2020
