Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kansas City Chiefs,3,2,2,2,1,0,1,1,24.0,24.0,77.7%,KC,7,2020
2,Washington Commanders,6,1,0,2,0,1,0,1,17.0,17.0,8.1%,WAS,7,2020
3,San Francisco 49ers,2,4,0,1,0,0,0,1,17.0,17.0,97.8%,SF,7,2020
4,Los Angeles Rams,4,2,0,0,0,0,0,1,15.0,15.0,21.2%,LAR,7,2020
5,Buffalo Bills,6,2,0,1,0,0,0,1,14.0,14.0,61.3%,BUF,7,2020
6,Chicago Bears,1,0,1,2,1,0,0,1,11.0,11.0,33.9%,CHI,7,2020
7,Philadelphia Eagles,3,1,2,2,0,0,0,1,9.0,9.0,51.6%,PHI,7,2020
8,Los Angeles Chargers,5,0,1,0,0,0,0,1,7.0,7.0,13.8%,LAC,7,2020
9,Arizona Cardinals,2,3,0,0,0,0,0,1,7.0,7.0,0.8%,ARI,7,2020
10,Cleveland Browns,4,1,1,1,0,0,0,1,7.0,7.0,94.2%,CLE,7,2020
11,Green Bay Packers,3,0,1,2,0,0,0,1,6.0,6.0,26.4%,GB,7,2020
12,Tennessee Titans,0,3,0,2,0,0,0,1,6.0,6.0,3.5%,TEN,7,2020
13,Tampa Bay Buccaneers,3,1,0,1,0,0,0,1,6.0,6.0,20.8%,TB,7,2020
14,New England Patriots,1,2,0,0,0,0,0,1,6.0,6.0,13.6%,NE,7,2020
15,New York Giants,3,1,0,0,0,0,0,1,5.0,5.0,2.4%,NYG,7,2020
16,Jacksonville Jaguars,1,0,0,0,0,0,1,1,5.0,5.0,50.2%,JAC,7,2020
17,New York Jets,2,0,1,1,0,0,0,1,5.0,5.0,82.4%,NYJ,7,2020
18,Detroit Lions,2,0,1,2,0,0,0,1,4.0,4.0,38.6%,DET,7,2020
19,Carolina Panthers,1,0,1,1,0,0,0,1,3.0,3.0,3.0%,CAR,7,2020
20,Pittsburgh Steelers,2,0,0,0,0,0,0,1,2.0,2.0,75.9%,PIT,7,2020
21,Denver Broncos,4,0,1,1,0,0,0,1,2.0,2.0,34.5%,DEN,7,2020
22,Dallas Cowboys,2,0,0,0,0,0,0,1,2.0,2.0,92.7%,DAL,7,2020
23,Atlanta Falcons,2,0,0,0,0,0,0,1,2.0,2.0,16.7%,ATL,7,2020
24,New Orleans Saints,1,0,0,0,0,0,0,1,1.0,1.0,64.0%,NO,7,2020
25,Seattle Seahawks,0,1,1,2,0,0,0,1,0.0,0.0,22.4%,SEA,7,2020
26,Cincinnati Bengals,0,1,0,0,0,0,0,1,-2.0,-2.0,50.0%,CIN,7,2020
27,Houston Texans,0,0,0,0,0,0,0,1,-2.0,-2.0,31.9%,HOU,7,2020
28,Las Vegas Raiders,0,0,0,1,0,0,0,1,-4.0,-4.0,24.5%,LV,7,2020
