Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Baltimore Ravens,7,1,2,3,1,0,0,1,26.0,26.0,86.2%,BAL,5,2020
2,Cleveland Browns,1,2,0,0,1,1,0,1,13.0,13.0,94.2%,CLE,5,2020
3,Miami Dolphins,5,2,1,2,0,0,0,1,12.0,12.0,69.9%,MIA,5,2020
4,Los Angeles Rams,8,0,0,1,0,0,0,1,12.0,12.0,21.2%,LAR,5,2020
5,New York Giants,2,1,1,0,1,0,0,1,11.0,11.0,2.4%,NYG,5,2020
6,Indianapolis Colts,1,2,0,1,0,0,1,1,11.0,11.0,26.4%,IND,5,2020
7,Houston Texans,4,0,2,1,0,0,0,1,9.0,9.0,31.9%,HOU,5,2020
8,Dallas Cowboys,2,0,1,1,1,0,0,1,9.0,9.0,92.7%,DAL,5,2020
9,Tennessee Titans,1,2,1,1,0,0,0,1,8.0,8.0,3.5%,TEN,5,2020
10,Pittsburgh Steelers,5,2,0,0,0,0,0,1,8.0,8.0,75.9%,PIT,5,2020
11,Seattle Seahawks,3,1,1,2,0,0,0,1,7.0,7.0,22.4%,SEA,5,2020
12,Arizona Cardinals,3,0,0,0,0,0,0,1,7.0,7.0,0.8%,ARI,5,2020
13,Tampa Bay Buccaneers,3,1,0,1,0,0,0,1,6.0,6.0,20.8%,TB,5,2020
14,Minnesota Vikings,4,1,0,0,0,0,0,1,6.0,6.0,10.9%,MIN,5,2020
15,Chicago Bears,3,0,1,1,0,0,0,1,6.0,6.0,33.9%,CHI,5,2020
16,Carolina Panthers,2,1,0,1,0,0,0,1,5.0,5.0,3.0%,CAR,5,2020
17,Las Vegas Raiders,3,1,0,0,0,0,0,1,4.0,4.0,24.5%,LV,5,2020
18,Jacksonville Jaguars,1,2,0,0,0,0,0,1,4.0,4.0,50.2%,JAC,5,2020
19,Cincinnati Bengals,1,1,0,0,0,0,0,1,3.0,3.0,50.0%,CIN,5,2020
20,New Orleans Saints,3,0,0,0,0,0,0,1,3.0,3.0,64.0%,NO,5,2020
21,Los Angeles Chargers,2,1,0,1,0,0,0,1,3.0,3.0,13.8%,LAC,5,2020
22,Washington Commanders,1,1,0,1,0,0,0,1,2.0,2.0,8.1%,WAS,5,2020
23,New York Jets,1,1,0,0,0,0,0,1,2.0,2.0,82.4%,NYJ,5,2020
24,Atlanta Falcons,0,0,0,0,0,0,0,1,0.0,0.0,16.7%,ATL,5,2020
25,Philadelphia Eagles,1,0,1,1,0,0,0,1,-1.0,-1.0,51.6%,PHI,5,2020
26,Kansas City Chiefs,1,1,0,0,0,0,0,1,-1.0,-1.0,77.7%,KC,5,2020
27,San Francisco 49ers,2,0,0,0,0,0,0,1,-2.0,-2.0,97.8%,SF,5,2020
28,Buffalo Bills,0,0,0,0,0,0,0,1,-4.0,-4.0,61.3%,BUF,5,2020
