Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,A.J. Brown,9,13,175,19.4,59,6,2,0,0,0,0,1,38.5,38.5,99.9%,PHI,4,2023
2,Stefon Diggs,6,7,120,20.0,55,4,3,0,0,0,0,1,36.0,36.0,99.7%,HOU,4,2023
3,Nico Collins,7,9,168,24.0,52,8,2,0,0,0,0,1,35.8,35.8,95.6%,HOU,4,2023
4,Puka Nacua,9,10,163,18.1,32,6,1,0,0,0,0,1,31.3,31.3,96.9%,LAR,4,2023
5,DJ Moore,8,9,131,16.4,29,3,1,0,0,0,0,1,27.1,27.1,97.7%,CHI,4,2023
6,Michael Wilson,7,7,76,10.9,33,2,2,0,0,0,0,1,26.6,26.6,9.0%,ARI,4,2023
7,Justin Jefferson,6,9,85,14.2,30,3,2,0,0,0,0,1,26.5,26.5,100.0%,MIN,4,2023
8,Brandon Aiyuk,6,6,148,24.7,42,7,0,0,0,0,0,1,20.8,20.8,98.2%,SF,4,2023
9,Chris Godwin,8,11,114,14.3,42,5,0,0,0,0,0,1,19.4,19.4,90.4%,TB,4,2023
10,Romeo Doubs,9,13,95,10.6,16,0,0,0,0,0,0,1,18.5,18.5,43.2%,GB,4,2023
11,Curtis Samuel,7,8,51,7.3,15,0,0,1,1,1,0,1,18.2,18.2,48.9%,BUF,4,2023
12,Braxton Berrios,6,6,43,7.2,15,0,1,1,11,0,0,1,17.4,17.4,1.3%,MIA,4,2023
13,Hollywood Brown,7,10,96,13.7,41,3,0,0,0,0,0,1,16.6,16.6,79.0%,KC,4,2023
14,Terry McLaurin,8,10,86,10.8,24,1,0,0,0,0,0,1,16.6,16.6,90.2%,WAS,4,2023
15,Amon-Ra St. Brown,5,7,56,11.2,24,1,1,0,0,0,0,1,16.6,16.6,100.0%,DET,4,2023
16,Christian Kirk,8,12,84,10.5,30,2,0,0,0,0,0,1,16.4,16.4,70.5%,JAC,4,2023
17,Nick Westbrook-Ikhine,5,6,51,10.2,22,1,1,0,0,0,0,1,16.1,16.1,0.2%,TEN,4,2023
18,Deven Thompkins,4,4,45,11.3,26,1,1,1,11,0,0,1,15.6,15.6,0.1%,FA,4,2023
19,Davante Adams,8,13,75,9.4,19,0,0,0,0,0,0,1,15.5,15.5,99.9%,LV,4,2023
20,Adam Thielen,7,8,76,10.9,22,1,0,1,6,0,0,1,15.2,15.2,76.1%,CAR,4,2023
21,Gabe Davis,3,3,61,20.3,34,2,1,0,0,0,0,1,15.1,15.1,54.7%,JAC,4,2023
22,Allen Lazard,3,3,61,20.3,39,2,1,0,0,0,0,1,15.1,15.1,4.8%,NYJ,4,2023
23,Garrett Wilson,9,14,60,6.7,14,0,0,0,0,0,0,1,15.0,15.0,97.7%,NYJ,4,2023
24,DeVonta Smith,7,9,78,11.1,37,2,0,0,0,0,0,1,14.8,14.8,98.0%,PHI,4,2023
25,CeeDee Lamb,4,6,36,9.0,20,1,1,1,12,0,0,1,14.8,14.8,100.0%,DAL,4,2023
26,Terrace Marshall Jr.,9,10,56,6.2,14,0,0,0,0,0,0,1,14.6,14.6,0.2%,CAR,4,2023
27,Ja'Marr Chase,7,9,73,10.4,17,0,0,0,0,0,0,1,14.3,14.3,99.4%,CIN,4,2023
28,Jahan Dotson,4,9,27,6.8,10,0,1,0,0,0,0,1,12.7,12.7,30.6%,WAS,4,2023
29,DK Metcalf,3,4,34,11.3,16,0,1,0,0,0,0,1,12.4,12.4,98.5%,SEA,4,2023
