Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ezekiel Elliott,22,68,3.1,12,0,0,7,8,72,10.3,1,0,1,27.0,27.0,78.1%,DAL,14,2023
2,Breece Hall,10,40,4.0,15,0,0,8,9,86,10.8,1,0,1,26.6,26.6,98.9%,NYJ,14,2023
3,James Cook,10,58,5.8,15,0,0,5,5,83,16.6,1,0,1,25.1,25.1,97.8%,BUF,14,2023
4,Saquon Barkley,20,86,4.3,34,2,2,3,4,15,5.0,0,1,1,23.1,23.1,100.0%,PHI,14,2023
5,Raheem Mostert,21,96,4.6,15,0,2,1,1,4,4.0,0,0,1,23.0,23.0,91.5%,MIA,14,2023
6,Joe Mixon,21,79,3.8,18,0,1,3,4,46,15.3,0,0,1,21.5,21.5,99.1%,HOU,14,2023
7,Rachaad White,25,102,4.1,12,0,0,2,2,33,16.5,1,0,1,21.5,21.5,97.5%,TB,14,2023
8,Austin Ekeler,10,51,5.1,9,0,1,5,7,49,9.8,0,0,1,21.0,21.0,93.1%,WAS,14,2023
9,Bijan Robinson,10,34,3.4,8,0,1,5,7,54,10.8,0,0,1,19.8,19.8,99.9%,ATL,14,2023
10,Chase Brown,8,25,3.1,10,0,0,3,3,80,26.7,1,0,1,19.5,19.5,36.9%,CIN,14,2023
11,Derrick Henry,17,34,2.0,6,0,2,1,2,17,17.0,0,0,1,18.1,18.1,99.3%,BAL,14,2023
12,Javonte Williams,17,66,3.9,20,1,1,3,4,25,8.3,0,0,1,18.1,18.1,89.1%,DEN,14,2023
13,Tyjae Spears,7,29,4.1,8,0,0,6,8,89,14.8,0,0,1,17.8,17.8,64.7%,TEN,14,2023
14,Travis Etienne Jr.,14,35,2.5,16,0,1,4,4,37,9.3,0,0,1,17.2,17.2,99.7%,JAC,14,2023
15,Jahmyr Gibbs,11,66,6.0,36,2,1,3,4,16,5.3,0,0,1,17.2,17.2,99.3%,DET,14,2023
16,Tony Pollard,16,59,3.7,11,0,0,7,8,37,5.3,0,0,1,16.6,16.6,93.4%,TEN,14,2023
17,Christian McCaffrey,16,145,9.1,72,6,0,1,1,8,8.0,0,0,1,16.3,16.3,100.0%,SF,14,2023
18,Kyren Williams,25,114,4.6,14,0,0,3,4,-1,-0.3,0,0,1,14.3,14.3,96.2%,LAR,14,2023
19,Alvin Kamara,12,56,4.7,9,0,1,3,4,-11,-3.7,0,0,1,13.5,13.5,98.2%,NO,14,2023
20,Jerome Ford,12,51,4.3,26,1,0,5,6,31,6.2,0,0,1,13.2,13.2,79.9%,CLE,14,2023
21,Jerick McKinnon,4,19,4.8,7,0,1,3,3,18,6.0,0,0,1,12.7,12.7,16.2%,FA,14,2023
22,Devin Singletary,13,65,5.0,17,0,1,0,3,0,0.0,0,0,1,12.5,12.5,83.7%,NYG,14,2023
23,Rico Dowdle,12,46,3.8,9,0,1,1,1,6,6.0,0,0,1,12.2,12.2,10.6%,DAL,14,2023
24,De'Von Achane,7,47,6.7,15,0,0,5,9,24,4.8,0,0,1,12.1,12.1,95.6%,MIA,14,2023
25,Chuba Hubbard,23,87,3.8,13,0,0,2,2,9,4.5,0,0,1,11.6,11.6,51.0%,CAR,14,2023
26,David Montgomery,10,66,6.6,13,0,0,3,3,19,6.3,0,0,1,11.5,11.5,93.2%,DET,14,2023
27,Kareem Hunt,10,27,2.7,9,0,1,1,1,3,3.0,0,0,1,10.0,10.0,27.3%,FA,14,2023
28,AJ Dillon,15,53,3.5,8,0,0,2,3,25,12.5,0,0,1,9.8,9.8,35.2%,GB,14,2023
29,Jordan Mason,4,20,5.0,8,0,1,1,1,6,6.0,0,0,1,9.6,9.6,2.3%,SF,14,2023
30,Zack Moss,13,28,2.2,12,0,0,4,8,28,7.0,0,0,1,9.6,9.6,75.1%,CIN,14,2023
31,Kenneth Walker III,8,21,2.6,12,0,0,4,5,33,8.3,0,0,1,9.4,9.4,97.1%,SEA,14,2023
