Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Kyren Williams,16,143,8.9,56,5,0,6,6,61,10.2,2,0,1,38.4,38.4,96.2%,LAR,12,2023
2,Christian McCaffrey,19,114,6.0,27,1,2,5,6,25,5.0,0,0,1,30.9,30.9,100.0%,SF,12,2023
3,Bijan Robinson,16,91,5.7,17,0,1,3,6,32,10.7,1,0,1,27.3,27.3,99.9%,ATL,12,2023
4,Isiah Pacheco,15,55,3.7,8,0,2,5,5,34,6.8,0,0,1,25.9,25.9,97.8%,KC,12,2023
5,Josh Jacobs,20,110,5.5,63,4,1,4,6,15,3.8,0,0,1,22.5,22.5,97.3%,GB,12,2023
6,Tony Pollard,13,79,6.1,27,1,1,6,6,24,4.0,0,0,1,22.3,22.3,93.4%,TEN,12,2023
7,Rhamondre Stevenson,21,98,4.7,15,0,1,5,5,9,1.8,0,0,1,21.7,21.7,84.5%,NE,12,2023
8,Raheem Mostert,20,94,4.7,34,2,2,0,1,0,0.0,0,0,1,21.4,21.4,91.5%,MIA,12,2023
9,Jonathan Taylor,15,91,6.1,17,0,2,0,0,0,0.0,0,0,1,21.1,21.1,98.8%,IND,12,2023
10,Derrick Henry,18,76,4.2,18,0,2,1,2,0,0.0,0,0,1,20.6,20.6,99.3%,BAL,12,2023
11,Chuba Hubbard,14,45,3.2,15,0,1,5,5,47,9.4,0,0,1,20.2,20.2,51.0%,CAR,12,2023
12,James Cook,16,43,2.7,11,0,0,6,7,57,9.5,0,0,1,16.0,16.0,97.8%,BUF,12,2023
13,Alvin Kamara,15,69,4.6,16,0,0,4,5,50,12.5,0,0,1,15.9,15.9,98.2%,NO,12,2023
14,Najee Harris,15,99,6.6,22,2,1,0,0,0,0.0,0,0,1,15.9,15.9,91.4%,PIT,12,2023
15,David Montgomery,15,71,4.7,15,0,1,0,1,0,0.0,0,0,1,15.1,15.1,93.2%,DET,12,2023
16,Royce Freeman,13,77,5.9,23,1,1,0,0,0,0.0,0,0,1,13.7,13.7,3.2%,DAL,12,2023
