Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Travis Etienne Jr.,26,136,5.2,35,4,2,4,5,48,12.0,0,0,1,36.4,36.4,99.7%,JAC,5,2023
2,Zack Moss,23,165,7.2,56,4,2,2,2,30,15.0,0,0,1,33.5,33.5,75.1%,CIN,5,2023
3,Breece Hall,22,177,8.0,72,4,1,3,3,17,5.7,0,0,1,28.4,28.4,98.9%,NYJ,5,2023
4,De'Von Achane,11,151,13.7,76,5,1,1,1,14,14.0,0,1,1,21.5,21.5,95.6%,MIA,5,2023
5,David Montgomery,19,109,5.7,42,3,1,2,6,20,10.0,0,0,1,20.9,20.9,93.2%,DET,5,2023
6,Josh Jacobs,20,69,3.5,24,1,1,5,5,20,4.0,0,0,1,19.9,19.9,97.3%,GB,5,2023
7,Alvin Kamara,22,80,3.6,10,0,1,3,3,17,5.7,0,0,1,18.7,18.7,98.2%,NO,5,2023
8,Jaleel McLaughlin,9,68,7.6,38,3,0,3,4,21,7.0,1,0,1,17.9,17.9,9.9%,DEN,5,2023
9,Tyjae Spears,7,34,4.9,19,0,1,4,5,35,8.8,0,0,1,16.9,16.9,64.7%,TEN,5,2023
10,D'Andre Swift,17,70,4.1,17,0,0,6,6,38,6.3,0,0,1,16.8,16.8,93.8%,CHI,5,2023
11,Raheem Mostert,10,65,6.5,23,1,1,2,2,13,6.5,0,0,1,15.8,15.8,91.5%,MIA,5,2023
12,Christian McCaffrey,19,51,2.7,8,0,1,2,3,27,13.5,0,1,1,13.8,13.8,100.0%,SF,5,2023
13,AJ Dillon,20,76,3.8,11,0,1,0,1,0,0.0,0,0,1,13.6,13.6,35.2%,GB,5,2023
14,Isiah Pacheco,16,55,3.4,11,0,1,1,1,9,9.0,0,0,1,13.4,13.4,97.8%,KC,5,2023
15,Joe Mixon,25,81,3.2,10,0,0,4,4,13,3.3,0,0,1,13.4,13.4,99.1%,HOU,5,2023
16,Kendre Miller,12,37,3.1,8,0,0,4,4,53,13.3,0,0,1,13.0,13.0,9.8%,NO,5,2023
17,Jordan Mason,10,69,6.9,26,1,1,0,1,0,0.0,0,0,1,12.9,12.9,2.3%,SF,5,2023
18,Emari Demercado,10,45,4.5,11,0,1,1,3,12,12.0,0,0,1,12.7,12.7,2.2%,ARI,5,2023
19,Kyle Juszczyk,0,0,0.0,0,0,0,4,4,26,6.5,1,0,1,12.6,12.6,1.0%,SF,5,2023
20,Alexander Mattison,8,26,3.3,7,0,0,2,3,20,10.0,1,0,1,12.6,12.6,41.3%,LV,5,2023
21,Justice Hill,7,32,4.6,14,0,1,4,4,13,3.3,0,1,1,12.5,12.5,10.1%,BAL,5,2023
22,Bijan Robinson,14,46,3.3,13,0,0,2,2,12,6.0,1,1,1,11.8,11.8,99.9%,ATL,5,2023
23,Samaje Perine,6,22,3.7,8,0,0,4,5,73,18.3,0,1,1,11.5,11.5,12.7%,DEN,5,2023
24,Craig Reynolds,7,52,7.4,19,0,1,0,0,0,0.0,0,0,1,11.2,11.2,0.8%,DET,5,2023
25,Jaylen Warren,9,40,4.4,16,0,0,3,3,39,13.0,0,0,1,10.9,10.9,84.7%,PIT,5,2023
26,Antonio Gibson,0,0,0.0,0,0,0,4,6,64,16.0,0,0,1,10.4,10.4,53.3%,NE,5,2023
27,Dameon Pierce,20,66,3.3,15,0,0,1,1,16,16.0,0,0,1,9.2,9.2,28.0%,HOU,5,2023
28,Derrick Henry,13,43,3.3,8,0,0,3,3,19,6.3,0,0,1,9.2,9.2,99.3%,BAL,5,2023
29,Tony Pollard,8,29,3.6,10,0,0,4,5,35,8.8,0,1,1,8.4,8.4,93.4%,TEN,5,2023
30,Brian Robinson Jr.,6,10,1.7,5,0,0,4,4,33,8.3,0,0,1,8.3,8.3,86.1%,WAS,5,2023
31,Ezekiel Elliott,8,21,2.6,8,0,0,4,4,17,4.3,0,0,1,7.8,7.8,78.1%,DAL,5,2023
