Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
50,Roschon Johnson,6,30,5.0,14,0,0,0,0,0,0.0,0,0,1,3.0,3.0,14.1%,CHI,11,2023
51,Chase Edmonds,4,8,2.0,3,0,0,1,1,11,11.0,0,0,1,2.9,2.9,0.8%,TB,11,2023
52,Aaron Jones,4,14,3.5,9,0,0,1,2,3,3.0,0,0,1,2.7,2.7,93.3%,MIN,11,2023
53,Kenneth Walker III,4,18,4.5,6,0,0,1,1,-2,-2.0,0,0,1,2.6,2.6,97.1%,SEA,11,2023
54,Israel Abanikanda,1,11,11.0,11,0,0,1,2,5,5.0,0,0,1,2.6,2.6,1.1%,NYJ,11,2023
55,DeeJay Dallas,1,4,4.0,4,0,0,1,1,10,10.0,0,0,1,2.4,2.4,0.6%,ARI,11,2023
56,Elijah Mitchell,4,24,6.0,13,0,0,0,0,0,0.0,0,0,1,2.4,2.4,8.9%,SF,11,2023
57,Derrick Gore,2,23,11.5,23,1,0,0,0,0,0.0,0,0,1,2.3,2.3,0.0%,FA,11,2023
58,Tank Bigsby,9,21,2.3,6,0,0,0,0,0,0.0,0,0,1,2.1,2.1,3.9%,JAC,11,2023
59,Clyde Edwards-Helaire,2,20,10.0,12,0,0,0,0,0,0.0,0,0,1,2.0,2.0,23.7%,KC,11,2023
60,Trayveon Williams,2,20,10.0,15,0,0,0,0,0,0.0,0,0,1,2.0,2.0,0.3%,CIN,11,2023
61,Justice Hill,1,1,1.0,1,0,0,1,1,6,6.0,0,0,1,1.7,1.7,10.1%,BAL,11,2023
62,Mike Boone,1,0,0.0,0,0,0,1,1,5,5.0,0,0,1,1.5,1.5,0.0%,CAR,11,2023
63,Kenneth Gainwell,1,1,1.0,1,0,0,1,1,4,4.0,0,0,1,1.5,1.5,14.8%,PHI,11,2023
64,Pierre Strong Jr.,1,1,1.0,1,0,0,1,1,4,4.0,0,0,1,1.5,1.5,0.6%,CLE,11,2023
65,De'Von Achane,1,1,1.0,1,0,0,1,1,4,4.0,0,0,1,1.5,1.5,95.6%,MIA,11,2023
66,Ameer Abdullah,0,0,0.0,0,0,0,1,1,4,4.0,0,0,1,1.4,1.4,0.7%,LV,11,2023
67,Dalvin Cook,2,13,6.5,10,0,0,0,1,0,0.0,0,0,1,1.3,1.3,9.5%,FA,11,2023
68,Joshua Kelley,6,13,2.2,7,0,0,0,0,0,0.0,0,0,1,1.3,1.3,6.6%,FA,11,2023
69,Boston Scott,2,8,4.0,4,0,0,0,0,0,0.0,0,0,1,0.8,0.8,0.1%,LAR,11,2023
70,Trey Sermon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.9%,IND,11,2023
71,Darrynton Evans,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,BUF,11,2023
72,Anthony McFarland Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,11,2023
73,La'Mical Perine,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,PIT,11,2023
74,J.J. Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,HOU,11,2023
75,Zack Moss,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,75.1%,CIN,11,2023
76,J.K. Dobbins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,43.4%,LAC,11,2023
77,Jonathan Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,98.8%,IND,11,2023
78,Antonio Gibson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,53.3%,NE,11,2023
79,Patrick Taylor Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.0%,SF,11,2023
80,James Robinson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,NO,11,2023
81,Mike Weber,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NYG,11,2023
82,Travis Homer,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,CHI,11,2023
83,Khari Blasingame,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,CHI,11,2023
84,Austin Walter,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,FA,11,2023
85,Andrew Beck,1,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,HOU,11,2023
86,JaMycal Hasty,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,NE,11,2023
87,Jaret Patterson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,LAC,11,2023
88,Elijah Collins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,CIN,11,2023
89,Reggie Gilliam,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,BUF,11,2023
90,Jonathan Ward,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,PIT,11,2023
91,Zamir White,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,74.1%,LV,11,2023
92,Raheem Blackshear,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,CAR,11,2023
93,Jermar Jefferson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,DET,11,2023
94,Xazavian Valladay,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NYJ,11,2023
95,Trey Benson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,52.1%,ARI,11,2023
96,Kenny McIntosh,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.3%,SEA,11,2023
97,Dylan McDuffie,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,GB,11,2023
98,Evan Hull,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.8%,IND,11,2023
99,Chase Brown,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,36.9%,CIN,11,2023
100,DeWayne McBride,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,MIN,11,2023
101,Jack Colletto,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,PIT,11,2023
102,Elijah Dotson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,LAC,11,2023
103,Lew Nichols III,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,PHI,11,2023
104,Carlos Washington Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,ATL,11,2023
105,Jabari Small,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,TEN,11,2023
106,Kendre Miller,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.8%,NO,11,2023
107,Brittain Brown,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,LV,11,2023
108,Zonovan Knight,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,DET,11,2023
109,Troy Hairston II,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,HOU,11,2023
110,Aaron Shampklin,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,PIT,11,2023
111,Tyreik McAllister,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,LV,11,2023
112,Julius Chestnut,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,TEN,11,2023
113,Emari Demercado,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.2%,ARI,11,2023
114,Kimani Vidal,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.7%,LAC,11,2023
115,Louis Rees-Zammit,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.3%,KC,11,2023
116,Aidan Robbins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,CLE,11,2023
117,Austin Jones,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,WAS,11,2023
118,Deshaun Fenwick,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NE,11,2023
119,Isaac Guerendo,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%,SF,11,2023
120,Blake Watson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,DEN,11,2023
121,Michael Wiley,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,WAS,11,2023
122,Carson Steele,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,KC,11,2023
123,Jaden Shirden,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,CAR,11,2023
124,Emani Bailey,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,KC,11,2023
125,Ramon Jefferson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,TB,11,2023
126,Jawhar Jordan,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,HOU,11,2023
127,Sione Vaki,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,DET,11,2023
128,Dillon Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,TEN,11,2023
129,Cody Schrader,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,SF,11,2023
130,Dylan Laube,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.7%,LV,11,2023
131,Dante Miller,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,NYG,11,2023
132,Jacob Kibodi,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NO,11,2023
133,Jonathon Brooks,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,83.1%,CAR,11,2023
134,Justin Strong,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,IND,11,2023
