Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Christian McCaffrey,18,115,6.4,26,1,1,5,5,72,14.4,2,0,1,41.7,41.7,100.0%,SF,15,2023
2,James Cook,25,179,7.2,24,2,1,2,3,42,21.0,1,0,1,36.1,36.1,97.8%,BUF,15,2023
3,Jahmyr Gibbs,11,100,9.1,34,3,1,2,2,8,4.0,1,0,1,24.8,24.8,99.3%,DET,15,2023
4,Ty Chandler,23,132,5.7,30,3,1,3,4,25,8.3,0,0,1,24.7,24.7,60.9%,MIN,15,2023
5,Kyren Williams,27,152,5.6,27,1,1,5,7,3,0.6,0,2,1,24.5,24.5,96.2%,LAR,15,2023
6,Rachaad White,21,89,4.2,22,1,0,2,2,50,25.0,1,0,1,21.9,21.9,97.5%,TB,15,2023
7,Devin Singletary,26,121,4.7,19,0,0,4,5,49,12.3,0,0,1,21.0,21.0,83.7%,NYG,15,2023
8,Kenneth Walker III,19,86,4.5,23,1,1,3,3,26,8.7,0,0,1,20.2,20.2,97.1%,SEA,15,2023
9,Clyde Edwards-Helaire,13,37,2.8,20,1,0,4,4,64,16.0,1,0,1,20.1,20.1,23.7%,KC,15,2023
10,Raheem Mostert,15,42,2.8,18,0,2,2,2,1,0.5,0,0,1,18.3,18.3,91.5%,MIA,15,2023
11,James Conner,14,86,6.1,44,3,1,3,3,3,1.0,0,0,1,17.9,17.9,91.7%,ARI,15,2023
12,Zamir White,17,69,4.1,15,0,1,3,4,16,5.3,0,0,1,17.5,17.5,74.1%,LV,15,2023
13,Jerick McKinnon,4,11,2.8,4,0,0,3,3,19,6.3,1,0,1,16.2,16.2,16.2%,FA,15,2023
14,Alvin Kamara,16,66,4.1,15,0,0,5,5,44,8.8,0,0,1,16.0,16.0,98.2%,NO,15,2023
15,Joe Mixon,10,47,4.7,10,0,1,3,3,14,4.7,0,0,1,15.1,15.1,99.1%,HOU,15,2023
16,Emari Demercado,4,64,16.0,49,3,1,1,3,6,6.0,0,0,1,14.0,14.0,2.2%,ARI,15,2023
17,Gus Edwards,16,58,3.6,20,1,1,1,1,11,11.0,0,0,1,13.9,13.9,80.8%,LAC,15,2023
18,Zack Moss,4,13,3.3,5,0,0,3,3,20,6.7,1,0,1,12.3,12.3,75.1%,CIN,15,2023
