Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Joe Mixon,19,68,3.6,18,0,2,6,7,49,8.2,0,0,1,29.7,29.7,99.1%,HOU,13,2023
2,Alvin Kamara,14,51,3.6,16,0,2,6,8,58,9.7,0,0,1,28.9,28.9,98.2%,NO,13,2023
3,De'Von Achane,17,73,4.3,15,0,2,3,4,30,10.0,0,0,1,25.3,25.3,95.6%,MIA,13,2023
4,Derrick Henry,21,102,4.9,22,1,2,1,2,18,18.0,0,0,1,25.0,25.0,99.3%,BAL,13,2023
5,James Conner,25,105,4.2,29,1,2,0,2,0,0.0,0,0,1,22.5,22.5,91.7%,ARI,13,2023
6,Chuba Hubbard,25,104,4.2,17,0,2,0,0,0,0.0,0,0,1,22.4,22.4,51.0%,CAR,13,2023
7,Christian McCaffrey,17,93,5.5,16,0,1,3,4,40,13.3,0,0,1,22.3,22.3,100.0%,SF,13,2023
8,Isiah Pacheco,18,110,6.1,26,1,1,3,4,13,4.3,0,0,1,21.3,21.3,97.8%,KC,13,2023
9,Kyren Williams,21,88,4.2,18,0,1,3,5,24,8.0,0,0,1,20.2,20.2,96.2%,LAR,13,2023
10,Rachaad White,20,84,4.2,30,2,1,3,5,22,7.3,0,0,1,19.6,19.6,97.5%,TB,13,2023
11,Travis Etienne Jr.,11,45,4.1,13,0,1,4,4,34,8.5,0,0,1,17.9,17.9,99.7%,JAC,13,2023
12,Tony Pollard,20,68,3.4,16,0,1,3,4,15,5.0,0,0,1,17.3,17.3,93.4%,TEN,13,2023
13,Zach Charbonnet,19,60,3.2,14,0,1,1,2,39,39.0,0,0,1,16.9,16.9,63.1%,SEA,13,2023
14,Jerome Ford,9,19,2.1,10,0,0,3,3,33,11.0,1,0,1,14.2,14.2,79.9%,CLE,13,2023
15,Ezekiel Elliott,17,52,3.1,8,0,0,4,5,40,10.0,0,0,1,13.2,13.2,78.1%,DAL,13,2023
16,Tyjae Spears,16,75,4.7,19,0,0,4,6,13,3.3,0,0,1,12.8,12.8,64.7%,TEN,13,2023
17,David Montgomery,18,56,3.1,13,0,1,1,2,-1,-1.0,0,0,1,12.5,12.5,93.2%,DET,13,2023
18,Raheem Mostert,11,43,3.9,12,0,1,1,1,8,8.0,0,0,1,12.1,12.1,91.5%,MIA,13,2023
19,Antonio Gibson,10,35,3.5,9,0,0,4,5,37,9.3,0,0,1,11.2,11.2,53.3%,NE,13,2023
20,Bijan Robinson,18,53,2.9,12,0,0,3,5,26,8.7,0,0,1,10.9,10.9,99.9%,ATL,13,2023
21,Breece Hall,13,16,1.2,9,0,0,6,8,29,4.8,0,0,1,10.5,10.5,98.9%,NYJ,13,2023
22,Dameon Pierce,15,41,2.7,22,1,1,0,0,0,0.0,0,0,1,10.1,10.1,28.0%,HOU,13,2023
23,Javonte Williams,13,46,3.5,16,0,0,3,3,24,8.0,0,0,1,10.0,10.0,89.1%,DEN,13,2023
24,Kenneth Gainwell,2,5,2.5,3,0,0,5,6,42,8.4,0,0,1,9.7,9.7,14.8%,PHI,13,2023
25,AJ Dillon,18,73,4.1,10,0,0,1,1,14,14.0,0,0,1,9.7,9.7,35.2%,GB,13,2023
26,Najee Harris,16,63,3.9,11,0,0,2,3,14,7.0,0,0,1,9.7,9.7,91.4%,PIT,13,2023
27,Zack Moss,19,51,2.7,5,0,0,2,3,6,3.0,0,0,1,7.7,7.7,75.1%,CIN,13,2023
28,Jaylen Warren,9,59,6.6,18,0,0,1,3,-4,-4.0,0,0,1,6.5,6.5,84.7%,PIT,13,2023
29,Jahmyr Gibbs,8,60,7.5,36,2,0,1,2,-6,-6.0,0,0,1,6.4,6.4,99.3%,DET,13,2023
30,Chase Brown,9,61,6.8,31,2,0,0,0,0,0.0,0,0,1,6.1,6.1,36.9%,CIN,13,2023
31,Kareem Hunt,12,48,4.0,7,0,0,1,1,0,0.0,0,0,1,5.8,5.8,27.3%,FA,13,2023
32,Brian Robinson Jr.,7,53,7.6,29,1,0,0,0,0,0.0,0,0,1,5.3,5.3,86.1%,WAS,13,2023
33,Devin Singletary,8,36,4.5,14,0,0,1,1,4,4.0,0,0,1,5.0,5.0,83.7%,NYG,13,2023
34,Austin Ekeler,14,18,1.3,4,0,0,2,3,9,4.5,0,0,1,4.7,4.7,93.1%,WAS,13,2023
35,Joshua Kelley,6,16,2.7,7,0,0,2,3,9,4.5,0,0,1,4.5,4.5,6.6%,FA,13,2023
36,Jaleel McLaughlin,4,15,3.8,8,0,0,2,2,6,3.0,0,0,1,4.1,4.1,9.9%,DEN,13,2023
37,D'Andre Swift,6,13,2.2,4,0,0,2,6,7,3.5,0,0,1,4.0,4.0,93.8%,CHI,13,2023
38,Boston Scott,1,2,2.0,2,0,0,1,1,27,27.0,0,0,1,3.9,3.9,0.1%,LAR,13,2023
39,Miles Sanders,8,23,2.9,8,0,0,1,2,6,6.0,0,0,1,3.9,3.9,23.3%,CAR,13,2023
40,Dalvin Cook,9,35,3.9,14,0,0,1,2,11,11.0,0,1,1,3.6,3.6,9.5%,FA,13,2023
41,Rico Dowdle,5,15,3.0,8,0,0,1,1,7,7.0,0,0,1,3.2,3.2,10.6%,DAL,13,2023
42,Tyler Goodson,0,0,0.0,0,0,0,2,2,11,5.5,0,0,1,3.1,3.1,0.1%,IND,13,2023
43,Rhamondre Stevenson,9,39,4.3,9,0,0,1,1,0,0.0,0,1,1,2.9,2.9,84.5%,NE,13,2023
44,Chris Rodriguez Jr.,7,29,4.1,15,0,0,0,0,0,0.0,0,0,1,2.9,2.9,1.3%,WAS,13,2023
45,Patrick Taylor Jr.,2,29,14.5,24,1,0,0,1,0,0.0,0,0,1,2.9,2.9,2.0%,SF,13,2023
46,Cordarrelle Patterson,5,11,2.2,7,0,0,1,2,6,6.0,0,0,1,2.7,2.7,1.4%,PIT,13,2023
47,Samaje Perine,1,1,1.0,1,0,0,2,2,5,2.5,0,0,1,2.6,2.6,12.7%,DEN,13,2023
48,Tyler Allgeier,8,26,3.3,6,0,0,0,0,0,0.0,0,0,1,2.6,2.6,48.6%,ATL,13,2023
49,Jamaal Williams,5,10,2.0,4,0,0,1,1,6,6.0,0,0,1,2.6,2.6,10.3%,NO,13,2023
50,Michael Carter,4,25,6.3,19,0,0,0,0,0,0.0,0,0,1,2.5,2.5,1.3%,ARI,13,2023
51,Dare Ogunbowale,1,1,1.0,1,0,0,1,1,14,14.0,0,0,1,2.5,2.5,0.3%,HOU,13,2023
52,Clyde Edwards-Helaire,2,6,3.0,5,0,0,1,2,8,8.0,0,0,1,2.4,2.4,23.7%,KC,13,2023
53,Pierre Strong Jr.,2,20,10.0,13,0,0,0,0,0,0.0,0,0,1,2.0,2.0,0.6%,CLE,13,2023
54,Chase Edmonds,2,7,3.5,4,0,0,1,1,2,2.0,0,0,1,1.9,1.9,0.8%,TB,13,2023
55,D'Ernest Johnson,5,4,0.8,4,0,0,1,1,5,5.0,0,0,1,1.9,1.9,2.7%,JAC,13,2023
56,Elijah Mitchell,3,13,4.3,11,0,0,0,0,0,0.0,0,0,1,1.3,1.3,8.9%,SF,13,2023
57,Jeff Wilson Jr.,4,11,2.8,6,0,0,0,0,0,0.0,0,0,1,1.1,1.1,6.8%,MIA,13,2023
58,Jordan Mason,2,10,5.0,6,0,0,0,0,0,0.0,0,0,1,1.0,1.0,2.3%,SF,13,2023
59,James Robinson,1,2,2.0,2,0,0,1,1,-2,-2.0,0,0,1,1.0,1.0,0.1%,NO,13,2023
60,Alec Ingold,0,0,0.0,0,0,0,1,1,-3,-3.0,0,0,1,0.7,0.7,0.2%,MIA,13,2023
61,Raheem Blackshear,1,6,6.0,6,0,0,0,0,0,0.0,0,0,1,0.6,0.6,0.1%,CAR,13,2023
62,DeeJay Dallas,1,6,6.0,6,0,0,0,2,0,0.0,0,0,1,0.6,0.6,0.6%,ARI,13,2023
63,Michael Burton,1,4,4.0,4,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.1%,DEN,13,2023
64,Ty Montgomery II,1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,FA,13,2023
65,J.K. Dobbins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,43.4%,LAC,13,2023
66,La'Mical Perine,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.2%,PIT,13,2023
67,Jonathan Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,98.8%,IND,13,2023
68,Darrynton Evans,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,BUF,13,2023
69,Craig Reynolds,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.8%,DET,13,2023
70,Trey Sermon,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0.0,0.0,0.9%,IND,13,2023
71,Tony Jones Jr.,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,ARI,13,2023
72,Ty Chandler,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,60.9%,MIN,13,2023
73,Salvon Ahmed,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6%,MIA,13,2023
74,J.J. Taylor,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,HOU,13,2023
75,Mike Weber,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,NYG,13,2023
76,Travis Homer,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,CHI,13,2023
77,Trayveon Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.3%,CIN,13,2023
78,Ty Johnson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6%,BUF,13,2023
79,Alexander Mattison,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,41.3%,LV,13,2023
80,Khari Blasingame,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,CHI,13,2023
81,Andrew Beck,0,0,0.0,0,0,0,1,2,5,5.0,0,0,1,0.0,0.0,0.1%,HOU,13,2023
82,Jaret Patterson,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,LAC,13,2023
83,Elijah Collins,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,CIN,13,2023
84,Reggie Gilliam,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%,BUF,13,2023
85,JaMycal Hasty,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%,NE,13,2023
