Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,D.J. Reed Jr.,10,2,1.0,0,0,1,0,0,1,32.0,32.0,10.3%,NYJ,14,2018
2,Mike Hilton,6,2,1.0,0,0,0,1,0,1,23.5,23.5,11.1%,CIN,14,2018
3,Rasul Douglas,9,0,0.0,1,1,0,0,0,1,22.5,22.5,8.7%,BUF,14,2018
4,Corey Graham,7,4,0.0,1,1,0,0,0,1,20.0,20.0,0.0%,FA,14,2018
5,Marshon Lattimore,5,0,0.0,2,1,1,0,0,1,19.5,19.5,6.0%,NO,14,2018
6,Darius Slay Jr.,2,1,0.0,3,1,0,0,1,1,19.3,19.3,10.0%,PHI,14,2018
7,Damarious Randall,8,1,0.0,1,1,0,0,0,1,19.3,19.3,0.0%,FA,14,2018
8,Jaire Alexander,10,0,0.0,1,0,0,0,0,1,19.0,19.0,8.6%,GB,14,2018
9,Trumaine Johnson,3,1,0.0,2,2,0,0,0,1,18.3,18.3,0.0%,FA,14,2018
10,Kareem Jackson,9,2,0.0,2,0,0,0,0,1,18.0,18.0,0.7%,FA,14,2018
11,Bashaud Breeland,1,0,0.0,1,1,0,1,1,1,18.0,18.0,1.0%,FA,14,2018
12,Prince Amukamara,5,1,0.0,3,1,0,0,0,1,17.8,17.8,0.0%,FA,14,2018
13,John Johnson III,5,1,0.0,1,1,0,0,0,1,17.3,17.3,0.0%,FA,14,2018
14,Jimmy Smith,10,1,0.0,1,0,0,0,0,1,17.3,17.3,0.0%,FA,14,2018
15,Curtis Riley,2,1,0.0,1,1,0,0,1,1,16.3,16.3,0.0%,FA,14,2018
16,Kenny Moore II,6,1,1.0,0,0,0,0,0,1,16.3,16.3,29.4%,IND,14,2018
17,Holton Hill,7,1,0.0,3,0,0,0,0,1,15.8,15.8,0.0%,FA,14,2018
18,Logan Ryan,5,2,1.0,0,0,0,0,0,1,15.5,15.5,1.3%,FA,14,2018
19,Malcolm Jenkins,8,1,0.0,0,0,0,0,0,1,15.3,15.3,15.0%,FA,14,2018
20,Shaq Griffin,6,1,0.0,2,0,0,0,0,1,15.3,15.3,1.2%,MIN,14,2018
21,Kendall Fuller,5,2,0.0,4,0,0,0,0,1,15.0,15.0,7.2%,MIA,14,2018
22,Donte Jackson,8,2,0.0,1,0,0,0,0,1,15.0,15.0,3.6%,PIT,14,2018
23,Budda Baker,4,0,0.0,0,0,1,1,0,1,14.0,14.0,36.4%,ARI,14,2018
24,Marcell Harris,5,2,0.0,0,0,0,0,0,1,14.0,14.0,0.0%,FA,14,2018
25,Ronnie Harrison Jr.,5,0,0.0,1,1,0,0,0,1,14.0,14.0,0.6%,IND,14,2018
26,Bobby McCain,4,2,1.0,0,0,0,0,0,1,14.0,14.0,0.0%,FA,14,2018
27,Desmond Trufant,4,1,1.0,0,0,0,0,0,1,13.3,13.3,0.0%,FA,14,2018
28,Michael J. Thomas,3,3,0.0,1,1,0,0,0,1,13.3,13.3,0.0%,FA,14,2018
29,Clayton Geathers,6,3,0.0,1,0,0,0,0,1,12.8,12.8,0.0%,FA,14,2018
30,Tre Flowers,7,1,0.0,1,0,0,0,0,1,12.8,12.8,0.0%,JAC,14,2018
31,Darian Stewart,4,0,0.0,1,1,0,0,0,1,12.5,12.5,0.0%,FA,14,2018
32,Eric Weddle,5,1,0.0,1,0,0,0,0,1,12.3,12.3,11.0%,FA,14,2018
33,Sherrick McManis,6,1,0.0,0,0,0,0,0,1,12.3,12.3,0.0%,FA,14,2018
34,Justin Reid,6,1,0.0,0,0,0,0,0,1,12.3,12.3,33.2%,KC,14,2018
35,Jahleel Addae,7,2,0.0,0,0,0,0,0,1,12.0,12.0,0.0%,FA,14,2018
36,Morris Claiborne,8,0,0.0,0,0,0,0,0,1,12.0,12.0,0.0%,FA,14,2018
37,Kyle Fuller,3,1,0.0,1,1,0,0,0,1,11.8,11.8,0.0%,FA,14,2018
38,Nickell Robey-Coleman,2,1,0.0,2,1,0,0,0,1,11.8,11.8,0.0%,FA,14,2018
39,Justin Coleman,1,0,0.0,0,0,0,1,1,1,11.5,11.5,0.0%,FA,14,2018
40,Antoine Bethea,7,1,0.0,0,0,0,0,0,1,11.3,11.3,28.0%,FA,14,2018
