Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Adrian Amos,6,1,1,3,1,0,0,0,1,25.8,25.8,0.2%,FA,9,2018
2,Eddie Jackson,5,1,0,0,0,1,1,1,1,24.8,24.8,3.5%,FA,9,2018
3,T.J. McDonald,8,1,0,2,1,0,0,0,1,23.3,23.3,0.0%,FA,9,2018
4,Steven Nelson,8,0,0,1,1,0,0,0,1,18.5,18.5,0.0%,FA,9,2018
5,Quinton Dunbar,5,1,0,3,1,0,0,0,1,17.8,17.8,0.0%,FA,9,2018
6,Jahleel Addae,3,7,1,1,0,0,0,0,1,17.8,17.8,0.0%,FA,9,2018
7,Desmond King II,1,2,0,2,1,0,0,1,1,17.0,17.0,12.8%,HOU,9,2018
8,Justin Reid,8,1,0,0,0,0,1,0,1,16.8,16.8,33.2%,KC,9,2018
9,P.J. Williams,5,1,0,3,0,0,0,0,1,15.3,15.3,0.0%,FA,9,2018
10,Kevin Byard III,3,2,0,1,1,0,0,0,1,15.0,15.0,29.0%,CHI,9,2018
11,Jamal Adams,5,2,0,2,0,0,0,0,1,14.5,14.5,3.5%,FA,9,2018
12,Donte Jackson,5,0,0,1,1,0,0,0,1,14.0,14.0,3.6%,PIT,9,2018
13,Kyle Fuller,1,2,0,4,1,0,0,0,1,14.0,14.0,0.0%,FA,9,2018
14,Michael Davis,8,1,0,0,0,0,0,0,1,12.8,12.8,1.0%,WAS,9,2018
15,Damontae Kazee,3,2,0,1,1,0,0,0,1,12.5,12.5,1.2%,PIT,9,2018
16,Darius Slay Jr.,3,0,0,2,1,0,0,0,1,12.5,12.5,10.0%,PHI,9,2018
17,Mike Hilton,4,0,0,1,0,0,0,0,1,12.5,12.5,11.1%,CIN,9,2018
18,Jimmy Smith,4,1,0,2,0,0,0,0,1,12.3,12.3,0.0%,FA,9,2018
19,Sean Davis,8,0,0,0,0,0,0,0,1,12.0,12.0,0.0%,FA,9,2018
20,Lamarcus Joyner,6,2,0,1,0,0,0,0,1,12.0,12.0,0.0%,FA,9,2018
21,Mackensie Alexander,3,1,1,0,0,0,0,0,1,11.8,11.8,0.0%,FA,9,2018
22,Derwin James Jr.,4,7,0,0,0,0,0,0,1,11.3,11.3,75.7%,LAC,9,2018
