Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Olivier Vernon,4,1,3.0,1,0,0,0,0,1,27.8,27.8,6.0%,FA,11,2020
2,Cameron Jordan,4,0,3.0,0,0,0,0,0,1,25.5,25.5,5.8%,NO,11,2020
3,David Onyemata,3,0,2.0,0,0,0,0,0,1,17.5,17.5,5.8%,ATL,11,2020
4,Carlos Dunlap II,2,2,2.0,0,0,0,0,0,1,17.5,17.5,3.0%,FA,11,2020
5,DeShawn Williams,3,0,2.0,0,0,0,0,0,1,17.5,17.5,0.6%,BUF,11,2020
6,Josh Sweat,5,1,1.0,0,0,0,0,0,1,17.3,17.3,14.1%,PHI,11,2020
7,Brian Burns,2,3,2.0,1,0,0,0,0,1,17.3,17.3,41.8%,NYG,11,2020
8,Jason Pierre-Paul,4,2,0.0,2,1,0,0,0,1,15.5,15.5,0.0%,FA,11,2020
9,Kenny Clark,5,1,1.0,0,0,0,0,0,1,14.8,14.8,9.2%,GB,11,2020
10,Jaleel Johnson,3,4,1.0,0,0,0,0,0,1,14.0,14.0,0.0%,FA,11,2020
11,Adrian Clayborn,2,1,1.5,0,0,1,0,0,1,13.8,13.8,0.0%,FA,11,2020
12,Trey Hendrickson,2,0,2.0,0,0,0,0,0,1,13.5,13.5,35.9%,CIN,11,2020
13,Carl Lawson,3,2,1.0,0,0,0,0,0,1,12.5,12.5,0.0%,FA,11,2020
14,Stephon Tuitt,1,0,1.0,1,0,1,0,0,1,11.0,11.0,0.1%,FA,11,2020
15,Fletcher Cox,2,0,1.0,0,0,1,0,0,1,11.0,11.0,1.1%,FA,11,2020
16,Yannick Ngakoue,2,0,1.0,0,0,1,0,0,1,11.0,11.0,1.8%,FA,11,2020
17,Brandon Graham,3,2,0.0,0,0,0,0,0,1,11.0,11.0,2.3%,PHI,11,2020
18,Ryan Kerrigan,3,0,1.0,0,0,0,0,0,1,11.0,11.0,0.0%,FA,11,2020
19,Efe Obada,1,1,1.5,0,0,0,0,0,1,10.8,10.8,0.0%,WAS,11,2020
20,Grady Jarrett,4,3,0.5,0,0,0,0,0,1,10.3,10.3,5.7%,ATL,11,2020
21,Charles Harris,1,1,1.0,1,0,0,0,0,1,10.3,10.3,4.0%,FA,11,2020
22,Justin Houston,2,1,1.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,11,2020
23,Montez Sweat,2,1,1.0,0,0,0,0,0,1,10.3,10.3,35.6%,CHI,11,2020
24,J.J. Watt,2,0,0.0,3,0,0,0,0,1,10.0,10.0,4.2%,FA,11,2020
25,DeMarcus Lawrence,1,3,0.5,0,0,0,1,0,1,9.8,9.8,12.8%,DAL,11,2020
26,Angelo Blackson,1,2,1.0,0,0,0,0,0,1,9.5,9.5,0.2%,DEN,11,2020
27,Foley Fatukasi,3,3,0.0,0,0,0,0,0,1,9.3,9.3,0.4%,HOU,11,2020
28,John Penisini,3,1,1.0,0,0,0,0,0,1,9.3,9.3,0.0%,FA,11,2020
29,Chase Young,2,1,0.0,1,0,1,0,0,1,9.3,9.3,10.5%,NO,11,2020
30,Henry Anderson,1,4,0.5,0,0,0,0,0,1,9.0,9.0,0.0%,FA,11,2020
31,Steven Means,4,0,0.0,0,0,0,0,0,1,8.5,8.5,0.0%,FA,11,2020
32,Derek Wolfe,2,4,0.0,0,0,0,0,0,1,8.5,8.5,0.0%,FA,11,2020
33,Tim Settle,1,0,1.0,0,0,0,0,0,1,8.0,8.0,0.4%,HOU,11,2020
34,Jonathan Greenard,1,0,1.0,0,0,0,0,0,1,8.0,8.0,29.2%,MIN,11,2020
35,Michael Dogbe,1,0,1.0,0,0,0,0,0,1,8.0,8.0,2.0%,FA,11,2020
36,Sam Hubbard,3,1,0.0,0,0,0,0,0,1,7.8,7.8,21.9%,CIN,11,2020
37,Dre'Mont Jones,2,1,1.0,0,0,0,0,0,1,7.8,7.8,4.9%,SEA,11,2020
38,Lawrence Guy Sr.,4,2,0.0,0,0,0,0,0,1,7.5,7.5,4.0%,FA,11,2020
39,Javon Hargrave,3,4,0.0,0,0,0,0,0,1,7.5,7.5,14.8%,SF,11,2020
40,Zach Kerr,1,2,1.0,0,0,0,0,0,1,7.0,7.0,0.0%,FA,11,2020
41,Cameron Malveaux,2,0,0.0,0,0,1,0,0,1,7.0,7.0,0.0%,FA,11,2020
42,Aldon Smith,3,0,0.0,0,0,0,0,0,1,7.0,7.0,0.0%,FA,11,2020
43,Zach Sieler,3,0,0.0,0,0,0,0,0,1,7.0,7.0,28.8%,MIA,11,2020
44,Jalyn Holmes,3,3,0.0,0,0,0,0,0,1,6.8,6.8,0.4%,NYJ,11,2020
