Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Calais Campbell,4,1,3.0,0,0,0,0,0,1,28.8,28.8,2.9%,MIA,6,2020
2,Brandon Graham,5,1,2.0,0,0,0,0,0,1,21.3,21.3,2.3%,PHI,6,2020
3,Haason Reddick,4,1,2.0,1,0,0,0,0,1,21.3,21.3,17.4%,NYJ,6,2020
4,Emmanuel Ogbah,3,2,2.0,0,0,0,0,0,1,19.0,19.0,2.0%,FA,6,2020
5,J.J. Watt,4,0,1.0,1,0,1,0,0,1,18.0,18.0,4.2%,FA,6,2020
6,Jason Pierre-Paul,2,4,1.5,0,0,1,0,0,1,16.0,16.0,0.0%,FA,6,2020
7,DeForest Buckner,4,1,1.0,0,0,0,0,0,1,15.8,15.8,47.6%,IND,6,2020
8,Christian Wilkins,3,2,1.0,2,0,0,0,0,1,15.5,15.5,48.7%,LV,6,2020
9,Josh Sweat,3,2,0.0,1,0,0,0,0,1,15.0,15.0,14.1%,PHI,6,2020
10,Jeffery Simmons,4,2,1.0,0,0,0,0,0,1,14.0,14.0,28.2%,TEN,6,2020
11,Malik Jackson,2,2,1.0,0,0,0,0,0,1,13.5,13.5,0.0%,FA,6,2020
12,Xavier Williams,3,1,1.0,0,0,0,1,0,1,13.3,13.3,0.0%,FA,6,2020
13,Trey Flowers,2,3,1.0,0,0,1,0,0,1,13.3,13.3,0.2%,FA,6,2020
14,Cameron Heyward,6,2,0.0,0,0,0,0,0,1,13.0,13.0,23.1%,PIT,6,2020
15,Ifeadi Odenigbo,1,3,1.5,0,0,0,0,0,1,12.3,12.3,4.0%,NYJ,6,2020
16,Leonard Williams,2,3,1.0,0,0,0,0,0,1,11.8,11.8,11.1%,SEA,6,2020
17,Mario Addison,3,1,1.0,0,0,0,0,0,1,11.8,11.8,4.0%,FA,6,2020
18,Myles Garrett,3,1,1.0,0,0,0,0,0,1,11.8,11.8,63.8%,CLE,6,2020
19,Stephon Tuitt,3,1,0.5,0,0,1,0,0,1,11.3,11.3,0.1%,FA,6,2020
20,Jordan Phillips,2,0,0.0,0,0,1,1,0,1,11.0,11.0,1.3%,NYG,6,2020
21,Daron Payne,4,1,0.0,1,0,0,0,0,1,10.8,10.8,15.4%,WAS,6,2020
22,P.J. Hall,7,0,0.0,0,0,0,0,0,1,10.5,10.5,0.0%,FA,6,2020
23,Allen Bailey,2,1,1.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,6,2020
24,Bilal Nichols,2,1,1.0,0,0,0,0,0,1,10.3,10.3,1.3%,ARI,6,2020
25,Tyquan Lewis,2,3,0.5,0,0,0,0,0,1,9.8,9.8,0.4%,IND,6,2020
26,Akiem Hicks,2,0,0.0,0,0,0,1,0,1,9.5,9.5,0.0%,FA,6,2020
27,Vernon Butler,2,2,0.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,6,2020
28,Romeo Okwara,2,0,0.0,0,0,0,1,0,1,9.5,9.5,0.0%,FA,6,2020
29,Tarell Basham,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,6,2020
30,Quinnen Williams,2,3,0.0,1,0,0,0,0,1,9.3,9.3,27.2%,NYJ,6,2020
31,Larry Ogunjobi,4,1,0.0,0,0,0,0,0,1,9.3,9.3,2.3%,PIT,6,2020
32,DaQuan Jones,2,2,0.5,0,0,0,0,0,1,9.0,9.0,0.8%,BUF,6,2020
33,Shamar Stephen,2,1,0.0,0,0,0,0,0,1,8.8,8.8,0.0%,FA,6,2020
34,Jihad Ward,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.2%,MIN,6,2020
