Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,DeForest Buckner,3,1,3.0,0,0,1,0,0,1,26.3,26.3,47.6%,IND,15,2020
2,Arik Armstead,5,3,2.0,0,0,0,0,0,1,22.8,22.8,3.7%,JAC,15,2020
3,Zach Allen,6,5,1.0,1,0,0,0,0,1,20.8,20.8,11.0%,DEN,15,2020
4,Haason Reddick,3,1,1.0,0,0,2,0,0,1,19.8,19.8,17.4%,NYJ,15,2020
5,Brian Burns,4,0,2.0,0,0,0,0,0,1,19.0,19.0,41.8%,NYG,15,2020
6,Yannick Ngakoue,3,0,2.0,0,0,1,0,0,1,19.0,19.0,1.8%,FA,15,2020
7,Trey Hendrickson,2,0,2.0,0,0,1,0,0,1,17.5,17.5,35.9%,CIN,15,2020
8,Derrick Brown,3,0,2.0,0,0,0,0,0,1,17.5,17.5,40.2%,CAR,15,2020
9,DeMarcus Lawrence,3,2,1.0,0,0,1,0,0,1,16.5,16.5,12.8%,DAL,15,2020
10,Romeo Okwara,4,0,1.0,0,0,0,0,0,1,15.0,15.0,0.0%,FA,15,2020
11,Dexter Lawrence II,2,4,1.0,1,0,0,0,0,1,14.0,14.0,12.5%,NYG,15,2020
12,Denico Autry,3,1,1.5,0,0,0,0,0,1,13.8,13.8,10.5%,HOU,15,2020
13,Carl Lawson,2,0,1.0,0,0,1,0,0,1,13.5,13.5,0.0%,FA,15,2020
14,Derek Wolfe,2,0,1.0,0,0,0,1,0,1,13.5,13.5,0.0%,FA,15,2020
15,Nathan Shepherd,2,1,1.0,0,0,0,0,0,1,12.8,12.8,1.9%,NO,15,2020
16,Dawuane Smoot,3,0,1.0,0,0,1,0,0,1,12.5,12.5,0.4%,BUF,15,2020
17,Zach Sieler,3,2,1.0,0,0,0,0,0,1,12.5,12.5,28.8%,MIA,15,2020
18,Ed Oliver,2,1,1.0,1,0,0,0,0,1,11.8,11.8,22.9%,BUF,15,2020
19,Carl Nassib,2,3,0.0,1,0,0,0,0,1,11.8,11.8,0.0%,FA,15,2020
20,Quinnen Williams,3,1,1.0,0,0,0,0,0,1,11.8,11.8,27.2%,NYJ,15,2020
21,Mario Addison,2,2,1.0,0,0,0,0,0,1,11.0,11.0,4.0%,FA,15,2020
22,Malik Jackson,3,0,0.0,1,0,0,0,0,1,11.0,11.0,0.0%,FA,15,2020
23,Alton Robinson,1,2,1.0,0,0,1,0,0,1,11.0,11.0,0.0%,FA,15,2020
24,Adam Butler,2,2,1.0,0,0,0,0,0,1,11.0,11.0,0.8%,LV,15,2020
25,Austin Bryant,4,3,0.0,0,0,0,0,0,1,10.8,10.8,1.0%,SF,15,2020
26,Adam Gotsis,3,1,0.0,1,0,1,0,0,1,10.8,10.8,1.2%,JAC,15,2020
27,Cameron Heyward,4,3,0.0,0,0,0,0,0,1,10.8,10.8,23.1%,PIT,15,2020
28,Jerry Hughes,0,0,0.0,0,0,0,1,1,1,10.0,10.0,1.0%,FA,15,2020
