Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Haason Reddick,5,0,5.0,0,0,3,0,0,1,44.5,44.5,17.4%,NYJ,14,2020
2,Chase Young,2,4,1.0,2,0,1,1,1,1,29.5,29.5,10.5%,NO,14,2020
3,Javon Hargrave,2,2,2.0,0,0,0,1,0,1,21.5,21.5,14.8%,SF,14,2020
4,Josh Sweat,3,1,2.0,0,0,1,0,0,1,19.8,19.8,14.1%,PHI,14,2020
5,Michael Brockers,3,2,2.0,0,0,0,0,0,1,19.0,19.0,0.0%,FA,14,2020
6,Olivier Vernon,2,1,2.0,1,0,0,0,0,1,18.3,18.3,6.0%,FA,14,2020
7,Daron Payne,1,4,1.0,1,0,1,1,0,1,18.0,18.0,15.4%,WAS,14,2020
8,Mike Danna,4,0,1.0,0,0,0,0,0,1,17.5,17.5,5.3%,KC,14,2020
9,Montez Sweat,5,0,1.0,0,0,0,0,0,1,16.5,16.5,35.6%,CHI,14,2020
10,Mario Edwards Jr.,2,0,2.0,0,0,0,0,0,1,16.0,16.0,0.0%,HOU,14,2020
11,Tyrone Crawford,2,0,2.0,0,0,0,0,0,1,16.0,16.0,0.0%,FA,14,2020
12,Jason Pierre-Paul,1,1,1.0,0,0,1,1,0,1,14.3,14.3,0.0%,FA,14,2020
13,Chris Jones,4,0,1.0,1,0,0,0,0,1,14.0,14.0,25.6%,KC,14,2020
14,Tyeler Davison,5,2,0.0,0,0,0,0,0,1,14.0,14.0,0.0%,FA,14,2020
15,Sheldon Richardson,3,3,1.0,0,0,0,0,0,1,13.3,13.3,1.0%,FA,14,2020
16,Aldon Smith,1,2,0.0,0,0,0,1,1,1,13.0,13.0,0.0%,FA,14,2020
17,Dalvin Tomlinson,2,1,1.0,0,0,0,0,0,1,12.8,12.8,2.1%,CLE,14,2020
18,Kenny Clark,4,0,1.0,0,0,0,0,0,1,12.5,12.5,9.2%,GB,14,2020
19,Ndamukong Suh,2,4,1.0,0,0,0,0,0,1,12.5,12.5,0.0%,FA,14,2020
20,Tyson Alualu,2,2,1.0,0,0,1,0,0,1,12.5,12.5,0.0%,FA,14,2020
21,Zach Sieler,3,0,0.0,0,0,0,0,0,1,12.0,12.0,28.8%,MIA,14,2020
22,Margus Hunt,2,0,1.0,0,0,0,0,0,1,12.0,12.0,0.0%,FA,14,2020
23,Foley Fatukasi,2,0,1.0,0,0,0,0,0,1,12.0,12.0,0.4%,HOU,14,2020
24,Dean Lowry,2,2,1.0,0,0,0,0,0,1,11.0,11.0,0.6%,PIT,14,2020
25,Aaron Donald,1,1,1.5,0,0,0,0,0,1,10.8,10.8,11.6%,FA,14,2020
26,Carlos Watkins,3,1,0.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,14,2020
27,Fletcher Cox,2,1,1.0,0,0,0,0,0,1,10.3,10.3,1.1%,FA,14,2020
28,DeMarcus Lawrence,2,0,0.0,0,0,1,0,0,1,9.5,9.5,12.8%,DAL,14,2020
29,Tershawn Wharton,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.4%,KC,14,2020
30,Morgan Fox,2,0,1.0,0,0,0,0,0,1,9.5,9.5,2.3%,LAC,14,2020
31,Dre'Mont Jones,1,0,1.0,1,0,0,0,0,1,9.5,9.5,4.9%,SEA,14,2020
32,Dion Jordan,1,2,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,14,2020
33,Frank Clark,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,14,2020
34,Bilal Nichols,1,1,1.0,0,0,0,0,0,1,8.8,8.8,1.3%,ARI,14,2020
35,Maxx Crosby,2,1,0.0,0,0,0,0,0,1,8.8,8.8,69.0%,LV,14,2020
36,Jarran Reed,1,1,1.0,0,0,0,0,0,1,8.8,8.8,5.8%,SEA,14,2020
37,Byron Cowart,1,1,1.0,0,0,0,0,0,1,8.8,8.8,0.4%,CHI,14,2020
38,Doug Costin,2,2,0.0,0,0,0,1,0,1,8.5,8.5,0.0%,FA,14,2020
39,Damon Harrison Sr.,0,6,0.0,0,0,1,0,0,1,8.5,8.5,0.0%,FA,14,2020
40,Sam Hubbard,3,3,0.0,1,0,0,0,0,1,8.3,8.3,21.9%,CIN,14,2020
41,Patrick O'Connor,1,0,1.0,0,0,0,0,0,1,8.0,8.0,3.0%,FA,14,2020
42,Justin Jones,1,0,1.0,0,0,0,0,0,1,8.0,8.0,2.7%,ARI,14,2020
43,DeMarcus Walker,1,0,1.0,0,0,0,0,0,1,8.0,8.0,1.9%,CHI,14,2020
44,Javon Kinlaw,3,1,0.0,0,0,0,0,0,1,7.8,7.8,1.7%,NYJ,14,2020
45,Quinnen Williams,4,2,0.0,0,0,0,0,0,1,7.5,7.5,27.2%,NYJ,14,2020
46,Sebastian Joseph-Day,3,2,0.0,1,0,0,0,0,1,7.5,7.5,2.2%,TEN,14,2020
47,Christian Wilkins,2,3,0.5,0,0,0,0,0,1,7.3,7.3,48.7%,LV,14,2020
48,Dawuane Smoot,2,0,0.0,0,0,1,0,0,1,7.0,7.0,0.4%,BUF,14,2020
49,Linval Joseph,3,0,0.0,0,0,0,0,0,1,7.0,7.0,0.0%,FA,14,2020
50,Brent Urban,2,0,1.0,0,0,0,0,0,1,7.0,7.0,0.4%,BAL,14,2020
51,Grady Jarrett,4,1,0.0,0,0,0,0,0,1,6.8,6.8,5.7%,ATL,14,2020
52,Brian Burns,3,3,0.0,0,0,0,0,0,1,6.8,6.8,41.8%,NYG,14,2020
53,B.J. Hill,2,1,0.0,0,0,0,0,0,1,6.3,6.3,5.8%,CIN,14,2020
54,Austin Bryant,4,0,0.0,0,0,0,0,0,1,6.0,6.0,1.0%,SF,14,2020
55,Shy Tuttle,2,4,0.0,0,0,0,0,0,1,6.0,6.0,2.3%,CAR,14,2020
56,Raekwon Davis,3,2,0.0,0,0,0,0,0,1,6.0,6.0,0.2%,IND,14,2020
57,Daniel Ekuale,2,4,0.0,0,0,0,0,0,1,6.0,6.0,0.2%,NE,14,2020
58,John Penisini,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,14,2020
59,Poona Ford,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.8%,LAC,14,2020
60,Jabaal Sheard,2,0,0.0,0,0,0,0,0,1,5.5,5.5,0.0%,FA,14,2020
61,Myles Garrett,1,2,0.0,0,0,0,0,0,1,5.5,5.5,63.8%,CLE,14,2020
62,Joshua Uche,2,0,0.0,0,0,0,0,0,1,5.5,5.5,1.0%,NE,14,2020
63,Rakeem Nunez-Roches,2,3,0.0,0,0,0,0,0,1,5.3,5.3,1.0%,NYG,14,2020
64,Cameron Heyward,2,1,0.0,1,0,0,0,0,1,5.3,5.3,23.1%,PIT,14,2020
65,William Gholston,2,3,0.0,0,0,0,0,0,1,5.3,5.3,1.6%,TB,14,2020
66,Henry Anderson,2,3,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,14,2020
67,Lawrence Guy Sr.,3,1,0.0,0,0,0,0,0,1,5.3,5.3,4.0%,FA,14,2020
68,Shaq Lawson,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,14,2020
69,DeForest Buckner,3,1,0.0,0,0,0,0,0,1,5.3,5.3,47.6%,IND,14,2020
70,Derrick Nnadi,3,1,0.0,0,0,0,0,0,1,5.3,5.3,1.0%,KC,14,2020
71,Sheldon Rankins,3,1,0.0,0,0,0,0,0,1,5.3,5.3,2.0%,CIN,14,2020
72,D.J. Wonnum,1,1,0.0,0,0,0,0,0,1,4.8,4.8,13.8%,CAR,14,2020
73,Efe Obada,0,1,0.0,0,0,0,1,0,1,4.8,4.8,0.0%,WAS,14,2020
74,Matt Dickerson,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,KC,14,2020
75,Johnathan Hankins,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,SEA,14,2020
76,Austin Larkin,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,14,2020
77,Brandon Williams,1,2,0.0,1,0,0,0,0,1,4.5,4.5,0.2%,FA,14,2020
78,Da'Shawn Hand,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.6%,MIA,14,2020
79,Zach Allen,1,2,0.0,1,0,0,0,0,1,4.5,4.5,11.0%,DEN,14,2020
80,Dexter Lawrence II,2,2,0.0,0,0,0,0,0,1,4.5,4.5,12.5%,NYG,14,2020
81,Akiem Hicks,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,14,2020
82,Dorance Armstrong Jr.,2,0,0.0,1,0,0,0,0,1,4.5,4.5,4.1%,WAS,14,2020
83,Jerry Tillery,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.8%,MIN,14,2020
84,John Cominsky,1,4,0.0,0,0,0,0,0,1,4.5,4.5,1.3%,DET,14,2020
85,Mike Pennel Jr.,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.4%,KC,14,2020
86,Deatrich Wise Jr.,1,4,0.0,0,0,0,0,0,1,4.5,4.5,3.0%,NE,14,2020
87,Larry Ogunjobi,2,2,0.0,0,0,0,0,0,1,4.5,4.5,2.3%,PIT,14,2020
88,Jonathan Allen,3,0,0.0,0,0,0,0,0,1,4.5,4.5,14.9%,WAS,14,2020
89,Yannick Ngakoue,1,0,0.0,0,0,0,0,0,1,4.0,4.0,1.8%,FA,14,2020
90,Tyquan Lewis,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.4%,IND,14,2020
91,James Smith-Williams,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.2%,ATL,14,2020
92,Ed Oliver,1,0,0.0,0,0,0,0,0,1,4.0,4.0,22.9%,BUF,14,2020
93,Tashawn Bower,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.0%,FA,14,2020
94,Taylor Stallworth,0,0,0.0,0,0,0,1,0,1,4.0,4.0,0.0%,FA,14,2020
95,Jacob Tuioti-Mariner,1,0,0.0,0,0,0,0,0,1,4.0,4.0,0.0%,FA,14,2020
96,Mike Daniels,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,14,2020
97,Antwaun Woods,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,14,2020
98,Jonathan Bullard,0,5,0.0,0,0,0,0,0,1,3.8,3.8,2.9%,MIN,14,2020
99,Tanoh Kpassagnon,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,NO,14,2020
100,Joey Bosa,2,1,0.0,0,0,0,0,0,1,3.8,3.8,16.3%,LAC,14,2020
101,Leonard Williams,1,3,0.0,0,0,0,0,0,1,3.8,3.8,11.1%,SEA,14,2020
102,Kerry Hyder Jr.,2,1,0.0,0,0,0,0,0,1,3.8,3.8,2.0%,FA,14,2020
103,Yetur Gross-Matos,1,3,0.0,0,0,0,0,0,1,3.8,3.8,1.1%,SF,14,2020
104,Ifeadi Odenigbo,2,1,0.0,0,0,0,0,0,1,3.8,3.8,4.0%,NYJ,14,2020
105,Harrison Phillips,1,3,0.0,0,0,0,0,0,1,3.8,3.8,23.6%,MIN,14,2020
106,Randy Gregory,2,1,0.0,0,0,0,0,0,1,3.8,3.8,2.3%,TB,14,2020
107,David Onyemata,1,2,0.0,0,0,0,0,0,1,3.0,3.0,5.8%,ATL,14,2020
108,Maurice Hurst II Jr.,1,2,0.0,0,0,0,0,0,1,3.0,3.0,0.2%,CLE,14,2020
109,Vinny Curry,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,14,2020
110,Justin Madubuike,1,2,0.0,0,0,0,0,0,1,3.0,3.0,24.8%,BAL,14,2020
111,Greg Gaines,1,2,0.0,0,0,0,0,0,1,3.0,3.0,0.4%,TB,14,2020
112,Cameron Jordan,1,0,0.0,1,0,0,0,0,1,3.0,3.0,5.8%,NO,14,2020
113,J.J. Watt,2,0,0.0,0,0,0,0,0,1,3.0,3.0,4.2%,FA,14,2020
114,Chase Winovich,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,14,2020
115,Kevin Strong,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,14,2020
