Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,David Montgomery,17,72,4.2,13,0,2,4,4,39,9.8,0,0,1,27.1,27.1,93.2%,DET,13,2020
2,Dalvin Cook,32,120,3.8,12,0,0,6,9,59,9.8,0,0,1,23.9,23.9,9.5%,FA,13,2020
3,Aaron Jones,15,130,8.7,77,4,1,3,3,18,6.0,0,0,1,23.8,23.8,93.3%,MIN,13,2020
4,James Robinson,18,78,4.3,15,0,1,6,6,30,5.0,0,0,1,22.8,22.8,0.1%,NO,13,2020
5,Jonathan Taylor,13,91,7.0,24,1,0,3,3,44,14.7,1,0,1,22.5,22.5,98.8%,IND,13,2020
6,Chris Carson,13,65,5.0,11,0,0,3,6,45,15.0,1,0,1,20.0,20.0,0.3%,FA,13,2020
7,Ty Johnson,22,104,4.7,16,0,1,2,2,13,6.5,0,0,1,19.7,19.7,0.6%,BUF,13,2020
8,J.D. McKissic,5,8,1.6,8,0,0,10,10,70,7.0,0,0,1,17.8,17.8,0.0%,FA,13,2020
9,Adrian Peterson,16,57,3.6,15,0,2,0,1,0,0.0,0,0,1,17.7,17.7,2.4%,FA,13,2020
10,Alvin Kamara,15,88,5.9,37,2,1,2,3,9,4.5,0,0,1,17.7,17.7,98.2%,NO,13,2020
11,Nick Chubb,18,80,4.4,29,1,1,1,1,26,26.0,0,0,1,17.6,17.6,55.6%,CLE,13,2020
12,Alfred Morris,8,39,4.9,13,0,1,1,1,6,6.0,1,0,1,17.5,17.5,0.0%,FA,13,2020
13,Cam Akers,21,72,3.4,12,0,1,1,1,22,22.0,0,0,1,16.4,16.4,9.2%,FA,13,2020
14,Darrell Henderson Jr.,3,49,16.3,38,2,1,2,3,25,12.5,0,0,1,15.4,15.4,5.0%,FA,13,2020
15,Melvin Gordon III,15,131,8.7,65,4,0,1,2,11,11.0,0,0,1,15.2,15.2,0.0%,FA,13,2020
16,Myles Gaskin,21,90,4.3,26,1,0,2,2,51,25.5,0,1,1,14.1,14.1,0.1%,MIN,13,2020
17,Kenyan Drake,10,49,4.9,27,1,1,2,3,9,4.5,0,0,1,13.8,13.8,0.0%,FA,13,2020
18,Ezekiel Elliott,18,77,4.3,14,0,0,4,6,18,4.5,0,0,1,13.5,13.5,78.1%,DAL,13,2020
19,Wayne Gallman Jr.,16,135,8.4,60,5,0,0,0,0,0.0,0,0,1,13.5,13.5,0.0%,FA,13,2020
20,J.K. Dobbins,11,71,6.5,30,2,1,0,0,0,0.0,0,0,1,13.1,13.1,43.4%,LAC,13,2020
