Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Stefon Diggs,9,13,128,14.2,75,4,2,1,1,0,0,1,35.9,35.9,99.7%,HOU,2,2018
2,JuJu Smith-Schuster,13,19,121,9.3,21,1,1,0,0,0,0,1,31.1,31.1,7.0%,NE,2,2018
3,Adam Thielen,12,13,131,10.9,25,3,1,0,0,0,0,1,31.1,31.1,76.1%,CAR,2,2018
4,Michael Thomas,12,13,89,7.4,25,1,2,0,0,0,1,1,30.9,30.9,17.2%,FA,2,2018
5,A.J. Green,5,9,69,13.8,32,2,3,0,0,0,0,1,29.9,29.9,0.6%,FA,2,2018
6,William Fuller V,8,9,113,14.1,39,3,1,0,0,0,0,1,25.3,25.3,0.0%,FA,2,2018
7,Keelan Cole Sr.,7,8,116,16.6,24,3,1,0,0,0,0,1,24.6,24.6,0.0%,FA,2,2018
8,DeAndre Hopkins,6,11,110,18.3,31,4,1,0,0,0,0,1,23.0,23.0,92.5%,TEN,2,2018
9,Nelson Agholor,8,12,88,11.0,50,4,1,1,2,0,0,1,23.0,23.0,0.9%,BAL,2,2018
10,DeSean Jackson,4,4,129,32.3,75,5,1,0,0,0,0,1,22.9,22.9,0.6%,FA,2,2018
11,Brandin Cooks,7,9,159,22.7,57,7,0,0,0,0,0,1,22.9,22.9,43.9%,DAL,2,2018
12,Mike Evans,10,12,83,8.3,16,0,1,0,0,0,1,1,22.3,22.3,98.1%,TB,2,2018
13,Amari Cooper,10,10,116,11.6,30,3,0,0,0,0,0,1,21.6,21.6,91.4%,CLE,2,2018
14,T.Y. Hilton,7,11,83,11.9,22,1,1,0,0,0,0,1,21.3,21.3,3.0%,FA,2,2018
15,Tyler Boyd,6,9,91,15.2,27,2,1,0,0,0,0,1,21.1,21.1,28.0%,TEN,2,2018
16,Kenny Golladay,6,9,89,14.8,30,3,1,0,0,0,0,1,20.9,20.9,4.0%,FA,2,2018
17,Davante Adams,8,12,64,8.0,16,0,1,0,0,0,0,1,20.4,20.4,99.9%,LV,2,2018
18,Tyreek Hill,5,6,90,18.0,36,3,1,0,0,0,0,1,20.0,20.0,100.0%,MIA,2,2018
19,Chris Hogan,3,5,42,14.0,29,1,2,0,0,0,0,1,19.2,19.2,0.0%,FA,2,2018
20,John Brown,4,10,92,23.0,45,4,1,0,0,0,0,1,19.2,19.2,0.0%,FA,2,2018
21,Sammy Watkins,6,7,100,16.7,40,4,0,1,31,0,0,1,19.1,19.1,0.0%,FA,2,2018
22,Golden Tate,7,13,109,15.6,67,4,0,1,9,0,0,1,18.8,18.8,0.0%,FA,2,2018
23,Allen Robinson II,10,14,83,8.3,14,0,0,0,0,0,0,1,18.3,18.3,0.6%,NYG,2,2018
24,Antonio Callaway,3,4,81,27.0,47,3,1,2,7,0,0,1,17.8,17.8,0.0%,FA,2,2018
25,Dede Westbrook,4,5,82,20.5,61,4,1,1,-6,0,0,1,17.6,17.6,0.0%,FA,2,2018
26,Tavon Austin,2,2,79,39.5,64,4,1,1,15,0,0,1,17.4,17.4,0.1%,FA,2,2018
27,Jarius Wright,5,7,62,12.4,22,1,1,0,0,0,0,1,17.2,17.2,0.0%,FA,2,2018
28,Tyler Lockett,5,7,60,12.0,20,1,1,0,0,0,0,1,17.0,17.0,88.8%,SEA,2,2018
29,Calvin Ridley,4,5,64,16.0,22,2,1,1,3,0,0,1,16.7,16.7,95.3%,TEN,2,2018
30,Chris Godwin,5,6,56,11.2,17,0,1,0,0,0,0,1,16.6,16.6,90.4%,TB,2,2018
31,Quincy Enunwa,7,11,92,13.1,21,2,0,0,0,0,0,1,16.2,16.2,0.0%,FA,2,2018
32,Antonio Brown,9,17,67,7.4,19,0,0,0,0,0,0,1,15.7,15.7,0.8%,FA,2,2018
33,Marvin Jones Jr.,4,9,54,13.5,19,0,1,0,0,0,0,1,15.4,15.4,0.1%,FA,2,2018
34,Devin Funchess,7,9,77,11.0,27,1,0,0,0,0,0,1,14.7,14.7,0.0%,FA,2,2018
35,Robert Woods,6,9,81,13.5,21,2,0,0,0,0,0,1,14.1,14.1,2.7%,HOU,2,2018
36,Emmanuel Sanders,4,4,96,24.0,23,4,0,0,0,0,0,1,13.6,13.6,0.0%,FA,2,2018
37,Albert Wilson,3,5,37,12.3,29,1,1,2,8,0,0,1,13.5,13.5,0.0%,FA,2,2018
38,Donte Moncrief,4,9,34,8.5,14,0,1,0,0,0,0,1,13.4,13.4,0.0%,FA,2,2018
39,Seth Roberts,3,3,43,14.3,20,1,1,0,0,0,0,1,13.3,13.3,0.0%,FA,2,2018
40,DJ Moore,1,2,51,51.0,51,4,1,1,7,0,0,1,12.8,12.8,97.7%,CHI,2,2018
41,Keenan Allen,6,8,67,11.2,16,0,0,0,0,0,0,1,12.7,12.7,91.1%,CHI,2,2018
42,Geronimo Allison,6,6,64,10.7,22,1,0,0,0,0,0,1,12.4,12.4,0.0%,FA,2,2018
43,Terrelle Pryor Sr.,4,8,84,21.0,44,3,0,0,0,0,0,1,12.4,12.4,0.0%,FA,2,2018
44,Cooper Kupp,6,6,63,10.5,29,1,0,0,0,0,0,1,12.3,12.3,97.9%,LAR,2,2018
45,Torrey Smith,3,7,33,11.0,26,1,1,0,0,0,0,1,12.3,12.3,0.0%,FA,2,2018
46,Taywan Taylor,3,4,32,10.7,18,0,1,0,0,0,0,1,12.2,12.2,0.0%,FA,2,2018
