Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Marvin Jones Jr.,7,10,117,16.7,39,2,2,0,0,0,0,1,30.7,30.7,0.1%,FA,8,2018
2,Sammy Watkins,8,9,107,13.4,24,2,2,0,0,0,0,1,30.7,30.7,0.0%,FA,8,2018
3,Mike Evans,6,13,179,29.8,72,7,1,0,0,0,0,1,29.9,29.9,98.1%,TB,8,2018
4,Tyler Boyd,9,10,138,15.3,28,3,1,1,-2,0,0,1,28.6,28.6,28.0%,TEN,8,2018
5,Stefon Diggs,10,11,119,11.9,31,3,1,0,0,0,0,1,27.9,27.9,99.7%,HOU,8,2018
6,DeAndre Hopkins,6,7,82,13.7,49,3,2,0,0,0,0,1,26.2,26.2,92.5%,TEN,8,2018
7,Larry Fitzgerald,8,12,102,12.8,37,3,1,0,0,0,0,1,26.2,26.2,0.2%,FA,8,2018
8,Antonio Brown,6,8,74,12.3,43,3,2,0,0,0,0,1,25.4,25.4,0.8%,FA,8,2018
9,William Fuller V,5,6,124,24.8,73,6,1,0,0,0,0,1,23.4,23.4,0.0%,FA,8,2018
10,Adam Thielen,7,7,103,14.7,28,2,1,1,15,0,1,1,22.8,22.8,76.1%,CAR,8,2018
11,Odell Beckham Jr.,8,11,136,17.0,44,6,0,0,0,0,0,1,21.6,21.6,33.2%,MIA,8,2018
12,Julian Edelman,9,10,104,11.6,26,2,0,2,13,0,0,1,20.7,20.7,12.1%,FA,8,2018
13,David Moore,4,4,97,24.3,45,4,1,0,0,0,0,1,19.7,19.7,0.1%,CAR,8,2018
14,DeVante Parker,6,9,134,22.3,46,5,0,0,0,0,0,1,19.4,19.4,1.7%,FA,8,2018
15,Josh Reynolds,3,5,42,14.0,22,1,2,1,-2,0,0,1,19.0,19.0,7.4%,DEN,8,2018
16,A.J. Green,5,7,76,15.2,23,1,1,0,0,0,0,1,18.6,18.6,0.6%,FA,8,2018
17,Davante Adams,5,7,133,26.6,48,7,0,0,0,0,0,1,18.3,18.3,99.9%,LV,8,2018
18,DJ Moore,5,6,90,18.0,33,2,0,2,39,0,0,1,17.9,17.9,97.7%,CHI,8,2018
19,DeSean Jackson,3,8,68,22.7,60,4,1,1,4,0,0,1,16.2,16.2,0.6%,FA,8,2018
20,Adam Humphries,7,10,76,10.9,17,0,0,0,0,0,0,1,14.6,14.6,0.0%,FA,8,2018
21,Antonio Callaway,5,6,36,7.2,13,0,1,0,0,0,0,1,14.6,14.6,0.0%,FA,8,2018
22,Danny Amendola,5,6,43,8.6,13,0,0,0,0,0,0,1,14.4,14.4,0.0%,FA,8,2018
23,Kendrick Bourne,7,10,71,10.1,19,0,0,0,0,0,0,1,14.1,14.1,4.7%,NE,8,2018
24,Anthony Miller,3,7,37,12.3,23,1,1,1,7,0,0,1,13.4,13.4,0.0%,FA,8,2018
25,Jordan Matthews,4,5,93,23.3,36,4,0,0,0,0,0,1,13.3,13.3,0.0%,CAR,8,2018
26,Christian Kirk,3,7,42,14.0,19,0,1,0,0,0,0,1,13.2,13.2,70.5%,JAC,8,2018
27,Michael Thomas,5,6,81,16.2,44,4,0,0,0,0,0,1,13.1,13.1,17.2%,FA,8,2018
28,Brandon LaFell,3,4,39,13.0,18,0,1,0,0,0,0,1,12.9,12.9,0.0%,FA,8,2018
29,Tyler Lockett,2,2,34,17.0,24,1,1,2,13,0,0,1,12.7,12.7,88.8%,SEA,8,2018
30,Marquez Valdes-Scantling,2,5,45,22.5,40,3,1,0,0,0,0,1,12.5,12.5,1.3%,BUF,8,2018
31,Marquise Goodwin,1,4,55,55.0,55,4,1,0,0,0,0,1,12.5,12.5,0.0%,FA,8,2018
32,Golden Tate,7,12,50,7.1,12,0,0,1,3,0,0,1,12.3,12.3,0.0%,FA,8,2018
33,Seth Roberts,2,4,42,21.0,31,2,1,0,0,0,0,1,12.2,12.2,0.0%,FA,8,2018
