Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Michael Thomas,16,17,180,11.3,35,3,1,0,0,0,1,1,38.0,38.0,17.2%,FA,1,2018
2,Tyreek Hill,7,8,169,24.1,58,10,2,2,4,0,0,1,36.3,36.3,100.0%,MIA,1,2018
3,DeSean Jackson,5,5,146,29.2,58,8,2,0,0,0,0,1,31.6,31.6,0.6%,FA,1,2018
4,Emmanuel Sanders,10,11,135,13.5,43,5,1,0,0,0,0,1,29.5,29.5,0.0%,FA,1,2018
5,Randall Cobb,9,10,142,15.8,75,5,1,0,0,0,0,1,29.2,29.2,0.0%,FA,1,2018
6,Julio Jones,10,19,169,16.9,36,5,0,1,11,0,0,1,28.0,28.0,0.6%,FA,1,2018
7,Mike Evans,7,7,147,21.0,50,7,1,0,0,0,0,1,27.7,27.7,98.1%,TB,1,2018
8,Kenny Stills,4,5,106,26.5,75,4,2,0,0,0,0,1,26.6,26.6,0.0%,FA,1,2018
9,Keenan Allen,8,11,108,13.5,23,3,1,0,0,0,0,1,24.8,24.8,91.1%,CHI,1,2018
10,Antonio Brown,9,16,93,10.3,22,1,1,0,0,0,0,1,24.3,24.3,0.8%,FA,1,2018
11,Odell Beckham Jr.,11,15,111,10.1,24,2,0,1,-1,0,0,1,22.0,22.0,33.2%,MIA,1,2018
12,Golden Tate,7,15,79,11.3,26,2,1,0,0,0,0,1,20.9,20.9,0.0%,FA,1,2018
13,Ted Ginn Jr.,5,6,68,13.6,28,1,1,1,5,0,0,1,20.3,20.3,0.0%,FA,1,2018
14,Davante Adams,5,8,88,17.6,51,4,1,0,0,0,0,1,19.8,19.8,99.9%,LV,1,2018
15,Phillip Dorsett II,7,7,66,9.4,14,0,1,0,0,0,0,1,19.6,19.6,0.0%,DEN,1,2018
16,A.J. Green,6,8,92,15.3,38,2,1,0,0,0,1,1,19.2,19.2,0.6%,FA,1,2018
17,Kenny Golladay,7,12,114,16.3,26,2,0,0,0,0,0,1,18.4,18.4,4.0%,FA,1,2018
18,Demaryius Thomas,6,10,63,10.5,23,1,1,0,0,0,0,1,18.3,18.3,0.1%,FA,1,2018
19,Quincy Enunwa,6,9,63,10.5,21,1,1,0,0,0,0,1,18.3,18.3,0.0%,FA,1,2018
20,Geronimo Allison,5,8,69,13.8,39,2,1,0,0,0,0,1,17.9,17.9,0.0%,FA,1,2018
21,Cooper Kupp,5,9,52,10.4,12,0,1,2,16,0,0,1,17.8,17.8,97.9%,LAR,1,2018
22,Jarvis Landry,7,15,106,15.1,39,4,0,0,0,0,0,1,17.6,17.6,14.0%,FA,1,2018
23,JuJu Smith-Schuster,5,8,119,23.8,67,5,0,0,0,0,0,1,16.9,16.9,7.0%,NE,1,2018
24,Adam Thielen,6,12,102,17.0,34,2,0,0,0,0,0,1,16.2,16.2,76.1%,CAR,1,2018
25,T.Y. Hilton,5,11,46,9.2,13,0,1,0,0,0,0,1,15.6,15.6,3.0%,FA,1,2018
26,DeAndre Hopkins,8,11,78,9.8,17,0,0,1,-7,0,0,1,15.1,15.1,92.5%,TEN,1,2018
27,Willie Snead IV,4,6,49,12.3,20,1,1,0,0,0,0,1,14.9,14.9,0.0%,FA,1,2018
28,Tyler Lockett,3,4,59,19.7,51,4,1,0,0,0,0,1,14.9,14.9,88.8%,SEA,1,2018
29,Larry Fitzgerald,7,10,76,10.9,27,2,0,0,0,0,0,1,14.6,14.6,0.2%,FA,1,2018
30,Cole Beasley,7,8,73,10.4,17,0,0,0,0,0,0,1,14.3,14.3,0.0%,FA,1,2018
31,Brandin Cooks,5,8,87,17.4,30,3,0,1,6,0,0,1,14.3,14.3,43.9%,DAL,1,2018
32,Stefon Diggs,3,6,43,14.3,22,1,1,1,8,0,0,1,14.1,14.1,99.7%,HOU,1,2018
33,Dante Pettis,2,5,61,30.5,39,3,1,0,0,0,0,1,14.1,14.1,0.1%,CHI,1,2018
34,Ryan Grant,8,9,59,7.4,13,0,0,0,0,0,0,1,13.9,13.9,0.0%,FA,1,2018
35,Bruce Ellington,4,8,37,9.3,14,0,1,0,0,0,0,1,13.7,13.7,0.0%,FA,1,2018
36,Brandon Marshall,3,6,46,15.3,20,1,1,0,0,0,0,1,13.6,13.6,2.6%,FA,1,2018
37,Nelson Agholor,8,10,33,4.1,10,0,0,1,16,0,0,1,13.5,13.5,0.9%,BAL,1,2018
38,John Brown,3,4,44,14.7,29,1,1,1,1,0,0,1,13.5,13.5,0.0%,FA,1,2018
39,Chris Godwin,3,4,41,13.7,16,0,1,0,0,0,0,1,13.1,13.1,90.4%,TB,1,2018
40,Mike Williams,5,6,81,16.2,25,2,0,0,0,0,0,1,13.1,13.1,48.1%,NYJ,1,2018
41,Michael Crabtree,3,6,38,12.7,20,1,1,0,0,0,0,1,12.8,12.8,0.0%,FA,1,2018
42,Corey Davis,6,13,62,10.3,18,0,0,0,0,0,0,1,12.2,12.2,0.0%,FA,1,2018
43,Robbie Chosen,1,1,41,41.0,41,3,1,1,-9,0,0,1,10.2,10.2,0.0%,FA,1,2018
44,Dede Westbrook,5,6,51,10.2,20,1,0,0,0,0,0,1,10.1,10.1,0.0%,FA,1,2018
45,Allen Robinson II,4,7,61,15.3,33,2,0,0,0,0,0,1,10.1,10.1,0.6%,NYG,1,2018
46,Sterling Shepard,5,7,48,9.6,16,0,0,0,0,0,0,1,9.8,9.8,0.1%,TB,1,2018
47,Marvin Jones Jr.,4,8,54,13.5,28,1,0,0,0,0,0,1,9.4,9.4,0.1%,FA,1,2018
48,Tyrell Williams,2,5,8,4.0,4,0,1,0,0,0,0,1,8.8,8.8,0.0%,FA,1,2018
49,Jakeem Grant Sr.,5,7,38,7.6,13,0,0,0,0,0,0,1,8.8,8.8,0.0%,FA,1,2018
