Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Odell Beckham Jr.,8,14,131,16.4,33,2,1,0,0,0,1,1,31.4,31.4,33.2%,MIA,5,2018
2,Davante Adams,9,12,140,15.6,30,4,1,0,0,0,0,1,29.0,29.0,99.9%,LV,5,2018
3,Antonio Brown,6,13,101,16.8,47,3,2,0,0,0,0,1,28.1,28.1,0.8%,FA,5,2018
4,Robbie Chosen,3,5,123,41.0,76,6,2,0,0,0,0,1,27.3,27.3,0.0%,FA,5,2018
5,Tre'Quan Smith,3,3,111,37.0,62,6,2,0,0,0,0,1,26.1,26.1,0.0%,DET,5,2018
6,Adam Thielen,7,10,116,16.6,68,5,1,0,0,0,0,1,24.6,24.6,76.1%,CAR,5,2018
7,DeAndre Hopkins,9,13,151,16.8,49,5,0,0,0,0,1,1,22.1,22.1,92.5%,TEN,5,2018
8,Stefon Diggs,10,11,91,9.1,25,2,0,2,25,0,0,1,21.6,21.6,99.7%,HOU,5,2018
9,Demaryius Thomas,5,6,105,21.0,42,5,1,0,0,0,0,1,21.5,21.5,0.1%,FA,5,2018
10,Cooper Kupp,6,9,90,15.0,27,2,1,0,0,0,0,1,21.0,21.0,97.9%,LAR,5,2018
11,Kenny Golladay,4,9,98,24.5,60,4,1,0,0,0,0,1,19.8,19.8,4.0%,FA,5,2018
12,Marquez Valdes-Scantling,7,11,68,9.7,14,0,1,0,0,0,0,1,19.8,19.8,1.3%,BUF,5,2018
13,Robert Woods,5,7,92,18.4,31,3,0,2,53,0,0,1,19.5,19.5,2.7%,HOU,5,2018
14,Tyler Lockett,3,4,98,32.7,44,5,1,1,6,0,0,1,19.4,19.4,88.8%,SEA,5,2018
15,Trent Taylor,7,8,61,8.7,16,0,1,0,0,0,0,1,19.1,19.1,0.0%,SF,5,2018
16,David Moore,3,4,38,12.7,30,2,2,0,0,0,0,1,18.8,18.8,0.1%,CAR,5,2018
17,Christian Kirk,3,4,85,28.3,75,4,1,1,5,0,0,1,18.0,18.0,70.5%,JAC,5,2018
18,Keenan Allen,8,9,90,11.3,19,0,0,1,5,0,0,1,17.5,17.5,91.1%,CHI,5,2018
19,Mohamed Sanu Sr.,4,7,73,18.3,43,3,1,0,0,0,0,1,17.3,17.3,0.0%,FA,5,2018
20,Keke Coutee,6,7,51,8.5,18,0,1,1,2,0,0,1,17.3,17.3,0.0%,FA,5,2018
21,A.J. Green,6,10,112,18.7,23,3,0,0,0,0,0,1,17.2,17.2,0.6%,FA,5,2018
22,Emmanuel Sanders,9,14,72,8.0,13,0,0,0,0,0,0,1,16.2,16.2,0.0%,FA,5,2018
23,Rashard Higgins,3,4,66,22.0,26,2,1,0,0,0,0,1,15.6,15.6,0.0%,FA,5,2018
24,Chester Rogers,8,11,66,8.3,24,1,0,0,0,0,0,1,14.6,14.6,0.0%,FA,5,2018
25,Jordy Nelson,4,4,43,10.8,29,1,1,0,0,0,0,1,14.3,14.3,0.1%,FA,5,2018
26,Sammy Watkins,6,8,78,13.0,33,2,0,0,0,0,0,1,13.8,13.8,0.0%,FA,5,2018
27,Donte Moncrief,6,14,76,12.7,25,1,0,0,0,0,0,1,13.6,13.6,0.0%,FA,5,2018
28,JuJu Smith-Schuster,4,4,34,8.5,18,0,1,0,0,0,0,1,13.4,13.4,7.0%,NE,5,2018
29,Josh Gordon,2,4,50,25.0,34,2,1,0,0,0,0,1,13.0,13.0,0.0%,FA,5,2018
30,Tyreek Hill,4,7,61,15.3,36,2,0,2,26,0,0,1,12.7,12.7,100.0%,MIA,5,2018
31,Julian Edelman,7,9,57,8.1,13,0,0,0,0,0,0,1,12.7,12.7,12.1%,FA,5,2018
32,Michael Crabtree,6,12,66,11.0,20,1,0,0,0,0,0,1,12.6,12.6,0.0%,FA,5,2018
33,Jarvis Landry,5,11,69,13.8,27,1,0,0,0,0,0,1,11.9,11.9,14.0%,FA,5,2018
34,Equanimeous St. Brown,3,5,89,29.7,54,4,0,0,0,0,0,1,11.9,11.9,0.1%,NO,5,2018
35,Ryan Grant,6,9,58,9.7,19,0,0,0,0,0,0,1,11.8,11.8,0.0%,FA,5,2018
36,Curtis Samuel,2,4,37,18.5,25,1,1,0,0,0,0,1,11.7,11.7,48.9%,BUF,5,2018
37,Sterling Shepard,4,7,75,18.8,28,2,0,0,0,0,0,1,11.5,11.5,0.1%,TB,5,2018
38,Michael Thomas,4,5,74,18.5,31,3,0,0,0,0,0,1,11.4,11.4,17.2%,FA,5,2018
39,Julio Jones,5,9,62,12.4,18,0,0,0,0,0,0,1,11.2,11.2,0.6%,FA,5,2018
40,Keelan Cole Sr.,4,10,70,17.5,32,3,0,0,0,0,0,1,11.0,11.0,0.0%,FA,5,2018
41,DJ Moore,4,4,49,12.3,20,2,0,1,18,0,0,1,10.7,10.7,97.7%,CHI,5,2018
42,Willie Snead IV,5,7,55,11.0,17,0,0,0,0,0,0,1,10.5,10.5,0.0%,FA,5,2018
43,Cameron Meredith,5,5,71,14.2,46,3,0,0,0,0,1,1,10.1,10.1,0.0%,FA,5,2018
44,Martavis Bryant,3,3,91,30.3,47,5,0,0,0,0,1,1,10.1,10.1,0.0%,FA,5,2018
45,John Brown,4,14,58,14.5,28,1,0,0,0,0,0,1,9.8,9.8,0.0%,FA,5,2018
46,Courtland Sutton,2,6,18,9.0,10,0,1,0,0,0,0,1,9.8,9.8,83.4%,DEN,5,2018
47,Pierre Garcon,5,13,47,9.4,20,1,0,0,0,0,0,1,9.7,9.7,0.0%,FA,5,2018
48,Tyrell Williams,3,3,66,22.0,48,3,0,0,0,0,0,1,9.6,9.6,0.0%,FA,5,2018
49,Jamison Crowder,4,7,55,13.8,24,1,0,0,0,0,0,1,9.5,9.5,0.3%,WAS,5,2018
50,Albert Wilson,5,6,43,8.6,16,0,0,0,0,0,0,1,9.3,9.3,0.0%,FA,5,2018
51,Devin Funchess,4,7,53,13.3,21,1,0,0,0,0,0,1,9.3,9.3,0.0%,FA,5,2018
52,Golden Tate,5,7,42,8.4,14,0,0,0,0,0,0,1,9.2,9.2,0.0%,FA,5,2018
53,Derrick Willies,3,5,61,20.3,39,2,0,0,0,0,0,1,9.1,9.1,0.0%,FA,5,2018
54,Terrelle Pryor Sr.,1,1,20,20.0,20,1,1,0,0,0,0,1,9.0,9.0,0.0%,FA,5,2018
55,Paul Richardson Jr.,4,5,50,12.5,23,1,0,0,0,0,0,1,9.0,9.0,0.0%,FA,5,2018
56,Corey Davis,4,6,49,12.3,23,1,0,0,0,0,0,1,8.9,8.9,0.0%,FA,5,2018
57,DJ Chark Jr.,2,4,68,34.0,38,4,0,0,0,0,0,1,8.8,8.8,4.6%,LAC,5,2018
58,Nelson Agholor,4,4,45,11.3,20,1,0,0,0,0,0,1,8.5,8.5,0.9%,BAL,5,2018
59,Dede Westbrook,3,5,55,18.3,30,3,0,0,0,0,0,1,8.5,8.5,0.0%,FA,5,2018
60,Tyler Boyd,4,7,44,11.0,31,2,0,0,0,0,0,1,8.4,8.4,28.0%,TEN,5,2018
61,Russell Shepard,3,4,52,17.3,40,3,0,0,0,0,0,1,8.2,8.2,0.0%,FA,5,2018
62,Seth Roberts,4,7,41,10.3,20,1,0,0,0,0,0,1,8.1,8.1,0.0%,FA,5,2018
63,Mike Williams,3,4,45,15.0,26,1,0,1,3,0,0,1,7.8,7.8,48.1%,NYJ,5,2018
64,Calvin Ridley,4,5,38,9.5,21,1,0,0,0,0,0,1,7.8,7.8,95.3%,TEN,5,2018
65,Marvin Jones Jr.,1,4,8,8.0,8,0,1,0,0,0,0,1,7.8,7.8,0.1%,FA,5,2018
66,Maurice Harris,3,8,47,15.7,42,3,0,0,0,0,0,1,7.7,7.7,0.0%,FA,5,2018
67,DaeSean Hamilton,3,3,44,14.7,24,1,0,0,0,0,0,1,7.4,7.4,0.0%,FA,5,2018
68,Kendrick Bourne,4,7,33,8.3,10,0,0,0,0,0,0,1,7.3,7.3,4.7%,NE,5,2018
69,Allen Hurns,1,2,3,3.0,3,0,1,0,0,0,0,1,7.3,7.3,0.0%,FA,5,2018
70,Josh Reynolds,2,3,39,19.5,22,1,0,1,10,0,0,1,6.9,6.9,7.4%,DEN,5,2018
71,Chris Hogan,3,4,34,11.3,21,1,0,0,0,0,0,1,6.4,6.4,0.0%,FA,5,2018
72,Tajae Sharpe,3,4,30,10.0,13,0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,5,2018
73,Danny Amendola,3,4,30,10.0,16,0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,5,2018
74,Alshon Jeffery,2,8,39,19.5,31,2,0,0,0,0,0,1,5.9,5.9,0.0%,FA,5,2018
75,Shelton Gibson,1,1,48,48.0,48,3,0,0,0,0,0,1,5.8,5.8,0.0%,FA,5,2018
76,Phillip Dorsett II,3,3,25,8.3,16,0,0,0,0,0,0,1,5.5,5.5,0.0%,DEN,5,2018
77,Jarius Wright,3,6,25,8.3,27,1,0,0,0,0,0,1,5.5,5.5,0.0%,FA,5,2018
78,Larry Fitzgerald,2,3,35,17.5,20,1,0,0,0,0,0,1,5.5,5.5,0.2%,FA,5,2018
79,Tavon Austin,1,3,44,44.0,44,3,0,0,0,0,0,1,5.4,5.4,0.1%,FA,5,2018
80,Alex Erickson,3,3,24,8.0,10,0,0,0,0,0,0,1,5.4,5.4,0.0%,FA,5,2018
81,Antonio Callaway,3,5,22,7.3,9,0,0,0,0,0,0,1,5.2,5.2,0.0%,FA,5,2018
82,Laquon Treadwell,3,4,21,7.0,8,0,0,0,0,0,0,1,5.1,5.1,0.0%,FA,5,2018
83,Zay Jones,3,4,20,6.7,12,0,0,0,0,0,0,1,5.0,5.0,17.3%,ARI,5,2018
84,Jawill Davis,2,4,27,13.5,22,1,0,0,0,0,0,1,4.7,4.7,0.0%,FA,5,2018
85,Marcus Johnson,2,2,26,13.0,17,0,0,0,0,0,0,1,4.6,4.6,0.0%,FA,5,2018
86,Marvin Hall,2,3,25,12.5,16,0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,5,2018
87,Chad Williams,2,6,23,11.5,13,0,0,0,0,0,0,1,4.3,4.3,0.0%,FA,5,2018
88,Chris Conley,2,5,21,10.5,14,0,0,0,0,0,0,1,4.1,4.1,0.1%,SF,5,2018
89,Taywan Taylor,3,5,30,10.0,19,0,0,0,0,0,1,1,4.0,4.0,0.0%,FA,5,2018
90,Deonte Thompson,2,4,19,9.5,11,0,0,0,0,0,0,1,3.9,3.9,0.0%,FA,5,2018
91,Austin Carr,2,2,17,8.5,10,0,0,0,0,0,0,1,3.7,3.7,0.0%,FA,5,2018
92,Kenny Stills,2,5,17,8.5,13,0,0,0,0,0,0,1,3.7,3.7,0.0%,FA,5,2018
93,William Fuller V,2,3,15,7.5,10,0,0,0,0,0,0,1,3.5,3.5,0.0%,FA,5,2018
94,Chris Moore,1,2,20,20.0,20,1,0,0,0,0,0,1,3.0,3.0,0.1%,ARI,5,2018
95,Jermaine Kearse,1,4,14,14.0,14,0,0,0,0,0,0,1,2.4,2.4,0.0%,FA,5,2018
96,KhaDarel Hodge,1,1,14,14.0,14,0,0,0,0,0,0,1,2.4,2.4,0.1%,ATL,5,2018
97,De'Anthony Thomas,1,1,13,13.0,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,5,2018
98,Zach Pascal,1,7,12,12.0,12,0,0,0,0,0,0,1,2.2,2.2,0.1%,ARI,5,2018
99,Kelvin Benjamin,1,5,11,11.0,11,0,0,0,0,0,0,1,2.1,2.1,0.1%,FA,5,2018
100,Amari Cooper,1,1,10,10.0,10,0,0,0,0,0,0,1,2.0,2.0,91.4%,CLE,5,2018
101,Victor Bolden Jr.,1,4,10,10.0,10,0,0,0,0,0,0,1,2.0,2.0,0.0%,FA,5,2018
102,Cole Beasley,1,3,8,8.0,8,0,0,0,0,0,0,1,1.8,1.8,0.0%,FA,5,2018
103,Richie James Jr.,1,1,7,7.0,7,0,0,0,0,0,0,1,1.7,1.7,0.0%,FA,5,2018
104,Tim Patrick,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.6%,DEN,5,2018
105,Michael Gallup,1,3,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,6.4%,LV,5,2018
106,Darius Jennings,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,FA,5,2018
107,Brian Quick,1,1,6,6.0,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,FA,5,2018
108,Ryan Switzer,1,1,5,5.0,5,0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,5,2018
109,Andre Roberts,1,2,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.0%,FA,5,2018
110,Ray-Ray McCloud III,1,1,7,7.0,7,0,0,1,-3,0,0,1,1.4,1.4,0.6%,ATL,5,2018
111,Jordan Matthews,1,1,4,4.0,4,0,0,0,0,0,0,1,1.4,1.4,0.0%,CAR,5,2018
112,Doug Baldwin,1,1,1,1.0,1,0,0,0,0,0,0,1,1.1,1.1,0.0%,FA,5,2018
113,Nick Williams,0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
114,Justin Hunter,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
115,Brice Butler,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
116,Jaron Brown,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
117,Kamar Aiken,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
118,Michael Floyd,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
119,Andre Holmes,0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
120,Quincy Enunwa,0,5,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
121,Brandin Cooks,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,43.9%,DAL,5,2018
122,T.J. Jones,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
123,Matthew Slater,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
124,Brandon Marshall,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.6%,FA,5,2018
125,Torrey Smith,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
126,Dwayne Harris,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
127,Aldrick Robinson,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
128,Tim White,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
129,James Washington,0,2,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
130,J'Mon Moore,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
131,Brandon Zylstra,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
132,Josh Malone,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
133,Justin Hardee Sr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CLE,5,2018
134,Marcus Kemp,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
135,Jamal Agnew,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,5,2018
136,Robert Foster,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
137,Russell Gage,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
138,Trent Sherfield Sr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,MIN,5,2018
139,J.J. Nelson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
140,Damiere Byrd,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WAS,5,2018
141,DeAndre Carter,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CHI,5,2018
142,Geremy Davis,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
143,Ty Montgomery II,1,3,23,23.0,23,1,0,4,15,0,0,1,0.0,0.0,0.0%,FA,5,2018
144,Sammie Coates,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
145,Justin Hardy,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
146,Jaydon Mickens,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
147,Demarcus Robinson,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,15.2%,LAR,5,2018
148,Jakeem Grant Sr.,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
149,Cody Core,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,5,2018
150,Rod Streater,0,0,0,0.0,0,0,0,1,-11,0,0,1,-1.1,-1.1,0.1%,FA,5,2018
