Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ja'Marr Chase,8,11,130,16.3,41,5,2,0,0,0,0,1,33.0,33.0,99.4%,CIN,7,2022
2,Tyler Boyd,8,9,155,19.4,60,6,1,0,0,0,0,1,29.5,29.5,28.0%,TEN,7,2022
3,Mecole Hardman Jr.,4,4,32,8.0,18,0,1,2,28,2,0,1,28.0,28.0,1.2%,KC,7,2022
4,JuJu Smith-Schuster,7,8,124,17.7,45,4,1,0,0,0,0,1,25.4,25.4,7.0%,NE,7,2022
5,Parris Campbell,10,12,70,7.0,11,0,1,0,0,0,0,1,23.0,23.0,0.7%,PHI,7,2022
6,Marquise Goodwin,4,5,67,16.8,23,3,2,0,0,0,0,1,22.7,22.7,0.0%,FA,7,2022
7,Mike Williams,7,9,86,12.3,21,1,1,0,0,0,0,1,21.6,21.6,48.1%,NYJ,7,2022
8,DeAndre Hopkins,10,14,103,10.3,18,0,0,0,0,0,0,1,20.3,20.3,92.5%,TEN,7,2022
9,DJ Moore,7,10,69,9.9,21,2,1,1,-3,0,0,1,19.6,19.6,97.7%,CHI,7,2022
10,Mike Evans,9,15,96,10.7,20,1,0,0,0,0,0,1,18.6,18.6,98.1%,TB,7,2022
11,Terry McLaurin,5,8,73,14.6,37,2,1,0,0,0,0,1,18.3,18.3,90.2%,WAS,7,2022
12,George Pickens,6,6,61,10.2,30,2,1,0,0,0,0,1,18.1,18.1,86.9%,PIT,7,2022
13,Chris Olave,7,14,106,15.1,41,3,0,0,0,0,0,1,17.6,17.6,98.8%,NO,7,2022
14,Davante Adams,8,9,95,11.9,16,0,0,0,0,0,0,1,17.5,17.5,99.9%,LV,7,2022
15,Christian Kirk,7,10,96,13.7,34,2,0,1,5,0,0,1,17.1,17.1,70.5%,JAC,7,2022
16,Jerry Jeudy,7,11,96,13.7,45,3,0,0,0,0,0,1,16.6,16.6,62.0%,CLE,7,2022
17,Ray-Ray McCloud III,4,4,65,16.3,22,2,1,0,0,0,0,1,16.5,16.5,0.6%,ATL,7,2022
18,Brandon Aiyuk,7,11,82,11.7,21,1,0,0,0,0,0,1,15.2,15.2,98.2%,SF,7,2022
19,Darius Slayton,3,6,58,19.3,32,2,1,0,0,0,0,1,14.8,14.8,2.7%,NYG,7,2022
20,Damiere Byrd,1,1,75,75.0,75,4,1,0,0,0,0,1,14.5,14.5,0.0%,WAS,7,2022
21,Kalif Raymond,5,6,75,15.0,20,1,0,2,20,0,0,1,14.5,14.5,1.3%,DET,7,2022
22,Tee Higgins,5,7,93,18.6,25,3,0,0,0,0,0,1,14.3,14.3,94.5%,CIN,7,2022
23,Tyreek Hill,7,13,72,10.3,21,1,0,0,0,0,0,1,14.2,14.2,100.0%,MIA,7,2022
24,Marquez Valdes-Scantling,3,4,111,37.0,57,7,0,0,0,0,0,1,14.1,14.1,1.3%,BUF,7,2022
25,Curtis Samuel,5,8,53,10.6,26,1,0,5,26,0,0,1,12.9,12.9,48.9%,BUF,7,2022
26,Jaylen Waddle,4,5,88,22.0,25,3,0,0,0,0,0,1,12.8,12.8,96.3%,MIA,7,2022
27,Phillip Dorsett II,2,3,45,22.5,25,2,1,0,0,0,0,1,12.5,12.5,0.0%,DEN,7,2022
28,Mack Hollins,2,3,44,22.0,26,1,1,0,0,0,0,1,12.4,12.4,0.3%,BUF,7,2022
29,Rashid Shaheed,1,1,53,53.0,53,4,1,0,0,0,0,1,12.3,12.3,43.1%,NO,7,2022
30,Tyler Lockett,7,8,45,6.4,14,0,0,0,0,0,0,1,11.5,11.5,88.8%,SEA,7,2022
31,Chris Godwin,7,13,43,6.1,10,0,0,1,2,0,0,1,11.5,11.5,90.4%,TB,7,2022
32,Allen Lazard,6,7,55,9.2,17,0,0,0,0,0,0,1,11.5,11.5,4.8%,NYJ,7,2022
33,Jakobi Meyers,2,2,34,17.0,30,2,1,0,0,0,0,1,11.4,11.4,75.5%,LV,7,2022
34,Donovan Peoples-Jones,6,6,71,11.8,37,2,0,0,0,0,1,1,11.1,11.1,1.8%,DET,7,2022
35,Wan'Dale Robinson,6,8,50,8.3,17,0,0,0,0,0,0,1,11.0,11.0,10.1%,NYG,7,2022
36,Tre'Quan Smith,5,6,59,11.8,20,1,0,0,0,0,0,1,10.9,10.9,0.0%,DET,7,2022
37,Zay Jones,4,10,54,13.5,20,1,0,1,14,0,0,1,10.8,10.8,17.3%,ARI,7,2022
38,CeeDee Lamb,4,6,70,17.5,24,2,0,1,-4,0,0,1,10.6,10.6,100.0%,DAL,7,2022
39,Amari Cooper,3,4,74,24.7,55,4,0,0,0,0,0,1,10.4,10.4,91.4%,CLE,7,2022
40,Chris Moore,2,4,20,10.0,13,0,1,0,0,0,0,1,10.0,10.0,0.1%,ARI,7,2022
41,Michael Pittman Jr.,6,9,58,9.7,14,0,0,0,0,0,1,1,9.8,9.8,97.2%,IND,7,2022
42,DeVante Parker,3,5,68,22.7,43,3,0,0,0,0,0,1,9.8,9.8,1.7%,FA,7,2022
43,Marvin Jones Jr.,4,8,57,14.3,28,1,0,0,0,0,0,1,9.7,9.7,0.1%,FA,7,2022
44,Diontae Johnson,5,10,42,8.4,14,0,0,1,3,0,0,1,9.5,9.5,83.3%,CAR,7,2022
45,Deebo Samuel Sr.,5,7,42,8.4,22,1,0,1,2,0,0,1,9.4,9.4,98.8%,SF,7,2022
46,Chase Claypool,5,8,41,8.2,12,0,0,0,0,0,0,1,9.1,9.1,0.8%,BUF,7,2022
47,Equanimeous St. Brown,4,7,48,12.0,19,0,0,0,0,0,0,1,8.8,8.8,0.1%,NO,7,2022
48,Brandin Cooks,4,5,46,11.5,24,1,0,0,0,0,0,1,8.6,8.6,43.9%,DAL,7,2022
49,Hunter Renfrow,3,3,55,18.3,27,2,0,0,0,0,0,1,8.5,8.5,0.7%,FA,7,2022
50,Darnell Mooney,3,6,53,17.7,20,1,0,0,0,0,0,1,8.3,8.3,39.2%,ATL,7,2022
51,Rashod Bateman,4,5,42,10.5,26,1,0,0,0,0,0,1,8.2,8.2,9.6%,BAL,7,2022
52,Noah Brown,5,7,50,10.0,15,0,0,0,0,0,1,1,8.0,8.0,23.5%,HOU,7,2022
53,Russell Gage,4,5,39,9.8,20,1,0,0,0,0,0,1,7.9,7.9,0.0%,FA,7,2022
54,Greg Dortch,1,1,5,5.0,5,0,1,1,1,0,0,1,7.6,7.6,4.4%,ARI,7,2022
55,Justin Watson,1,2,4,4.0,4,0,1,0,0,0,0,1,7.4,7.4,1.8%,KC,7,2022
56,Kevin White,1,1,64,64.0,64,4,0,0,0,0,0,1,7.4,7.4,0.0%,FA,7,2022
57,Trent Sherfield Sr.,3,3,44,14.7,32,2,0,0,0,0,0,1,7.4,7.4,0.1%,MIN,7,2022
58,Braxton Berrios,3,4,15,5.0,8,0,0,2,27,0,0,1,7.2,7.2,1.3%,MIA,7,2022
59,DeAndre Carter,3,7,37,12.3,22,1,0,0,0,0,0,1,6.7,6.7,0.0%,CHI,7,2022
