Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,New Orleans Saints,6,1,3,5,0,0,0,1,15.0,15.0,64.0%,NO,12,2018
2,Chicago Bears,2,2,0,0,1,0,0,1,13.0,13.0,33.9%,CHI,12,2018
3,Baltimore Ravens,3,0,1,1,1,0,1,1,12.0,12.0,86.2%,BAL,12,2018
4,Tampa Bay Buccaneers,4,2,0,1,0,0,0,1,12.0,12.0,20.8%,TB,12,2018
5,Denver Broncos,2,2,1,2,0,0,0,1,10.0,10.0,34.5%,DEN,12,2018
6,Houston Texans,6,0,1,2,0,0,0,1,9.0,9.0,31.9%,HOU,12,2018
7,Dallas Cowboys,3,3,0,2,0,0,0,1,9.0,9.0,92.7%,DAL,12,2018
8,New England Patriots,2,1,0,0,0,0,0,1,8.0,8.0,13.6%,NE,12,2018
9,Los Angeles Chargers,2,1,0,0,0,0,0,1,8.0,8.0,13.8%,LAC,12,2018
10,Miami Dolphins,1,2,1,2,0,0,0,1,7.0,7.0,69.9%,MIA,12,2018
11,Detroit Lions,4,0,1,1,0,0,0,1,7.0,7.0,38.6%,DET,12,2018
12,Cleveland Browns,1,1,1,0,0,0,0,1,7.0,7.0,94.2%,CLE,12,2018
13,Buffalo Bills,3,2,0,0,0,0,0,1,7.0,7.0,61.3%,BUF,12,2018
14,Minnesota Vikings,4,0,1,0,0,0,0,1,7.0,7.0,10.9%,MIN,12,2018
15,Philadelphia Eagles,2,1,0,1,0,0,0,1,4.0,4.0,51.6%,PHI,12,2018
16,Las Vegas Raiders,1,2,0,0,0,0,0,1,4.0,4.0,24.5%,LV,12,2018
17,Tennessee Titans,4,0,0,0,0,0,0,1,3.0,3.0,3.5%,TEN,12,2018
18,New York Giants,3,0,0,0,0,0,0,1,3.0,3.0,2.4%,NYG,12,2018
19,Washington Commanders,4,0,0,1,0,0,0,1,3.0,3.0,8.1%,WAS,12,2018
20,Atlanta Falcons,2,1,0,0,0,0,0,1,3.0,3.0,16.7%,ATL,12,2018
21,Indianapolis Colts,1,0,1,1,0,0,0,1,3.0,3.0,26.4%,IND,12,2018
22,Pittsburgh Steelers,2,0,0,0,0,0,0,1,2.0,2.0,75.9%,PIT,12,2018
23,Green Bay Packers,2,0,0,0,0,0,0,1,2.0,2.0,26.4%,GB,12,2018
24,Seattle Seahawks,0,1,0,4,0,0,0,1,2.0,2.0,22.4%,SEA,12,2018
25,Arizona Cardinals,4,0,1,1,0,0,0,1,2.0,2.0,0.8%,ARI,12,2018
26,San Francisco 49ers,1,0,0,0,0,0,0,1,1.0,1.0,97.8%,SF,12,2018
27,Carolina Panthers,2,0,0,1,0,0,0,1,1.0,1.0,3.0%,CAR,12,2018
28,New York Jets,0,0,0,0,0,0,0,1,0.0,0.0,82.4%,NYJ,12,2018
29,Jacksonville Jaguars,0,0,0,1,0,0,0,1,0.0,0.0,50.2%,JAC,12,2018
30,Cincinnati Bengals,0,0,0,0,0,0,0,1,-4.0,-4.0,50.0%,CIN,12,2018
