Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Houston Texans,0,3,1,1,1,0,0,1,18.0,18.0,31.9%,HOU,13,2018
2,New York Giants,5,2,1,2,1,0,0,1,17.0,17.0,2.4%,NYG,13,2018
3,Jacksonville Jaguars,3,1,1,1,0,0,0,1,17.0,17.0,50.2%,JAC,13,2018
4,Seattle Seahawks,3,1,2,1,1,0,0,1,16.0,16.0,22.4%,SEA,13,2018
5,Baltimore Ravens,3,0,1,2,1,0,0,1,15.0,15.0,86.2%,BAL,13,2018
6,New Orleans Saints,7,0,2,3,0,0,0,1,15.0,15.0,64.0%,NO,13,2018
7,Denver Broncos,4,1,2,1,0,0,0,1,14.0,14.0,34.5%,DEN,13,2018
8,Tampa Bay Buccaneers,4,4,0,0,0,0,0,1,13.0,13.0,20.8%,TB,13,2018
9,New York Jets,3,1,0,1,1,0,0,1,13.0,13.0,82.4%,NYJ,13,2018
10,Indianapolis Colts,3,0,1,2,0,0,0,1,12.0,12.0,26.4%,IND,13,2018
11,Atlanta Falcons,2,0,1,3,1,0,0,1,11.0,11.0,16.7%,ATL,13,2018
12,New England Patriots,2,2,0,0,0,0,0,1,10.0,10.0,13.6%,NE,13,2018
13,Philadelphia Eagles,3,1,0,2,0,0,0,1,9.0,9.0,51.6%,PHI,13,2018
14,Miami Dolphins,2,2,1,1,0,0,0,1,9.0,9.0,69.9%,MIA,13,2018
15,Los Angeles Rams,4,1,1,1,0,0,0,1,9.0,9.0,21.2%,LAR,13,2018
16,Kansas City Chiefs,3,0,3,4,0,0,0,1,8.0,8.0,77.7%,KC,13,2018
17,Dallas Cowboys,2,1,0,2,0,0,0,1,8.0,8.0,92.7%,DAL,13,2018
18,Carolina Panthers,4,0,1,0,0,0,0,1,6.0,6.0,3.0%,CAR,13,2018
19,Detroit Lions,2,1,1,1,0,0,0,1,5.0,5.0,38.6%,DET,13,2018
20,Tennessee Titans,2,1,0,0,0,0,0,1,5.0,5.0,3.5%,TEN,13,2018
21,Chicago Bears,3,1,0,0,0,0,0,1,5.0,5.0,33.9%,CHI,13,2018
22,Buffalo Bills,3,1,0,0,0,0,0,1,5.0,5.0,61.3%,BUF,13,2018
23,Cleveland Browns,4,0,0,1,0,0,0,1,4.0,4.0,94.2%,CLE,13,2018
24,Cincinnati Bengals,2,0,1,1,0,0,0,1,4.0,4.0,50.0%,CIN,13,2018
25,Green Bay Packers,2,0,0,1,0,0,0,1,3.0,3.0,26.4%,GB,13,2018
26,Arizona Cardinals,1,0,0,0,0,0,0,1,2.0,2.0,0.8%,ARI,13,2018
27,Los Angeles Chargers,1,1,0,0,0,0,1,1,2.0,2.0,13.8%,LAC,13,2018
28,Minnesota Vikings,0,1,0,0,0,0,0,1,2.0,2.0,10.9%,MIN,13,2018
29,Pittsburgh Steelers,2,0,0,0,0,0,0,1,1.0,1.0,75.9%,PIT,13,2018
30,Washington Commanders,0,1,0,2,0,0,0,1,1.0,1.0,8.1%,WAS,13,2018
31,San Francisco 49ers,3,0,0,0,0,0,0,1,-1.0,-1.0,97.8%,SF,13,2018
32,Las Vegas Raiders,0,0,1,1,0,0,0,1,-1.0,-1.0,24.5%,LV,13,2018
