Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Los Angeles Rams,3,3,2,2,2,0,0,1,21.0,21.0,21.2%,LAR,11,2018
2,Houston Texans,5,2,0,1,1,0,0,1,15.0,15.0,31.9%,HOU,11,2018
3,Chicago Bears,2,2,1,1,1,0,0,1,15.0,15.0,33.9%,CHI,11,2018
4,Indianapolis Colts,5,2,0,1,0,0,0,1,13.0,13.0,26.4%,IND,11,2018
5,New Orleans Saints,3,3,0,0,0,0,0,1,13.0,13.0,64.0%,NO,11,2018
6,New York Giants,1,4,0,1,1,0,0,1,11.0,11.0,2.4%,NYG,11,2018
7,Kansas City Chiefs,5,0,2,3,1,0,0,1,11.0,11.0,77.7%,KC,11,2018
8,Washington Commanders,3,2,1,2,0,0,0,1,10.0,10.0,8.1%,WAS,11,2018
9,Pittsburgh Steelers,6,0,1,2,0,0,0,1,9.0,9.0,75.9%,PIT,11,2018
10,Jacksonville Jaguars,2,3,0,0,0,0,0,1,9.0,9.0,50.2%,JAC,11,2018
11,Minnesota Vikings,1,2,1,1,0,0,0,1,8.0,8.0,10.9%,MIN,11,2018
12,Denver Broncos,3,2,0,0,0,0,0,1,7.0,7.0,34.5%,DEN,11,2018
13,Detroit Lions,3,1,0,0,0,0,0,1,6.0,6.0,38.6%,DET,11,2018
14,Dallas Cowboys,3,1,0,0,0,0,0,1,6.0,6.0,92.7%,DAL,11,2018
15,Green Bay Packers,3,0,1,2,0,0,0,1,5.0,5.0,26.4%,GB,11,2018
16,Las Vegas Raiders,1,2,0,0,0,0,0,1,5.0,5.0,24.5%,LV,11,2018
17,Cincinnati Bengals,3,1,0,0,0,0,0,1,5.0,5.0,50.0%,CIN,11,2018
18,Seattle Seahawks,5,0,0,0,0,0,0,1,5.0,5.0,22.4%,SEA,11,2018
19,Arizona Cardinals,4,0,0,0,0,0,0,1,4.0,4.0,0.8%,ARI,11,2018
20,Tampa Bay Buccaneers,4,0,0,1,1,0,0,1,3.0,3.0,20.8%,TB,11,2018
21,Atlanta Falcons,2,0,0,1,0,0,0,1,2.0,2.0,16.7%,ATL,11,2018
22,Carolina Panthers,1,0,0,0,0,0,0,1,2.0,2.0,3.0%,CAR,11,2018
23,Baltimore Ravens,1,0,0,0,0,0,0,1,1.0,1.0,86.2%,BAL,11,2018
24,Los Angeles Chargers,0,0,0,0,0,0,0,1,0.0,0.0,13.8%,LAC,11,2018
25,Philadelphia Eagles,0,0,0,0,0,0,0,1,-4.0,-4.0,51.6%,PHI,11,2018
26,Tennessee Titans,0,0,0,1,0,0,0,1,-4.0,-4.0,3.5%,TEN,11,2018
