Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Baltimore Ravens,4,2,1,1,1,0,0,1,20.0,20.0,86.2%,BAL,16,2018
2,Jacksonville Jaguars,3,1,1,1,1,0,0,1,17.0,17.0,50.2%,JAC,16,2018
3,Dallas Cowboys,3,0,2,1,1,0,0,1,14.0,14.0,92.7%,DAL,16,2018
4,Atlanta Falcons,2,3,1,1,0,0,0,1,14.0,14.0,16.7%,ATL,16,2018
5,Tennessee Titans,2,2,0,0,1,0,0,1,13.0,13.0,3.5%,TEN,16,2018
6,Miami Dolphins,6,0,1,1,0,0,0,1,12.0,12.0,69.9%,MIA,16,2018
7,New England Patriots,0,2,1,1,0,0,0,1,10.0,10.0,13.6%,NE,16,2018
8,Los Angeles Rams,4,0,0,0,0,0,0,1,8.0,8.0,21.2%,LAR,16,2018
9,San Francisco 49ers,3,0,2,1,0,0,0,1,8.0,8.0,97.8%,SF,16,2018
10,Buffalo Bills,1,2,1,1,0,0,0,1,7.0,7.0,61.3%,BUF,16,2018
11,Chicago Bears,1,1,0,1,0,0,0,1,7.0,7.0,33.9%,CHI,16,2018
12,Minnesota Vikings,3,0,0,0,0,0,0,1,7.0,7.0,10.9%,MIN,16,2018
13,New Orleans Saints,3,0,2,2,0,0,0,1,6.0,6.0,64.0%,NO,16,2018
14,Houston Texans,1,1,2,3,0,0,0,1,6.0,6.0,31.9%,HOU,16,2018
15,Los Angeles Chargers,3,0,1,1,0,0,0,1,6.0,6.0,13.8%,LAC,16,2018
16,Las Vegas Raiders,1,2,0,1,0,0,1,1,6.0,6.0,24.5%,LV,16,2018
17,Philadelphia Eagles,4,0,1,1,0,0,0,1,5.0,5.0,51.6%,PHI,16,2018
18,Carolina Panthers,1,0,2,1,0,0,0,1,5.0,5.0,3.0%,CAR,16,2018
19,Pittsburgh Steelers,2,1,0,1,0,0,0,1,4.0,4.0,75.9%,PIT,16,2018
20,Seattle Seahawks,1,0,2,2,0,0,0,1,4.0,4.0,22.4%,SEA,16,2018
21,Washington Commanders,3,0,0,0,0,0,0,1,4.0,4.0,8.1%,WAS,16,2018
22,Cleveland Browns,3,0,0,1,0,0,0,1,4.0,4.0,94.2%,CLE,16,2018
23,Arizona Cardinals,2,0,1,1,0,0,0,1,3.0,3.0,0.8%,ARI,16,2018
24,New York Jets,4,0,1,0,0,0,1,1,2.0,2.0,82.4%,NYJ,16,2018
25,New York Giants,1,1,0,0,0,0,0,1,2.0,2.0,2.4%,NYG,16,2018
26,Indianapolis Colts,0,1,0,0,0,0,0,1,2.0,2.0,26.4%,IND,16,2018
27,Detroit Lions,2,0,0,0,0,0,0,1,2.0,2.0,38.6%,DET,16,2018
28,Denver Broncos,1,0,0,0,0,0,0,1,1.0,1.0,34.5%,DEN,16,2018
29,Tampa Bay Buccaneers,1,0,0,1,0,0,0,1,1.0,1.0,20.8%,TB,16,2018
30,Cincinnati Bengals,0,0,0,0,0,0,0,1,1.0,1.0,50.0%,CIN,16,2018
31,Kansas City Chiefs,3,0,0,0,0,0,0,1,-1.0,-1.0,77.7%,KC,16,2018
32,Green Bay Packers,2,0,0,0,0,0,0,1,-2.0,-2.0,26.4%,GB,16,2018
