Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Chicago Bears,6,1,1,3,1,0,0,1,17.0,17.0,33.9%,CHI,2,2018
2,Miami Dolphins,3,2,1,2,0,0,0,1,13.0,13.0,69.9%,MIA,2,2018
3,Los Angeles Rams,1,1,0,0,0,0,0,1,13.0,13.0,21.2%,LAR,2,2018
4,Dallas Cowboys,6,0,1,1,0,0,0,1,12.0,12.0,92.7%,DAL,2,2018
5,Cincinnati Bengals,4,2,1,1,0,0,0,1,10.0,10.0,50.0%,CIN,2,2018
6,Los Angeles Chargers,5,2,0,0,0,0,0,1,10.0,10.0,13.8%,LAC,2,2018
7,Green Bay Packers,2,1,0,0,0,0,0,1,10.0,10.0,26.4%,GB,2,2018
8,Indianapolis Colts,3,0,1,1,0,0,0,1,9.0,9.0,26.4%,IND,2,2018
9,New York Jets,4,0,2,2,0,0,0,1,9.0,9.0,82.4%,NYJ,2,2018
10,Tennessee Titans,4,1,0,1,0,0,0,1,7.0,7.0,3.5%,TEN,2,2018
11,Tampa Bay Buccaneers,3,0,2,1,0,0,0,1,7.0,7.0,20.8%,TB,2,2018
12,Cleveland Browns,3,0,2,2,0,0,0,1,7.0,7.0,94.2%,CLE,2,2018
13,Seattle Seahawks,2,2,0,0,0,0,0,1,7.0,7.0,22.4%,SEA,2,2018
14,New Orleans Saints,3,1,0,2,0,0,0,1,6.0,6.0,64.0%,NO,2,2018
15,Philadelphia Eagles,2,1,1,1,0,0,0,1,6.0,6.0,51.6%,PHI,2,2018
16,Washington Commanders,1,2,0,0,0,0,0,1,5.0,5.0,8.1%,WAS,2,2018
17,Jacksonville Jaguars,2,0,1,1,0,0,0,1,5.0,5.0,50.2%,JAC,2,2018
18,Detroit Lions,6,0,0,0,0,0,0,1,5.0,5.0,38.6%,DET,2,2018
19,Atlanta Falcons,2,1,0,0,0,0,0,1,4.0,4.0,16.7%,ATL,2,2018
20,Minnesota Vikings,4,0,0,0,0,0,0,1,4.0,4.0,10.9%,MIN,2,2018
21,Las Vegas Raiders,1,1,0,0,0,0,0,1,4.0,4.0,24.5%,LV,2,2018
22,San Francisco 49ers,2,0,1,1,0,0,0,1,4.0,4.0,97.8%,SF,2,2018
23,New England Patriots,0,1,1,2,0,0,0,1,3.0,3.0,13.6%,NE,2,2018
24,Denver Broncos,1,0,0,0,0,0,0,1,3.0,3.0,34.5%,DEN,2,2018
25,Arizona Cardinals,2,1,0,0,0,0,0,1,3.0,3.0,0.8%,ARI,2,2018
26,Houston Texans,1,0,0,1,0,0,0,1,2.0,2.0,31.9%,HOU,2,2018
27,New York Giants,0,0,0,0,0,0,0,1,1.0,1.0,2.4%,NYG,2,2018
28,Pittsburgh Steelers,1,0,1,1,0,1,0,1,1.0,1.0,75.9%,PIT,2,2018
29,Carolina Panthers,0,1,0,2,0,0,0,1,1.0,1.0,3.0%,CAR,2,2018
30,Buffalo Bills,2,0,0,1,0,0,0,1,1.0,1.0,61.3%,BUF,2,2018
31,Baltimore Ravens,0,0,0,0,0,0,0,1,-1.0,-1.0,86.2%,BAL,2,2018
32,Kansas City Chiefs,1,0,0,0,0,0,0,1,-3.0,-3.0,77.7%,KC,2,2018
