Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Atlanta Falcons,7,2,1,1,1,0,0,1,20.0,20.0,16.7%,ATL,15,2018
2,Tennessee Titans,3,1,1,1,0,0,0,1,17.0,17.0,3.5%,TEN,15,2018
3,Indianapolis Colts,3,1,0,1,0,0,0,1,16.0,16.0,26.4%,IND,15,2018
4,Washington Commanders,6,1,1,1,0,0,0,1,14.0,14.0,8.1%,WAS,15,2018
5,Minnesota Vikings,9,0,0,0,0,0,0,1,13.0,13.0,10.9%,MIN,15,2018
6,New Orleans Saints,4,1,1,1,0,0,0,1,12.0,12.0,64.0%,NO,15,2018
7,Carolina Panthers,2,1,0,1,0,0,0,1,10.0,10.0,3.0%,CAR,15,2018
8,Cincinnati Bengals,5,0,2,2,0,0,0,1,10.0,10.0,50.0%,CIN,15,2018
9,Chicago Bears,5,1,0,0,0,0,0,1,8.0,8.0,33.9%,CHI,15,2018
10,Philadelphia Eagles,2,1,2,1,0,0,0,1,8.0,8.0,51.6%,PHI,15,2018
11,Kansas City Chiefs,5,2,0,1,0,0,0,1,8.0,8.0,77.7%,KC,15,2018
12,Cleveland Browns,2,2,0,0,0,0,0,1,7.0,7.0,94.2%,CLE,15,2018
13,Denver Broncos,2,1,1,1,0,0,0,1,7.0,7.0,34.5%,DEN,15,2018
14,Pittsburgh Steelers,1,1,0,0,0,0,0,1,7.0,7.0,75.9%,PIT,15,2018
15,Baltimore Ravens,1,1,0,0,0,0,0,1,7.0,7.0,86.2%,BAL,15,2018
16,New England Patriots,2,2,0,0,0,0,0,1,7.0,7.0,13.6%,NE,15,2018
17,Tampa Bay Buccaneers,2,0,2,0,0,0,0,1,7.0,7.0,20.8%,TB,15,2018
18,Miami Dolphins,2,1,0,0,1,0,0,1,6.0,6.0,69.9%,MIA,15,2018
19,Houston Texans,3,0,1,1,0,0,0,1,5.0,5.0,31.9%,HOU,15,2018
20,New York Jets,6,0,0,0,0,0,0,1,5.0,5.0,82.4%,NYJ,15,2018
21,Seattle Seahawks,3,0,1,1,0,0,0,1,5.0,5.0,22.4%,SEA,15,2018
22,Jacksonville Jaguars,3,0,0,1,0,0,1,1,4.0,4.0,50.2%,JAC,15,2018
23,Buffalo Bills,0,0,0,0,0,0,0,1,4.0,4.0,61.3%,BUF,15,2018
24,Green Bay Packers,1,0,1,2,0,0,0,1,3.0,3.0,26.4%,GB,15,2018
25,San Francisco 49ers,3,0,0,1,0,0,1,1,3.0,3.0,97.8%,SF,15,2018
26,New York Giants,1,0,0,0,0,0,0,1,2.0,2.0,2.4%,NYG,15,2018
27,Las Vegas Raiders,1,1,0,0,0,0,0,1,2.0,2.0,24.5%,LV,15,2018
28,Detroit Lions,1,0,0,1,0,0,0,1,2.0,2.0,38.6%,DET,15,2018
29,Dallas Cowboys,0,0,1,1,0,0,0,1,2.0,2.0,92.7%,DAL,15,2018
30,Los Angeles Chargers,2,0,0,0,0,0,0,1,1.0,1.0,13.8%,LAC,15,2018
31,Los Angeles Rams,0,1,0,0,0,0,0,1,1.0,1.0,21.2%,LAR,15,2018
32,Arizona Cardinals,2,0,0,0,0,0,0,1,1.0,1.0,0.8%,ARI,15,2018
