Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS.1,Y/R,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Derrick Henry,20,143,7.2,76,4,3,2,3,13,6.5,0,0,1,35.6,35.6,99.3%,BAL,6,2021
2,Leonard Fournette,22,81,3.7,20,1,2,6,6,46,7.7,0,0,1,30.7,30.7,2.1%,FA,6,2021
3,Jonathan Taylor,14,145,10.4,83,4,2,1,2,13,13.0,0,0,1,28.8,28.8,98.8%,IND,6,2021
4,Joe Mixon,18,94,5.2,18,0,0,5,6,59,11.8,1,0,1,26.3,26.3,99.1%,HOU,6,2021
5,Darrell Henderson Jr.,21,78,3.7,10,0,1,2,3,29,14.5,1,0,1,24.7,24.7,5.0%,FA,6,2021
6,Najee Harris,24,81,3.4,10,0,0,6,7,46,7.7,1,0,1,24.7,24.7,91.4%,PIT,6,2021
7,Darrel Williams,21,62,3.0,11,0,2,3,4,27,9.0,0,0,1,23.9,23.9,0.0%,FA,6,2021
8,Dalvin Cook,29,140,4.8,23,1,1,2,2,3,1.5,0,0,1,22.3,22.3,9.5%,FA,6,2021
9,Kenyan Drake,4,34,8.5,18,0,1,2,2,39,19.5,1,0,1,21.3,21.3,0.0%,FA,6,2021
10,Aaron Jones,13,76,5.8,28,1,0,4,4,34,8.5,1,0,1,21.0,21.0,93.3%,MIN,6,2021
11,Khalil Herbert,19,97,5.1,25,1,1,2,3,15,7.5,0,0,1,19.2,19.2,29.6%,CHI,6,2021
12,James Robinson,17,73,4.3,24,1,1,3,4,28,9.3,0,0,1,19.1,19.1,0.1%,NO,6,2021
13,J.D. McKissic,8,45,5.6,11,0,0,8,10,65,8.1,0,0,1,19.0,19.0,0.0%,FA,6,2021
14,Ezekiel Elliott,17,69,4.1,21,1,0,7,9,50,7.1,0,0,1,18.9,18.9,78.1%,DAL,6,2021
15,Damien Harris,18,101,5.6,21,2,1,1,1,7,7.0,0,0,1,17.8,17.8,4.6%,FA,6,2021
16,D'Andre Swift,13,24,1.8,9,0,1,5,7,43,8.6,0,0,1,17.7,17.7,93.8%,CHI,6,2021
17,Alex Collins,20,101,5.1,21,1,1,1,1,-3,-3.0,0,0,1,16.8,16.8,19.0%,FA,6,2021
18,Chris Evans,4,18,4.5,6,0,0,3,3,49,16.3,1,0,1,15.7,15.7,0.2%,CIN,6,2021
19,Rhamondre Stevenson,5,23,4.6,11,0,1,3,3,39,13.0,0,0,1,15.2,15.2,84.5%,NE,6,2021
20,Josh Jacobs,16,53,3.3,6,0,1,1,1,29,29.0,0,0,1,15.2,15.2,97.3%,GB,6,2021
21,Latavius Murray,9,44,4.9,14,0,1,2,2,12,6.0,0,0,1,13.6,13.6,7.6%,FA,6,2021
22,Chuba Hubbard,16,61,3.8,9,0,1,1,3,4,4.0,0,0,1,13.5,13.5,51.0%,CAR,6,2021
23,Devonta Freeman,9,53,5.9,16,0,1,0,2,0,0.0,0,0,1,11.3,11.3,0.0%,FA,6,2021
24,Devontae Booker,12,41,3.4,14,0,0,4,4,28,7.0,0,0,1,10.9,10.9,0.0%,FA,6,2021
25,Kareem Hunt,14,66,4.7,17,0,0,3,3,12,4.0,0,0,1,10.8,10.8,27.3%,FA,6,2021
26,Melvin Gordon III,10,50,5.0,10,0,0,3,3,23,7.7,0,0,1,10.3,10.3,0.0%,FA,6,2021
27,Mark Ingram II,18,73,4.1,24,1,0,2,2,8,4.0,0,0,1,10.1,10.1,0.1%,FA,6,2021
