Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Aaron Donald,3,2,3.0,1,0,0,0,0,1,27.0,27.0,11.6%,FA,14,2021
2,Myles Garrett,3,0,1.0,0,0,1,1,1,1,22.5,22.5,63.8%,CLE,14,2021
3,Dre'Mont Jones,3,0,2.0,1,0,0,0,0,1,21.5,21.5,4.9%,SEA,14,2021
4,Dorance Armstrong Jr.,4,2,0.0,0,0,0,1,1,1,17.5,17.5,4.1%,WAS,14,2021
5,Nick Bosa,2,1,2.0,0,0,0,0,0,1,16.8,16.8,63.7%,SF,14,2021
6,Justin Jones,3,2,1.0,0,0,0,1,0,1,16.5,16.5,2.7%,ARI,14,2021
7,Randy Gregory,1,0,1.0,1,1,1,0,0,1,16.0,16.0,2.3%,TB,14,2021
8,Dante Fowler Jr.,3,0,1.0,0,0,0,0,0,1,16.0,16.0,3.7%,WAS,14,2021
9,Roy Robertson-Harris,4,1,1.0,0,0,0,0,0,1,15.8,15.8,1.2%,JAC,14,2021
10,Jonathan Allen,5,2,1.0,0,0,0,0,0,1,15.5,15.5,14.9%,WAS,14,2021
11,Sheldon Richardson,3,0,1.0,1,0,0,0,0,1,15.0,15.0,1.0%,FA,14,2021
12,Dexter Lawrence II,4,3,1.0,0,0,0,0,0,1,14.8,14.8,12.5%,NYG,14,2021
13,Daron Payne,5,1,1.0,0,0,0,0,0,1,14.8,14.8,15.4%,WAS,14,2021
14,Larry Ogunjobi,3,1,1.0,0,0,0,0,0,1,14.3,14.3,2.3%,PIT,14,2021
15,Alex Okafor,1,2,1.5,0,0,1,0,0,1,13.0,13.0,0.0%,FA,14,2021
16,Jadeveon Clowney,1,2,1.5,1,0,0,0,0,1,13.0,13.0,22.5%,CAR,14,2021
17,Jordan Phillips,3,2,1.0,0,0,0,0,0,1,12.5,12.5,1.3%,NYG,14,2021
18,Greg Gaines,3,2,1.0,0,0,0,0,0,1,12.5,12.5,0.4%,TB,14,2021
19,DeMarcus Lawrence,2,0,1.0,0,0,0,0,0,1,12.0,12.0,12.8%,DAL,14,2021
20,Zach Allen,3,1,1.0,0,0,0,0,0,1,11.8,11.8,11.0%,DEN,14,2021
21,B.J. Hill,3,1,1.0,0,0,0,0,0,1,11.8,11.8,5.8%,CIN,14,2021
