Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Josey Jewell,8,2,0.0,2,2,0,0,0,1,26.5,26.5,30.4%,CAR,14,2022
2,Dre Greenlaw,10,5,0.0,1,1,0,0,0,1,25.3,25.3,37.6%,SF,14,2022
3,Logan Wilson,14,3,0.5,0,0,0,0,0,1,25.3,25.3,63.3%,CIN,14,2022
4,Willie Gay Jr.,5,0,0.0,1,1,0,0,1,1,22.5,22.5,7.3%,NO,14,2022
5,Jerome Baker,6,5,1.0,0,0,0,0,0,1,21.8,21.8,14.2%,SEA,14,2022
6,Matt Milano,7,2,0.0,2,0,0,1,0,1,21.5,21.5,22.9%,BUF,14,2022
7,Roquan Smith,3,2,1.0,2,1,0,0,0,1,20.5,20.5,90.5%,BAL,14,2022
8,Leighton Vander Esch,9,5,0.0,0,0,0,0,0,1,19.8,19.8,2.0%,FA,14,2022
9,Azeez Ojulari,3,1,2.0,0,0,0,0,0,1,18.3,18.3,2.3%,NYG,14,2022
10,Foyesade Oluokun,10,4,0.0,0,0,0,0,0,1,18.0,18.0,94.0%,JAC,14,2022
11,Monty Rice,7,5,0.0,0,0,0,0,0,1,16.8,16.8,1.0%,NO,14,2022
12,Frankie Luvu,4,0,1.0,1,0,0,0,0,1,16.5,16.5,44.5%,WAS,14,2022
13,Deion Jones,4,3,0.0,2,1,0,0,0,1,16.3,16.3,2.5%,BUF,14,2022
14,Bobby Wagner,7,7,0.0,0,0,0,0,0,1,15.8,15.8,72.2%,WAS,14,2022
15,Bud Dupree,5,1,0.0,0,0,0,0,0,1,15.8,15.8,1.2%,LAC,14,2022
16,Jordan Hicks,7,1,0.0,1,0,0,0,0,1,15.3,15.3,29.8%,CLE,14,2022
17,Cody Barton,6,8,0.0,0,0,0,0,0,1,15.0,15.0,11.8%,DEN,14,2022
18,Chandler Jones,1,2,1.0,0,0,1,1,0,1,15.0,15.0,0.6%,FA,14,2022
19,Patrick Queen,4,2,0.0,1,1,0,0,0,1,14.0,14.0,43.0%,PIT,14,2022
20,Matthew Judon,3,1,1.5,0,0,0,0,0,1,13.8,13.8,17.4%,NE,14,2022
21,Raekwon McMillan,2,1,0.0,0,0,0,1,1,1,13.8,13.8,0.6%,NE,14,2022
22,C.J. Mosley,7,2,0.0,1,0,0,0,0,1,13.5,13.5,65.6%,NYJ,14,2022
23,Shaq Thompson,6,3,0.5,0,0,0,0,0,1,13.3,13.3,14.7%,CAR,14,2022
24,Ogbo Okoronkwo,2,1,1.0,1,0,1,0,0,1,13.3,13.3,2.7%,CLE,14,2022
25,Germaine Pratt,4,1,0.0,1,0,0,0,0,1,13.3,13.3,17.4%,CIN,14,2022
26,Alex Anzalone,6,3,0.0,1,0,0,0,0,1,12.8,12.8,31.4%,DET,14,2022
27,Christian Kirksey,5,5,0.0,1,0,0,0,0,1,12.8,12.8,0.1%,FA,14,2022
28,Lavonte David,3,2,0.0,0,0,0,1,0,1,12.5,12.5,52.1%,TB,14,2022
29,T.J. Watt,3,2,1.0,0,0,0,0,0,1,12.5,12.5,78.7%,PIT,14,2022
30,Isaiah Simmons,2,4,0.0,1,1,0,0,0,1,12.5,12.5,6.1%,NYG,14,2022
31,Kyle Van Noy,2,0,1.0,0,0,0,0,0,1,12.0,12.0,8.7%,BAL,14,2022
32,Jaylon Smith,7,2,0.0,0,0,0,0,0,1,12.0,12.0,0.2%,FA,14,2022
33,Jordyn Brooks,5,5,0.0,0,0,0,0,0,1,11.3,11.3,25.7%,MIA,14,2022
