Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Chase McLaughlin,5,5,100.0,52,0,3,0,1,1,3,3,1,21.0,21.0,6.8%,TB,15,2022
2,Matt Prater,3,3,100.0,55,0,0,0,1,2,0,0,1,14.0,14.0,1.7%,ARI,15,2022
3,Nick Folk,3,3,100.0,54,0,1,0,1,1,1,1,1,13.0,13.0,9.5%,TEN,15,2022
4,Graham Gano,2,2,100.0,50,0,0,0,0,2,2,2,1,12.0,12.0,1.3%,NYG,15,2022
5,Brett Maher,2,2,100.0,53,0,1,0,0,1,4,4,1,12.0,12.0,0.6%,FA,15,2022
6,Jason Sanders,3,3,100.0,47,0,1,1,1,0,2,2,1,12.0,12.0,46.2%,MIA,15,2022
7,Eddy Pineiro,3,3,100.0,52,0,1,1,0,1,1,1,1,12.0,12.0,1.5%,CAR,15,2022
8,Riley Patterson,2,2,100.0,48,0,0,1,1,0,4,4,1,11.0,11.0,13.1%,JAC,15,2022
9,Joey Slye,2,2,100.0,51,0,0,0,1,1,0,1,1,9.0,9.0,0.6%,NE,15,2022
10,Evan McPherson,2,2,100.0,41,0,1,0,1,0,2,2,1,9.0,9.0,81.8%,CIN,15,2022
11,Jason Myers,2,2,100.0,51,0,0,1,0,1,1,1,1,9.0,9.0,32.1%,SEA,15,2022
12,Cade York,2,4,50.0,47,0,1,0,1,0,1,1,1,8.0,8.0,0.1%,CLE,15,2022
13,Matt Gay,2,2,100.0,55,0,0,1,0,1,0,1,1,8.0,8.0,28.9%,IND,15,2022
14,Brandon McManus,1,2,50.0,52,0,0,0,0,1,3,3,1,8.0,8.0,18.3%,FA,15,2022
15,Chris Boswell,1,1,100.0,50,0,0,0,0,1,3,3,1,8.0,8.0,17.2%,PIT,15,2022
16,Michael Badgley,2,3,66.7,34,0,0,2,0,0,2,2,1,8.0,8.0,19.0%,DET,15,2022
17,Greg Joseph,1,1,100.0,40,0,0,0,1,0,4,4,1,8.0,8.0,3.7%,GB,15,2022
18,Daniel Carlson,1,1,100.0,49,0,0,0,1,0,3,3,1,7.0,7.0,24.2%,LV,15,2022
19,Tyler Bass,1,1,100.0,25,0,1,0,0,0,3,3,1,6.0,6.0,45.5%,BUF,15,2022
20,Mason Crosby,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,0.1%,FA,15,2022
21,Cameron Dicker,1,1,100.0,43,0,0,0,1,0,2,2,1,6.0,6.0,50.4%,LAC,15,2022
22,Ka'imi Fairbairn,1,1,100.0,29,0,1,0,0,0,3,3,1,6.0,6.0,47.4%,HOU,15,2022
23,Ryan Succop,1,2,50.0,21,0,1,0,0,0,2,2,1,5.0,5.0,0.0%,FA,15,2022
24,Greg Zuerlein,1,2,50.0,34,0,0,1,0,0,2,2,1,5.0,5.0,43.8%,NYJ,15,2022
25,Jake Elliott,1,2,50.0,32,0,0,1,0,0,2,2,1,5.0,5.0,93.5%,PHI,15,2022
26,Justin Tucker,1,3,33.3,53,0,0,0,0,1,0,0,1,5.0,5.0,98.7%,BAL,15,2022
27,Harrison Butker,1,2,50.0,27,0,1,0,0,0,1,2,1,4.0,4.0,96.2%,KC,15,2022
28,Younghoe Koo,1,1,100.0,28,0,1,0,0,0,1,1,1,4.0,4.0,61.7%,ATL,15,2022
29,Robbie Gould,0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,FA,15,2022
30,Wil Lutz,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,10.3%,DEN,15,2022
31,Randy Bullock,0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,15,2022
32,Cairo Santos,0,0,0.0,0,0,0,0,0,0,2,3,1,2.0,2.0,26.6%,CHI,15,2022
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,15,2022
