Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Nick Folk,4,4,100.0,46,0,2,1,1,0,2,2,1,15.0,15.0,9.5%,TEN,12,2022
2,Justin Tucker,4,5,80.0,55,0,3,0,0,1,1,1,1,15.0,15.0,98.7%,BAL,12,2022
3,Harrison Butker,4,4,100.0,32,0,3,1,0,0,2,2,1,14.0,14.0,96.2%,KC,12,2022
4,Matthew Wright,3,3,100.0,52,0,1,0,1,1,1,1,1,13.0,13.0,0.0%,PIT,12,2022
5,Jason Sanders,3,3,100.0,45,0,1,1,1,0,3,3,1,13.0,13.0,46.2%,MIA,12,2022
6,Eddy Pineiro,3,3,100.0,42,0,1,1,1,0,2,2,1,12.0,12.0,1.5%,CAR,12,2022
7,Jake Elliott,2,2,100.0,54,0,0,1,0,1,4,5,1,12.0,12.0,93.5%,PHI,12,2022
8,Graham Gano,2,2,100.0,57,0,0,0,1,1,2,2,1,11.0,11.0,1.3%,NYG,12,2022
9,Jason Myers,2,2,100.0,34,0,1,1,0,0,4,4,1,10.0,10.0,32.1%,SEA,12,2022
10,Daniel Carlson,2,3,66.7,36,0,1,1,0,0,4,4,1,10.0,10.0,24.2%,LV,12,2022
11,Caleb Shudak,3,4,75.0,38,0,1,2,0,0,1,1,1,10.0,10.0,0.0%,FA,12,2022
12,Tyler Bass,2,2,100.0,47,0,0,0,2,0,2,3,1,10.0,10.0,45.5%,BUF,12,2022
13,Younghoe Koo,2,3,66.7,48,0,0,0,2,0,1,1,1,9.0,9.0,61.7%,ATL,12,2022
14,Evan McPherson,2,2,100.0,47,0,0,1,1,0,2,2,1,9.0,9.0,81.8%,CIN,12,2022
15,Mason Crosby,2,2,100.0,33,0,1,1,0,0,3,4,1,9.0,9.0,0.1%,FA,12,2022
16,Greg Zuerlein,1,2,50.0,57,0,0,0,0,1,4,4,1,9.0,9.0,43.8%,NYJ,12,2022
17,Greg Joseph,2,2,100.0,36,0,0,2,0,0,3,4,1,9.0,9.0,3.7%,GB,12,2022
18,Joey Slye,2,2,100.0,45,0,0,1,1,0,1,2,1,8.0,8.0,0.6%,NE,12,2022
19,Robbie Gould,2,2,100.0,46,0,1,0,1,0,1,1,1,8.0,8.0,0.1%,FA,12,2022
20,Riley Patterson,2,2,100.0,29,0,2,0,0,0,2,2,1,8.0,8.0,13.1%,JAC,12,2022
21,Matt Prater,1,2,50.0,43,0,0,0,1,0,3,3,1,7.0,7.0,1.7%,ARI,12,2022
22,Chase McLaughlin,1,2,50.0,51,0,0,0,0,1,2,2,1,7.0,7.0,6.8%,TB,12,2022
23,Michael Badgley,1,2,50.0,51,0,0,0,0,1,2,2,1,7.0,7.0,19.0%,DET,12,2022
24,Cade York,1,2,50.0,51,0,0,0,0,1,2,2,1,7.0,7.0,0.1%,CLE,12,2022
25,Ryan Succop,1,1,100.0,42,0,0,0,1,0,2,2,1,6.0,6.0,0.0%,FA,12,2022
26,Cameron Dicker,1,1,100.0,26,0,1,0,0,0,2,2,1,5.0,5.0,50.4%,LAC,12,2022
27,Matt Gay,1,1,100.0,47,0,0,0,1,0,1,1,1,5.0,5.0,28.9%,IND,12,2022
28,Brett Maher,0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.6%,FA,12,2022
29,Cairo Santos,1,1,100.0,22,0,1,0,0,0,1,1,1,4.0,4.0,26.6%,CHI,12,2022
30,Brandon McManus,1,2,50.0,27,0,1,0,0,0,1,1,1,4.0,4.0,18.3%,FA,12,2022
31,Ka'imi Fairbairn,1,1,100.0,28,0,1,0,0,0,0,0,1,3.0,3.0,47.4%,HOU,12,2022
32,Wil Lutz,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,10.3%,DEN,12,2022
33,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,12,2022
34,Randy Bullock,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,FA,12,2022
