Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Ryan Succop,4,4,100.0,54,0,2,1,0,1,0,0,1,14.0,14.0,0.0%,FA,6,2022
2,Wil Lutz,4,4,100.0,37,0,0,4,0,0,2,2,1,14.0,14.0,10.3%,DEN,6,2022
3,Jason Myers,4,4,100.0,39,0,1,3,0,0,1,1,1,13.0,13.0,32.1%,SEA,6,2022
4,Dustin Hopkins,4,4,100.0,39,0,0,4,0,0,1,1,1,13.0,13.0,29.1%,CLE,6,2022
5,Brandon McManus,3,3,100.0,51,0,1,0,1,1,1,1,1,13.0,13.0,18.3%,FA,6,2022
6,Cade York,3,3,100.0,51,0,0,1,1,1,0,0,1,12.0,12.0,0.1%,CLE,6,2022
7,Harrison Butker,2,3,66.7,62,0,0,0,1,1,2,2,1,11.0,11.0,96.2%,KC,6,2022
8,Jake Elliott,2,2,100.0,51,0,0,1,0,1,2,2,1,10.0,10.0,93.5%,PHI,6,2022
9,Chris Boswell,2,2,100.0,55,0,1,0,0,1,2,2,1,10.0,10.0,17.2%,PIT,6,2022
10,Chase McLaughlin,2,2,100.0,42,0,1,0,1,0,2,2,1,9.0,9.0,6.8%,TB,6,2022
11,Greg Zuerlein,2,3,66.7,32,0,1,1,0,0,3,3,1,9.0,9.0,43.8%,NYJ,6,2022
12,Nick Folk,1,2,50.0,19,1,0,0,0,0,5,5,1,8.0,8.0,9.5%,TEN,6,2022
13,Justin Tucker,2,3,66.7,34,0,1,1,0,0,2,2,1,8.0,8.0,98.7%,BAL,6,2022
14,Evan McPherson,1,1,100.0,52,0,0,0,0,1,3,3,1,8.0,8.0,81.8%,CIN,6,2022
15,Joey Slye,2,3,66.7,38,0,1,1,0,0,0,0,1,6.0,6.0,0.6%,NE,6,2022
16,Tyler Bass,1,1,100.0,39,0,0,1,0,0,3,3,1,6.0,6.0,45.5%,BUF,6,2022
17,Matt Gay,1,1,100.0,21,0,1,0,0,0,3,3,1,6.0,6.0,28.9%,IND,6,2022
18,Graham Gano,1,1,100.0,34,0,0,1,0,0,3,3,1,6.0,6.0,1.3%,NYG,6,2022
19,Brett Maher,1,2,50.0,30,0,0,1,0,0,2,2,1,5.0,5.0,0.6%,FA,6,2022
20,Jason Sanders,1,2,50.0,44,0,0,0,1,0,1,1,1,5.0,5.0,46.2%,MIA,6,2022
21,Eddy Pineiro,1,1,100.0,42,0,0,0,1,0,1,1,1,5.0,5.0,1.5%,CAR,6,2022
22,Mason Crosby,1,2,50.0,29,0,1,0,0,0,1,1,1,4.0,4.0,0.1%,FA,6,2022
23,Younghoe Koo,0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,61.7%,ATL,6,2022
24,Greg Joseph,1,1,100.0,34,0,0,1,0,0,1,2,1,4.0,4.0,3.7%,GB,6,2022
25,Matt Ammendola,1,1,100.0,23,0,1,0,0,0,0,1,1,3.0,3.0,2.0%,FA,6,2022
26,Riley Patterson,0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,13.1%,JAC,6,2022
27,Robbie Gould,0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,FA,6,2022
28,Cairo Santos,0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,26.6%,CHI,6,2022
