Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tyler Bass,6,6,100.0,56,0,1,2,2,1,1,1,1,23.0,23.0,45.5%,BUF,11,2022
2,Brett Maher,4,4,100.0,60,0,1,0,0,3,4,4,1,22.0,22.0,0.6%,FA,11,2022
3,Evan McPherson,3,3,100.0,54,0,0,0,2,1,4,4,1,17.0,17.0,81.8%,CIN,11,2022
4,Harrison Butker,3,3,100.0,52,0,0,2,0,1,3,3,1,14.0,14.0,96.2%,KC,11,2022
5,Brandon McManus,3,4,75.0,52,0,0,0,2,1,1,1,1,14.0,14.0,18.3%,FA,11,2022
6,Daniel Carlson,3,4,75.0,57,0,1,0,0,2,1,1,1,14.0,14.0,24.2%,LV,11,2022
7,Matthew Wright,3,3,100.0,42,0,0,2,1,0,3,3,1,13.0,13.0,0.0%,PIT,11,2022
8,Chase McLaughlin,3,4,75.0,51,0,0,2,0,1,1,1,1,12.0,12.0,6.8%,TB,11,2022
9,Younghoe Koo,2,2,100.0,53,0,0,0,1,1,3,3,1,12.0,12.0,61.7%,ATL,11,2022
10,Joey Slye,3,3,100.0,44,0,2,0,1,0,2,2,1,12.0,12.0,0.6%,NE,11,2022
11,Matt Gay,2,2,100.0,58,0,0,1,0,1,2,2,1,10.0,10.0,28.9%,IND,11,2022
12,Cameron Dicker,2,2,100.0,46,0,1,0,1,0,3,3,1,10.0,10.0,50.4%,LAC,11,2022
13,Wil Lutz,2,2,100.0,46,0,1,0,1,0,3,3,1,10.0,10.0,10.3%,DEN,11,2022
14,Robbie Gould,1,1,100.0,39,0,0,1,0,0,5,5,1,8.0,8.0,0.1%,FA,11,2022
15,Cairo Santos,1,2,50.0,41,0,0,0,1,0,3,3,1,7.0,7.0,26.6%,CHI,11,2022
16,Justin Tucker,2,2,100.0,37,0,0,2,0,0,1,1,1,7.0,7.0,98.7%,BAL,11,2022
17,Michael Badgley,1,1,100.0,24,0,1,0,0,0,4,4,1,7.0,7.0,19.0%,DET,11,2022
18,Jake Elliott,1,1,100.0,22,0,1,0,0,0,2,2,1,5.0,5.0,93.5%,PHI,11,2022
19,Cade York,1,2,50.0,32,0,0,1,0,0,2,2,1,5.0,5.0,0.1%,CLE,11,2022
20,Matt Prater,1,1,100.0,40,0,0,0,1,0,1,1,1,5.0,5.0,1.7%,ARI,11,2022
21,Ka'imi Fairbairn,1,1,100.0,29,0,1,0,0,0,1,1,1,4.0,4.0,47.4%,HOU,11,2022
22,Nick Folk,1,3,33.3,24,0,1,0,0,0,1,1,1,4.0,4.0,9.5%,TEN,11,2022
23,Greg Zuerlein,1,1,100.0,45,0,0,0,1,0,0,0,1,4.0,4.0,43.8%,NYJ,11,2022
24,Mason Crosby,1,1,100.0,39,0,0,1,0,0,0,1,1,3.0,3.0,0.1%,FA,11,2022
25,Greg Joseph,1,1,100.0,25,0,1,0,0,0,0,0,1,3.0,3.0,3.7%,GB,11,2022
26,Eddy Pineiro,1,1,100.0,32,0,0,1,0,0,0,0,1,3.0,3.0,1.5%,CAR,11,2022
27,Josh Lambo,0,0,0.0,0,0,0,0,0,0,3,4,1,3.0,3.0,0.1%,FA,11,2022
28,Quinn Nordin,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2022
29,Graham Gano,0,0,0.0,0,0,0,0,0,0,0,2,1,0.0,0.0,1.3%,NYG,11,2022
30,Michael Palardy,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,33.3%,FA,11,2022
