Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Davante Adams,11,12,142,12.9,32,4,3,0,0,0,0,1,43.2,43.2,99.9%,LV,16,2020
2,Stefon Diggs,9,11,145,16.1,50,5,3,0,0,0,0,1,41.5,41.5,99.7%,HOU,16,2020
3,Mike Evans,10,12,181,18.1,33,7,2,0,0,0,0,1,40.1,40.1,98.1%,TB,16,2020
4,Michael Gallup,6,8,121,20.2,55,5,2,0,0,0,0,1,30.1,30.1,6.4%,LV,16,2020
5,Jamison Crowder,7,9,92,13.1,30,3,1,1,14,0,0,1,29.3,29.3,0.3%,WAS,16,2020
6,Brandin Cooks,7,10,141,20.1,50,6,1,0,0,0,0,1,27.1,27.1,43.9%,DAL,16,2020
7,Nelson Agholor,5,6,155,31.0,85,5,1,0,0,0,0,1,26.5,26.5,0.9%,BAL,16,2020
8,JuJu Smith-Schuster,9,13,96,10.7,25,2,1,0,0,0,0,1,24.6,24.6,7.0%,NE,16,2020
9,Adam Thielen,8,9,97,12.1,24,2,1,0,0,0,0,1,23.7,23.7,76.1%,CAR,16,2020
10,CeeDee Lamb,3,5,65,21.7,52,4,1,1,19,1,0,1,23.4,23.4,100.0%,DAL,16,2020
11,Sterling Shepard,9,12,77,8.6,16,0,1,0,0,0,0,1,22.7,22.7,0.1%,TB,16,2020
12,Tee Higgins,6,9,99,16.5,30,4,1,0,0,0,0,1,21.9,21.9,94.5%,CIN,16,2020
13,Diontae Johnson,8,14,74,9.3,39,2,1,1,2,0,0,1,21.6,21.6,83.3%,CAR,16,2020
14,Curtis Samuel,5,5,106,21.2,44,4,0,7,52,0,0,1,20.8,20.8,48.9%,BUF,16,2020
15,Allen Robinson II,10,13,103,10.3,21,1,0,0,0,0,0,1,20.3,20.3,0.6%,NYG,16,2020
16,Chris Godwin,5,9,84,16.8,47,3,1,0,0,0,0,1,19.4,19.4,90.4%,TB,16,2020
17,Calvin Ridley,5,9,130,26.0,54,7,0,1,-7,0,0,1,17.3,17.3,95.3%,TEN,16,2020
18,Robbie Chosen,7,10,39,5.6,14,0,1,0,0,0,0,1,16.9,16.9,0.0%,FA,16,2020
19,DJ Chark Jr.,4,6,62,15.5,20,1,1,0,0,0,0,1,16.2,16.2,4.6%,LAC,16,2020
20,Amari Cooper,4,6,121,30.3,69,6,0,0,0,0,0,1,16.1,16.1,91.4%,CLE,16,2020
21,Laviska Shenault Jr.,5,7,48,9.6,34,2,1,0,0,0,0,1,15.8,15.8,0.2%,SEA,16,2020
22,Zach Pascal,3,6,64,21.3,42,3,1,0,0,0,0,1,15.4,15.4,0.1%,ARI,16,2020
23,DeSean Jackson,1,1,81,81.0,81,4,1,0,0,0,0,1,15.1,15.1,0.6%,FA,16,2020
24,Braxton Berrios,3,3,60,20.0,43,3,1,0,0,0,0,1,15.0,15.0,1.3%,MIA,16,2020
25,Alex Erickson,6,6,88,14.7,42,4,0,0,0,0,0,1,14.8,14.8,0.0%,FA,16,2020
26,Cooper Kupp,8,9,66,8.3,12,0,0,0,0,0,0,1,14.6,14.6,97.9%,LAR,16,2020
27,Christian Kirk,7,10,76,10.9,38,2,0,0,0,0,0,1,14.6,14.6,70.5%,JAC,16,2020
28,Justin Jefferson,6,10,85,14.2,25,1,0,0,0,0,0,1,14.5,14.5,100.0%,MIN,16,2020
29,Antonio Brown,4,6,35,8.8,15,0,1,0,0,0,0,1,13.5,13.5,0.8%,FA,16,2020
30,Emmanuel Sanders,4,5,83,20.8,31,4,0,1,12,0,0,1,13.5,13.5,0.0%,FA,16,2020
31,Josh Reynolds,6,10,65,10.8,26,1,0,1,5,0,0,1,13.0,13.0,7.4%,DEN,16,2020
32,DeAndre Hopkins,8,12,48,6.0,9,0,0,0,0,0,0,1,12.8,12.8,92.5%,TEN,16,2020
33,DaeSean Hamilton,5,9,77,15.4,25,1,0,0,0,0,0,1,12.7,12.7,0.0%,FA,16,2020
34,Hollywood Brown,4,4,25,6.3,9,0,1,0,0,0,0,1,12.5,12.5,79.0%,KC,16,2020
35,Jerry Jeudy,6,15,61,10.2,17,0,0,0,0,0,0,1,12.1,12.1,62.0%,CLE,16,2020
36,DK Metcalf,6,8,59,9.8,17,0,0,0,0,0,0,1,11.9,11.9,98.5%,SEA,16,2020
37,Ja'Marcus Bradley,5,11,60,12.0,22,1,0,0,0,0,0,1,11.0,11.0,0.0%,FA,16,2020
38,Demarcus Robinson,2,2,29,14.5,25,1,1,0,0,0,0,1,10.9,10.9,15.2%,LAR,16,2020
39,Tyreek Hill,4,6,65,16.3,31,2,0,0,0,0,0,1,10.5,10.5,100.0%,MIA,16,2020
40,A.J. Green,4,7,64,16.0,33,2,0,0,0,0,0,1,10.4,10.4,0.6%,FA,16,2020
