Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Tyreek Hill,13,15,269,20.7,75,12,3,0,0,0,0,1,57.9,57.9,100.0%,MIA,12,2020
2,William Fuller V,6,7,171,28.5,40,9,2,0,0,0,0,1,35.1,35.1,0.0%,FA,12,2020
3,Jarvis Landry,8,11,143,17.9,27,3,1,0,0,0,0,1,28.3,28.3,14.0%,FA,12,2020
4,DK Metcalf,10,13,177,17.7,52,6,0,0,0,0,0,1,27.7,27.7,98.5%,SEA,12,2020
5,Allen Robinson II,8,13,74,9.3,20,1,2,0,0,0,0,1,27.4,27.4,0.6%,NYG,12,2020
6,Justin Jefferson,7,13,70,10.0,18,0,2,0,0,0,0,1,26.0,26.0,100.0%,MIN,12,2020
7,A.J. Brown,4,6,98,24.5,69,4,1,0,0,0,0,1,25.8,25.8,99.9%,PHI,12,2020
8,Deebo Samuel Sr.,11,13,133,12.1,33,5,0,0,0,0,0,1,24.3,24.3,98.8%,SF,12,2020
9,Amari Cooper,6,8,112,18.7,54,5,1,0,0,0,0,1,23.2,23.2,91.4%,CLE,12,2020
10,Mike Evans,3,9,50,16.7,31,2,2,0,0,0,0,1,20.0,20.0,98.1%,TB,12,2020
11,DeVante Parker,8,14,119,14.9,25,1,0,0,0,0,0,1,19.9,19.9,1.7%,FA,12,2020
12,Collin Johnson,4,8,96,24.0,46,4,1,0,0,0,0,1,19.6,19.6,0.0%,CHI,12,2020
13,Robbie Chosen,4,7,94,23.5,41,5,1,0,0,0,0,1,19.4,19.4,0.0%,FA,12,2020
14,Hollywood Brown,4,8,85,21.3,70,4,1,0,0,0,0,1,18.5,18.5,79.0%,KC,12,2020
15,T.Y. Hilton,4,5,81,20.3,50,4,1,0,0,0,0,1,18.1,18.1,3.0%,FA,12,2020
16,Davante Adams,6,9,61,10.2,15,0,1,0,0,0,0,1,18.1,18.1,99.9%,LV,12,2020
17,JuJu Smith-Schuster,8,9,37,4.6,11,0,1,0,0,0,0,1,17.7,17.7,7.0%,NE,12,2020
18,Chris Godwin,8,9,97,12.1,44,3,0,0,0,0,0,1,17.7,17.7,90.4%,TB,12,2020
19,Chad Beebe,7,7,63,9.0,16,0,1,0,0,0,1,1,17.3,17.3,0.0%,FA,12,2020
20,Calvin Ridley,6,9,50,8.3,16,0,1,0,0,0,0,1,17.0,17.0,95.3%,TEN,12,2020
21,Gabe Davis,3,4,79,26.3,44,4,1,0,0,0,0,1,16.9,16.9,54.7%,JAC,12,2020
22,Bisi Johnson,7,7,74,10.6,17,0,0,0,0,0,0,1,16.4,16.4,0.0%,FA,12,2020
23,Terry McLaurin,7,9,92,13.1,28,2,0,0,0,0,0,1,16.2,16.2,90.2%,WAS,12,2020
24,Keenan Allen,4,10,40,10.0,15,0,1,0,0,0,0,1,16.0,16.0,91.1%,CHI,12,2020
