Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Indianapolis Colts,7,2,1,1,1,0,1,1,23.0,23.0,26.4%,IND,15,2022
2,New York Giants,3,0,2,4,1,0,0,1,17.0,17.0,2.4%,NYG,15,2022
3,Cleveland Browns,3,1,1,1,0,0,0,1,16.0,16.0,94.2%,CLE,15,2022
4,Detroit Lions,4,1,0,0,0,0,1,1,13.0,13.0,38.6%,DET,15,2022
5,Jacksonville Jaguars,3,2,0,0,1,0,0,1,12.0,12.0,50.2%,JAC,15,2022
6,New England Patriots,3,1,0,2,1,0,0,1,11.0,11.0,13.6%,NE,15,2022
7,Las Vegas Raiders,0,0,1,1,1,0,0,1,11.0,11.0,24.5%,LV,15,2022
8,Green Bay Packers,5,1,0,1,0,0,0,1,11.0,11.0,26.4%,GB,15,2022
9,Arizona Cardinals,7,1,1,1,0,0,0,1,11.0,11.0,0.8%,ARI,15,2022
10,Denver Broncos,3,3,0,0,0,0,0,1,10.0,10.0,34.5%,DEN,15,2022
11,Cincinnati Bengals,1,2,2,1,0,0,0,1,9.0,9.0,50.0%,CIN,15,2022
12,Philadelphia Eagles,6,0,1,3,0,0,0,1,9.0,9.0,51.6%,PHI,15,2022
13,San Francisco 49ers,3,0,1,2,0,0,0,1,9.0,9.0,97.8%,SF,15,2022
14,Tennessee Titans,3,2,0,0,0,0,0,1,8.0,8.0,3.5%,TEN,15,2022
15,Los Angeles Chargers,4,1,0,1,0,0,0,1,7.0,7.0,13.8%,LAC,15,2022
16,Chicago Bears,1,2,1,1,0,0,0,1,7.0,7.0,33.9%,CHI,15,2022
17,Los Angeles Rams,3,1,1,1,0,0,0,1,7.0,7.0,21.2%,LAR,15,2022
18,Baltimore Ravens,3,0,0,0,0,0,0,1,7.0,7.0,86.2%,BAL,15,2022
19,New Orleans Saints,4,0,1,1,0,0,0,1,7.0,7.0,64.0%,NO,15,2022
20,Dallas Cowboys,1,1,2,2,0,0,0,1,6.0,6.0,92.7%,DAL,15,2022
21,Houston Texans,2,0,2,2,0,0,0,1,5.0,5.0,31.9%,HOU,15,2022
22,Minnesota Vikings,3,0,1,2,0,0,0,1,5.0,5.0,10.9%,MIN,15,2022
23,Pittsburgh Steelers,4,0,0,1,0,0,0,1,5.0,5.0,75.9%,PIT,15,2022
24,Atlanta Falcons,2,0,1,1,0,0,0,1,4.0,4.0,16.7%,ATL,15,2022
25,Tampa Bay Buccaneers,2,1,0,1,0,0,0,1,3.0,3.0,20.8%,TB,15,2022
26,Miami Dolphins,2,0,1,2,0,0,0,1,3.0,3.0,69.9%,MIA,15,2022
27,Kansas City Chiefs,1,0,1,1,0,0,0,1,3.0,3.0,77.7%,KC,15,2022
28,Seattle Seahawks,1,0,0,0,0,0,0,1,1.0,1.0,22.4%,SEA,15,2022
29,New York Jets,0,0,0,0,0,0,0,1,1.0,1.0,82.4%,NYJ,15,2022
30,Carolina Panthers,1,0,0,0,0,0,0,1,1.0,1.0,3.0%,CAR,15,2022
31,Buffalo Bills,2,0,0,1,0,0,0,1,1.0,1.0,61.3%,BUF,15,2022
32,Washington Commanders,0,0,0,1,0,0,0,1,1.0,1.0,8.1%,WAS,15,2022
