Rank,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST,Team,Week,Year
1,Joe Schobert,7,3,1.0,4,2,0,0,0,1,37.8,37.8,0.0%,FA,11,2019
2,Jordan Hicks,8,4,1.0,1,1,0,0,0,1,30.5,30.5,29.8%,CLE,11,2019
3,Matthew Judon,7,0,2.0,0,0,1,0,0,1,30.0,30.0,17.4%,NE,11,2019
4,Demario Davis,5,1,0.0,4,1,0,0,0,1,21.8,21.8,22.0%,NO,11,2019
5,Roquan Smith,6,5,0.0,1,1,0,0,0,1,21.8,21.8,90.5%,BAL,11,2019
6,Nate Gerry,7,3,1.0,0,0,0,0,0,1,19.3,19.3,0.0%,FA,11,2019
7,De'Vondre Campbell,5,7,0.0,1,1,0,0,0,1,19.3,19.3,20.5%,SF,11,2019
8,Fred Warner,9,3,0.0,0,0,0,0,0,1,18.3,18.3,90.1%,SF,11,2019
9,Nick Vigil,6,6,0.0,0,0,0,1,0,1,17.5,17.5,0.0%,FA,11,2019
10,Devin White,10,3,0.0,0,0,0,0,0,1,17.3,17.3,22.4%,PHI,11,2019
11,Jarrad Davis,4,4,0.0,0,0,1,1,0,1,17.0,17.0,0.0%,FA,11,2019
12,Tremaine Edmunds,5,7,0.5,1,0,0,0,0,1,16.3,16.3,33.2%,CHI,11,2019
13,Dre Greenlaw,8,2,0.0,0,0,0,0,0,1,16.0,16.0,37.6%,SF,11,2019
14,Jaylon Smith,8,1,0.0,0,0,0,0,0,1,15.3,15.3,0.2%,FA,11,2019
15,Kamu Grugier-Hill,5,0,0.0,0,0,0,0,0,1,15.0,15.0,7.0%,MIN,11,2019
16,Thomas Davis Sr.,6,6,0.0,1,0,0,0,0,1,15.0,15.0,0.0%,FA,11,2019
17,Tyus Bowser,3,0,2.0,0,0,0,0,0,1,15.0,15.0,0.6%,FA,11,2019
18,James Burgess Jr.,5,3,0.0,0,0,0,0,0,1,14.8,14.8,0.0%,FA,11,2019
19,Jon Bostic,4,3,0.0,1,1,0,0,0,1,14.8,14.8,0.0%,FA,11,2019
20,Chandler Jones,3,1,1.0,0,0,0,0,0,1,14.3,14.3,0.6%,FA,11,2019
21,Kyle Van Noy,5,0,1.0,0,0,0,0,0,1,14.0,14.0,8.7%,BAL,11,2019
22,Benardrick McKinney,7,1,0.0,0,0,0,0,0,1,13.8,13.8,0.0%,FA,11,2019
23,Denzel Perryman,6,1,0.0,0,0,1,0,0,1,13.8,13.8,11.6%,LAC,11,2019
24,Robert Quinn,3,0,1.0,0,0,0,0,0,1,13.5,13.5,1.2%,FA,11,2019
25,Matt Milano,4,3,0.5,2,0,0,0,0,1,13.3,13.3,22.9%,BUF,11,2019
26,Zach Cunningham,7,3,0.0,0,0,0,0,0,1,12.8,12.8,1.7%,FA,11,2019
27,Todd Davis,5,7,0.0,0,0,0,0,0,1,12.8,12.8,0.0%,FA,11,2019
28,T.J. Watt,2,2,1.0,1,0,0,0,0,1,12.5,12.5,78.7%,PIT,11,2019
29,Neville Hewitt,3,2,0.0,1,1,0,0,0,1,12.5,12.5,0.0%,HOU,11,2019
30,Bud Dupree,4,2,0.0,0,0,0,0,0,1,12.5,12.5,1.2%,LAC,11,2019
31,Brennan Scarlett,6,1,0.0,0,0,0,0,0,1,12.3,12.3,0.0%,FA,11,2019
32,Myles Jack,7,2,0.0,0,0,0,0,0,1,12.0,12.0,0.2%,FA,11,2019
33,Kiko Alonso,5,0,0.0,1,0,0,0,0,1,11.5,11.5,0.0%,FA,11,2019
34,Jerome Baker,4,7,0.0,0,0,0,0,0,1,11.3,11.3,14.2%,SEA,11,2019
35,Von Miller,3,0,1.0,0,0,0,0,0,1,11.0,11.0,2.7%,BUF,11,2019
36,Vic Beasley Jr.,2,0,1.0,1,0,0,0,0,1,11.0,11.0,0.0%,FA,11,2019
37,Patrick Onwuasor,2,1,1.0,0,0,0,0,0,1,10.3,10.3,0.0%,FA,11,2019
38,Cole Holcomb,4,2,0.0,0,0,0,0,0,1,10.0,10.0,9.1%,PIT,11,2019
39,Frankie Luvu,2,0,1.0,0,0,0,0,0,1,9.5,9.5,44.5%,WAS,11,2019
40,Devon Kennard,2,0,1.0,0,0,0,0,0,1,9.5,9.5,0.0%,FA,11,2019
41,Shaq Thompson,2,3,0.0,1,0,0,0,0,1,9.3,9.3,14.7%,CAR,11,2019
42,Samson Ebukam,3,1,0.0,1,0,0,0,0,1,9.3,9.3,8.6%,IND,11,2019
43,Tahir Whitehead,3,1,0.0,1,0,0,0,0,1,9.3,9.3,0.0%,FA,11,2019
44,Alexander Johnson,2,3,0.0,0,0,0,1,0,1,9.3,9.3,1.0%,FA,11,2019
45,Luke Kuechly,4,4,0.0,0,0,0,0,0,1,9.0,9.0,92.3%,FA,11,2019
46,Deion Jones,4,4,0.0,0,0,0,0,0,1,9.0,9.0,2.5%,BUF,11,2019
47,Leighton Vander Esch,5,0,0.0,1,0,0,0,0,1,9.0,9.0,2.0%,FA,11,2019
48,Anthony Hitchens,2,8,0.0,0,0,0,0,0,1,9.0,9.0,1.0%,FA,11,2019
49,Josh Bynes,1,1,0.0,1,1,0,0,0,1,8.8,8.8,0.0%,FA,11,2019
50,Takk McKinley,1,1,1.0,0,0,0,0,0,1,8.8,8.8,2.0%,NYJ,11,2019
51,Devin Bush Jr.,2,4,0.0,0,0,0,0,0,1,8.5,8.5,4.8%,CLE,11,2019
52,Anthony Barr,5,1,0.0,0,0,0,0,0,1,8.3,8.3,0.0%,FA,11,2019
53,Lavonte David,5,1,0.0,0,0,0,0,0,1,8.3,8.3,52.1%,TB,11,2019
54,Elandon Roberts,1,0,1.0,0,0,0,0,0,1,8.0,8.0,15.1%,PIT,11,2019
55,Dont'a Hightower,1,0,1.0,0,0,0,0,0,1,8.0,8.0,1.0%,FA,11,2019
56,Eric Wilson,3,1,0.0,0,0,0,0,0,1,7.8,7.8,0.6%,GB,11,2019
57,Eric Kendricks,2,4,0.0,1,0,0,0,0,1,7.5,7.5,32.2%,DAL,11,2019
58,Najee Goode,5,0,0.0,0,0,0,0,0,1,7.5,7.5,0.0%,FA,11,2019
59,Mark Barron,3,0,0.0,0,0,0,0,0,1,7.0,7.0,0.0%,FA,11,2019
60,Damien Wilson,3,3,0.0,0,0,0,0,0,1,6.8,6.8,0.0%,DAL,11,2019
61,Anthony Walker Jr.,3,1,0.0,1,0,0,0,0,1,6.8,6.8,4.1%,MIA,11,2019
62,Foyesade Oluokun,1,6,0.0,0,0,0,0,0,1,6.0,6.0,94.0%,JAC,11,2019
63,Nicholas Morrow,3,0,0.0,1,0,0,0,0,1,6.0,6.0,4.7%,BUF,11,2019
64,John Simon,4,0,0.0,0,0,0,0,0,1,6.0,6.0,0.0%,FA,11,2019
65,Shaquille Leonard,3,2,0.0,0,0,0,0,0,1,6.0,6.0,21.8%,FA,11,2019
66,Mack Wilson Sr.,1,4,0.0,1,0,0,0,0,1,6.0,6.0,4.4%,ARI,11,2019
67,Germaine Pratt,2,4,0.0,0,0,0,0,0,1,6.0,6.0,17.4%,CIN,11,2019
68,Vince Williams,3,2,0.0,0,0,0,0,0,1,6.0,6.0,0.1%,FA,11,2019
69,Joe Walker,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,11,2019
70,Brandon Copeland,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,11,2019
71,Vince Biegel,2,3,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,11,2019
72,Nick Kwiatkoski,3,1,0.0,0,0,0,0,0,1,5.3,5.3,0.0%,FA,11,2019
73,Jordan Jenkins,2,0,0.0,1,0,0,0,0,1,4.5,4.5,0.0%,FA,11,2019
74,Terrell Suggs,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,11,2019
75,A.J. Klein,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.0%,FA,11,2019
76,Jatavis Brown,3,0,0.0,0,0,0,0,0,1,4.5,4.5,0.1%,FA,11,2019
77,Ben Niemann,2,2,0.0,0,0,0,0,0,1,4.5,4.5,0.4%,DET,11,2019
78,Donald Payne,0,0,0.0,0,0,0,1,0,1,4.0,4.0,0.0%,FA,11,2019
79,Josey Jewell,0,0,0.0,0,0,0,1,0,1,4.0,4.0,30.4%,CAR,11,2019
80,Lorenzo Alexander,1,0,0.0,0,0,0,0,0,1,4.0,4.0,3.0%,FA,11,2019
81,Bobby Okereke,2,1,0.0,0,0,0,0,0,1,3.8,3.8,79.2%,NYG,11,2019
82,Matthew Adams,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.2%,NYG,11,2019
83,Reggie Ragland,2,1,0.0,0,0,0,0,0,1,3.8,3.8,0.0%,FA,11,2019
84,Shaun Dion Hamilton,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,11,2019
85,Cory Littleton,1,2,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,11,2019
86,Dylan Cole,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,11,2019
87,Whitney Mercilus,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.2%,FA,11,2019
88,James Vaughters,2,0,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,11,2019
89,L.J. Fort,1,2,0.0,0,0,0,0,0,1,3.0,3.0,0.0%,FA,11,2019
90,Sean Lee,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,11,2019
91,Hardy Nickerson Jr.,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,11,2019
92,Clay Matthews,1,1,0.0,0,0,0,0,0,1,2.3,2.3,0.0%,FA,11,2019
93,Sam Eguavoen,0,3,0.0,0,0,0,0,0,1,2.3,2.3,0.0%,NYJ,11,2019
94,Jacob Martin,0,2,0.0,0,0,0,0,0,1,1.5,1.5,0.4%,CHI,11,2019
95,Jahlani Tavai,0,2,0.0,0,0,0,0,0,1,1.5,1.5,6.2%,NE,11,2019
96,Ryan Anderson,0,2,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,11,2019
97,Jamie Collins Sr.,0,0,0.0,1,0,0,0,0,1,1.5,1.5,0.0%,FA,11,2019
98,Jermaine Carter Jr.,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,11,2019
99,Kyzir White,1,0,0.0,0,0,0,0,0,1,1.5,1.5,22.2%,ARI,11,2019
100,Leon Jacobs,1,0,0.0,0,0,0,0,0,1,1.5,1.5,0.0%,FA,11,2019
101,Leonard Floyd,0,2,0.0,0,0,0,0,0,1,1.5,1.5,5.1%,SF,11,2019
102,Duke Riley,1,0,0.0,0,0,0,0,0,1,1.5,1.5,4.0%,MIA,11,2019
103,Malik Reed,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,11,2019
104,T.J. Edwards,0,1,0.0,0,0,0,0,0,1,0.8,0.8,78.6%,CHI,11,2019
105,Aaron Lynch,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,11,2019
106,Jordan Evans,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,11,2019
107,Christian Jones,0,1,0.0,0,0,0,0,0,1,0.8,0.8,0.0%,FA,11,2019
108,Troy Reeder,0,1,0.0,0,0,0,0,0,1,0.8,0.8,1.7%,LAR,11,2019
109,E.J. Speed,0,0,0.0,0,0,0,0,0,1,0.0,0.0,39.2%,IND,11,2019
110,Darryl Johnson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
111,David Long Jr.,1,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,NYG,11,2019
112,Quincy Williams,0,0,0.0,0,0,0,0,0,1,0.0,0.0,51.1%,NYJ,11,2019
113,Cole Mazza,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
114,Noah Dawkins,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
115,Matt Orzech,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,GB,11,2019
116,Josh Watson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
117,Kahzin Daniels,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
118,Josh Allen,2,0,1.0,0,0,0,0,0,1,0.0,0.0,44.0%,JAC,11,2019
119,Brian Burns,0,0,0.0,0,0,0,0,0,1,0.0,0.0,41.8%,NYG,11,2019
120,Jaylon Ferguson,3,1,1.0,0,0,0,1,0,1,0.0,0.0,0.0%,FA,11,2019
121,Austin Cutting,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
122,Robert Spillane,0,0,0.0,0,0,0,0,0,1,0.0,0.0,33.6%,LV,11,2019
123,Corey Thompson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
124,Josh Woods,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.6%,FA,11,2019
125,Justin Hollins,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
126,Sione Takitaki,0,0,0.0,0,0,0,0,0,1,0.0,0.0,4.2%,NE,11,2019
127,Natrez Patrick,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
128,Emeke Egbule,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
129,Barkevious Mingo,0,0,0.0,0,0,0,0,0,1,0.0,0.0,6.0%,FA,11,2019
130,Julian Stanford,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
131,Craig Robertson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
132,Lerentee McCray,0,0,0.0,0,0,0,0,0,1,0.0,0.0,4.0%,FA,11,2019
133,LaRoy Reynolds,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
134,Kevin Minter,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
135,Kyle Wilber,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
136,Melvin Ingram III,4,1,1.0,2,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
137,Bruce Irvin,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,FA,11,2019
138,Deon Lacey,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
139,Shaquil Barrett,0,0,0.0,0,0,0,0,0,1,0.0,0.0,8.3%,MIA,11,2019
140,Josh Martin,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
141,Dee Ford,2,0,1.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
142,Khalil Mack,0,0,0.0,0,0,0,0,0,1,0.0,0.0,52.9%,LAC,11,2019
143,Jeremiah Attaochu,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
144,Benson Mayowa,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
145,Cassius Marsh,2,2,0.0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,11,2019
146,Chris Smith,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
147,Kevin Pierre-Louis,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
148,Justin Houston,1,0,1.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
149,Sam Acho,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
150,Jason Pierre-Paul,1,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
151,Jamal Carter,0,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
152,Tanoh Kpassagnon,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,NO,11,2019
153,Dawuane Smoot,2,0,0.0,0,0,0,0,0,1,0.0,0.0,0.4%,BUF,11,2019
154,Avery Moss,1,0,0.0,0,0,1,0,0,1,0.0,0.0,0.0%,FA,11,2019
155,Josh Harvey-Clemons,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
156,Jalen Reeves-Maybin,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.2%,DET,11,2019
157,Ifeadi Odenigbo,1,0,0.0,0,0,0,0,0,1,0.0,0.0,4.0%,NYJ,11,2019
158,Austin Calitro,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
159,Harvey Langi,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
160,Ben Gedeon,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
161,Thomas Hennessy,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,NYJ,11,2019
162,B.J. Bello,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
163,Elijah Lee,1,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
164,Haason Reddick,0,1,0.0,1,0,0,0,0,1,0.0,0.0,17.4%,NYJ,11,2019
165,Joe Jones,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
166,Reid Ferguson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,BUF,11,2019
167,Steve Longa,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
168,Pete Robertson,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.1%,FA,11,2019
169,Zach Triner,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,TB,11,2019
170,Taybor Pepper,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,SF,11,2019
171,Luke Rhodes,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,IND,11,2019
172,Kameron Canaday,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
173,Trent Harris,0,2,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
174,Trent Sieg,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,DAL,11,2019
175,Chris Board,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.5%,BAL,11,2019
176,Ogbo Okoronkwo,0,0,0.0,0,0,0,0,0,1,0.0,0.0,2.7%,CLE,11,2019
177,Ja'Whaun Bentley,0,0,0.0,0,0,0,0,0,1,0.0,0.0,15.8%,NE,11,2019
178,Genard Avery,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,IND,11,2019
179,Ola Adeniyi,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
180,Zaire Franklin,0,0,0.0,0,0,0,0,0,1,0.0,0.0,91.7%,IND,11,2019
181,Peter Kalambayi,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
182,Joel Iyiegbuniwe,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
183,Marcell Harris,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
184,Andre Smith Jr.,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,DEN,11,2019
185,Dennis Gardeck,0,0,0.0,0,0,0,0,0,1,0.0,0.0,3.5%,ARI,11,2019
186,Ezekiel Turner,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,SF,11,2019
187,Tae Davis,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,CAR,11,2019
188,Jacob Tuioti-Mariner,1,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
189,Jermaine Grace,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.1%,FA,11,2019
190,Uchenna Nwosu,0,0,0.0,0,0,0,0,0,1,0.0,0.0,17.7%,SEA,11,2019
191,Kenny Young,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
192,Travin Howard,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,FA,11,2019
193,Dorian O'Daniel,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
194,Marcus Davenport,0,0,0.0,0,0,0,0,0,1,0.0,0.0,2.1%,DET,11,2019
195,Marquis Haynes Sr.,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.6%,FA,11,2019
196,Mark Nzeocha,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
197,Trey Flowers,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,FA,11,2019
198,Danielle Hunter,0,3,0.0,0,0,0,0,0,1,0.0,0.0,52.9%,HOU,11,2019
199,Stephone Anthony,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
200,Justin March-Lillard,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
201,Nick Dzubnar,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
202,Frank Clark,2,3,1.0,1,0,1,0,0,1,0.0,0.0,0.0%,FA,11,2019
203,Adarius Taylor,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
204,Will Compton,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
205,Jayrone Elliott,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
206,Joe Thomas,0,0,0.0,0,0,0,0,0,1,0.0,0.0,1.0%,FA,11,2019
207,Landon Collins,4,1,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
208,Jake McQuaide,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
209,Joey Bosa,2,0,0.0,0,0,0,0,0,1,0.0,0.0,16.3%,LAC,11,2019
210,Shilique Calhoun,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
211,JJ Jansen,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,CAR,11,2019
212,Darron Lee,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
213,Kentrell Brothers,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
214,Josh Harris,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,LAC,11,2019
215,Jon Weeks,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,HOU,11,2019
216,Aaron Brewer,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,ARI,11,2019
217,L.P. LaDouceur,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
218,Nick Sundberg,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
219,Patrick Scales,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,CHI,11,2019
220,Don Muhlbach,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
221,Rick Lovato,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,PHI,11,2019
222,Tyler Matakevich,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,11,2019
223,Jihad Ward,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.2%,MIN,11,2019
224,Alex Singleton,0,0,0.0,0,0,0,0,0,1,0.0,0.0,60.2%,DEN,11,2019
225,Morgan Cox,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,TEN,11,2019
226,Casey Kreiter,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,NYG,11,2019
227,Joe Cardona,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,NE,11,2019
228,Charley Hughlett,0,0,0.0,0,0,0,0,0,1,0.0,0.0,0.0%,CLE,11,2019
